Spieltag,Heim,Auswärts,H_tore,A_tore
30,BFC Preussen II,FC Internationale Berlin 1980,NA,NA
30,BFC Meteor 06,FC Viktoria 1889 Berlin II,NA,NA
30,SC Borsigwalde 1910,Berliner SC II,NA,NA
30,TSV Rudow Berlin,Türkiyemspor Berlin,NA,NA
30,BSV Eintracht Mahlsdorf II,Berliner SV 1892,NA,NA
30,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,NA,NA
30,SV Stern Britz 1889,BSV Al-Dersimspor,NA,NA
30,Köpenicker FC,SV Empor Berlin II,NA,NA
29,FC Internationale Berlin 1980,BSV Eintracht Mahlsdorf II,NA,NA
29,SV Empor Berlin II,BFC Preussen II,NA,NA
29,Berliner SC II,SV Stern Britz 1889,NA,NA
29,VfB Concordia Britz 1916,Köpenicker FC,NA,NA
29,FC Viktoria 1889 Berlin II,Türkiyemspor Berlin,NA,NA
29,BFC Meteor 06,FSV Berolina Stralau 1901,NA,NA
29,Berliner SV 1892,SC Borsigwalde 1910,NA,NA
29,BSV Al-Dersimspor,TSV Rudow Berlin,NA,NA
28,Köpenicker FC,BFC Meteor 06,NA,NA
28,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,NA,NA
28,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,NA,NA
28,TSV Rudow Berlin,Berliner SC II,NA,NA
28,SV Stern Britz 1889,Berliner SV 1892,NA,NA
28,SC Borsigwalde 1910,FC Internationale Berlin 1980,NA,NA
28,BFC Preussen II,VfB Concordia Britz 1916,NA,NA
28,Türkiyemspor Berlin,BSV Al-Dersimspor,NA,NA
27,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,NA,NA
27,BFC Meteor 06,BFC Preussen II,NA,NA
27,FC Internationale Berlin 1980,SV Stern Britz 1889,NA,NA
27,Berliner SV 1892,TSV Rudow Berlin,NA,NA
27,FSV Berolina Stralau 1901,Köpenicker FC,NA,NA
27,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,NA,NA
27,SV Empor Berlin II,SC Borsigwalde 1910,NA,NA
27,Berliner SC II,Türkiyemspor Berlin,NA,NA
26,SV Stern Britz 1889,Köpenicker FC,NA,NA
26,SC Borsigwalde 1910,BFC Preussen II,NA,NA
26,Türkiyemspor Berlin,BFC Meteor 06,NA,NA
26,Berliner SC II,SV Empor Berlin II,NA,NA
26,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,NA,NA
26,BSV Al-Dersimspor,VfB Concordia Britz 1916,NA,NA
26,Berliner SV 1892,FC Internationale Berlin 1980,NA,NA
26,TSV Rudow Berlin,FSV Berolina Stralau 1901,NA,NA
25,BFC Meteor 06,SC Borsigwalde 1910,NA,NA
25,VfB Concordia Britz 1916,SV Stern Britz 1889,NA,NA
25,Köpenicker FC,BFC Preussen II,NA,NA
25,SV Empor Berlin II,TSV Rudow Berlin,NA,NA
25,Berliner SC II,FC Viktoria 1889 Berlin II,NA,NA
25,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,NA,NA
25,FC Internationale Berlin 1980,Türkiyemspor Berlin,NA,NA
25,Berliner SV 1892,BSV Al-Dersimspor,NA,NA
24,TSV Rudow Berlin,FC Internationale Berlin 1980,NA,NA
24,BSV Eintracht Mahlsdorf II,BFC Meteor 06,NA,NA
24,FC Viktoria 1889 Berlin II,Köpenicker FC,NA,NA
24,SV Stern Britz 1889,SV Empor Berlin II,NA,NA
24,BSV Al-Dersimspor,Berliner SC II,NA,NA
24,Türkiyemspor Berlin,Berliner SV 1892,NA,NA
24,BFC Preussen II,FSV Berolina Stralau 1901,NA,NA
24,SC Borsigwalde 1910,VfB Concordia Britz 1916,NA,NA
23,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,NA,NA
23,VfB Concordia Britz 1916,BFC Meteor 06,NA,NA
23,Berliner SV 1892,BFC Preussen II,NA,NA
23,Türkiyemspor Berlin,SV Stern Britz 1889,NA,NA
23,FC Internationale Berlin 1980,Köpenicker FC,NA,NA
23,Berliner SC II,BSV Eintracht Mahlsdorf II,NA,NA
23,BSV Al-Dersimspor,SC Borsigwalde 1910,NA,NA
23,SV Empor Berlin II,FSV Berolina Stralau 1901,NA,NA
22,BSV Al-Dersimspor,FC Internationale Berlin 1980,NA,NA
22,FC Viktoria 1889 Berlin II,BFC Preussen II,NA,NA
22,SV Stern Britz 1889,BFC Meteor 06,NA,NA
22,BSV Eintracht Mahlsdorf II,Köpenicker FC,NA,NA
22,Türkiyemspor Berlin,SV Empor Berlin II,NA,NA
22,Berliner SC II,Berliner SV 1892,NA,NA
22,TSV Rudow Berlin,VfB Concordia Britz 1916,NA,NA
22,SC Borsigwalde 1910,FSV Berolina Stralau 1901,NA,NA
