"team","Rank","Count","Probability"
"FSV Berolina Stralau 1901","Rank_6",0,0
"FSV Berolina Stralau 1901","Rank_7",5,0.2
"FSV Berolina Stralau 1901","Rank_8",31,1.6
"FSV Berolina Stralau 1901","Rank_9",87,4.3
"FSV Berolina Stralau 1901","Rank_10",180,9
"FSV Berolina Stralau 1901","Rank_11",325,16.2
"FSV Berolina Stralau 1901","Rank_12",544,27.2
"FSV Berolina Stralau 1901","Rank_13",802,40.1
"FSV Berolina Stralau 1901","Rank_14",26,1.3
"FSV Berolina Stralau 1901","Rank_15",0,0
"FSV Berolina Stralau 1901","Rank_16",0,0
"FC Viktoria 1889 Berlin II","Rank_1",0,0
"FC Viktoria 1889 Berlin II","Rank_2",6,0.3
"FC Viktoria 1889 Berlin II","Rank_3",61,3
"FC Viktoria 1889 Berlin II","Rank_4",552,27.6
"FC Viktoria 1889 Berlin II","Rank_5",908,45.4
"FC Viktoria 1889 Berlin II","Rank_6",441,22
"FC Viktoria 1889 Berlin II","Rank_7",31,1.6
"FC Viktoria 1889 Berlin II","Rank_8",1,0
"FC Viktoria 1889 Berlin II","Rank_9",0,0
"FC Viktoria 1889 Berlin II","Rank_10",0,0
"FC Viktoria 1889 Berlin II","Rank_11",0,0
"FC Viktoria 1889 Berlin II","Rank_12",0,0
"FC Viktoria 1889 Berlin II","Rank_13",0,0
"FC Viktoria 1889 Berlin II","Rank_14",0,0
"FC Viktoria 1889 Berlin II","Rank_15",0,0
"FC Viktoria 1889 Berlin II","Rank_16",0,0
"VfB Concordia Britz 1916","Rank_1",0,0
"VfB Concordia Britz 1916","Rank_2",0,0
"VfB Concordia Britz 1916","Rank_3",0,0
"VfB Concordia Britz 1916","Rank_4",0,0
"VfB Concordia Britz 1916","Rank_5",0,0
"VfB Concordia Britz 1916","Rank_6",0,0
"VfB Concordia Britz 1916","Rank_7",0,0
"VfB Concordia Britz 1916","Rank_8",0,0
"VfB Concordia Britz 1916","Rank_9",0,0
