Rank,Team,Name,Nr,Pos,Spiele,Tore
83,Berliner SC II,Dominique Leitner,5,IV,15,2
84,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,2
85,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,15,2
86,SC Borsigwalde 1910,Magnus Crone,14,RM,12,2
87,Berliner SC II,Danilo Arsic,11,ST,6,2
88,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,NA,1,2
89,Berliner SC II,Leon Ibrom,4,IV,14,2
90,SV Empor Berlin II,David Schäfer,NA,LV,1,2
91,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,ZM,5,2
92,Berliner SV 1892,Paul Busche,7,ZM,14,2
93,FSV Berolina Stralau 1901,Eric Stier,5,ST,14,2
94,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,2
95,FC Viktoria 1889 Berlin II,David Nagel,4,IV,7,2
96,BFC Meteor 06,Jannik Jantzen,27,ZDM,13,2
97,BFC Preussen II,Tim Eymann,19,LV,4,2
98,SV Stern Britz 1889,Leonit Leci,17,LM,14,2
99,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,8,2
100,Köpenicker FC,Nicolas Tauschwitz,10,LM,12,2
101,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,13,2
102,SV Stern Britz 1889,Shaker Shawrdi,20,LM,10,2
103,FC Viktoria 1889 Berlin II,Joan Schäfer Llauger,8,LM,8,2
104,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZOM,7,2
105,SV Empor Berlin II,Leon Drannaschk,10,LM,14,2
106,BFC Preussen II,Atacan Özcan,22,LM,12,2
107,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,4,2
108,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,10,2
109,FSV Berolina Stralau 1901,Adrian Welch,7,ST,5,2
110,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,13,2
111,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,2
112,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,2
113,SV Stern Britz 1889,Timo Brei,NA,IV,4,2
114,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,1
115,BFC Preussen II,Moris Fikic,10,ZOM,7,1
116,BSV Al-Dersimspor,Karsten Schleifring,25,NA,6,1
117,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,1,1
118,Berliner SC II,Linus Dersch,NA,ST,2,1
119,SV Stern Britz 1889,Andre Schulz,23,IV,13,1
120,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,12,1
121,BFC Preussen II,Marcel Berner,15,RV,9,1
122,FSV Berolina Stralau 1901,Tom Jonach,16,ZM,12,1
123,SV Stern Britz 1889,Philipp Kemkes,NA,NA,2,1
124,Berliner SC II,Nelson Antoniofrancisco,7,LM,6,1
125,SC Borsigwalde 1910,Kenneth Weise,49,IV,7,1
126,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,ZM,12,1
127,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,1
128,BSV Al-Dersimspor,Mücahid Kahraman,3,RV,14,1
129,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,13,1
130,BFC Preussen II,Romario Hartwig,NA,ST,1,1
131,BSV Al-Dersimspor,Amir Awag,5,IV,13,1
132,Türkiyemspor Berlin,Volkan Neziroglu,NA,NA,1,1
133,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,15,1
134,SV Stern Britz 1889,Timo Höhna,6,LV,13,1
135,SV Stern Britz 1889,Luca Ehrich,27,ZDM,13,1
136,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,1
137,BSV Al-Dersimspor,Hakan Günaydin,NA,ZOM,1,1
138,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,14,1
139,SV Empor Berlin II,Elias Thürigen,5,IV,12,1
140,BSV Eintracht Mahlsdorf II,Marc Michas,10,ZM,11,1
141,FC Internationale Berlin 1980,Milan Daus,10,ST,14,1
142,BSV Eintracht Mahlsdorf II,Devis Meißner,NA,TW,1,1
143,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,11,1
144,Türkiyemspor Berlin,Mehmet Tunay,NA,NA,1,1
145,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,15,1
146,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,1
147,SV Stern Britz 1889,Luca Wojan,22,ZDM,13,1
148,Berliner SV 1892,Niklas Jost,4,IV,15,1
149,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,5,1
150,Berliner SV 1892,Joshua Tröger,24,RV,12,1
151,TSV Rudow Berlin,Samet Sennur,11,ST,11,1
152,VfB Concordia Britz 1916,Jordy Gase,25,ST,12,1
153,Berliner SC II,Jakob Oevermann,15,IV,4,1
154,SV Stern Britz 1889,Marcel Frobenius,37,RV,10,1
155,BFC Meteor 06,Fredy Balde,8,LM,6,1
156,BFC Preussen II,Alexander Gajda,14,RV,9,1
157,Berliner SC II,Nikolaos Kaggelidids,3,LV,11,1
158,BFC Preussen II,Nils Szerwinski,21,NA,6,1
159,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,14,1
160,BFC Preussen II,Omar Hajjaj,NA,ZDM,1,1
161,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,7,1
162,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,14,1
163,Türkiyemspor Berlin,Ömer Tanis,8,ZDM,15,1
164,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,1
165,BFC Meteor 06,Lennart Nerlich,5,IV,15,1
166,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,8,1
167,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,1
168,Köpenicker FC,Tom-Niclas Hamann,23,IV,10,1
169,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZM,9,1
170,Berliner SC II,Ben Fidanboy,28,RV,6,1
171,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,1
172,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,1
173,BFC Preussen II,Serhan Arslani,NA,NA,1,1
174,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,9,1
175,BFC Meteor 06,Mohammed Hamiss,99,NA,7,1
176,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RV,4,1
177,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,11,1
178,BSV Al-Dersimspor,William Essel,9,LM,11,1
179,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,12,1
180,Türkiyemspor Berlin,Deniz Karakus,32,IV,4,1
181,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,8,1
182,BFC Preussen II,Ali Hammoud,NA,RV,7,1
183,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,NA,3,1
184,SC Borsigwalde 1910,Hebun Aslan,NA,RV,1,1
185,BFC Meteor 06,Eriseld Tafilaj,69,NA,11,1
186,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
187,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,10,1
188,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,13,1
189,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,8,1
190,TSV Rudow Berlin,Abdullah Bayram,21,LM,13,1
191,Köpenicker FC,Luca Munsky,3,LV,12,1
