Rank,Team,Name,Nr,Pos,Spiele,Tore
408,FSV Berolina Stralau 1901,David Bode,18,IV,7,0
409,FC Viktoria 1889 Berlin II,Nico Pohlan,NA,NA,0,0
410,FSV Berolina Stralau 1901,Arian Saiti,17,RM,12,0
411,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
412,FC Viktoria 1889 Berlin II,Nico Starkowski,29,TW,1,0
413,TSV Rudow Berlin,Eliot Tolaj,15,IV,10,0
414,BSV Eintracht Mahlsdorf II,Justin Engfer,20,RV,6,0
415,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,12,0
416,SV Empor Berlin II,Kolja Gramse,NA,NA,1,0
417,BFC Meteor 06,Leo Suilmann,1,TW,7,0
418,FC Internationale Berlin 1980,Jim Bratschke,77,RM,5,0
419,SV Empor Berlin II,Niclas Nixdorf,3,IV,12,0
420,SV Empor Berlin II,Jannick Wollmann,NA,IV,2,0
421,Berliner SC II,Paul Schlicht,1,TW,11,0
422,BSV Eintracht Mahlsdorf II,Tami Benkert,NA,ZM,1,0
423,SV Stern Britz 1889,Benis Leci,30,LM,12,0
424,BSV Eintracht Mahlsdorf II,Sune Tore Schröter,NA,NA,2,0
425,FC Viktoria 1889 Berlin II,Leart Halimi,27,RM,3,0
426,BSV Eintracht Mahlsdorf II,Lukas Otto,NA,NA,0,0
427,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,NA,1,0
428,Köpenicker FC,Alieu Nyassi,NA,NA,2,0
429,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,NA,1,0
430,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,NA,13,0
431,FSV Berolina Stralau 1901,Andreas Friese,23,TW,11,0
432,SV Stern Britz 1889,Miran Aykus,5,IV,5,0
433,FC Viktoria 1889 Berlin II,Hadi El-Hayek,23,NA,1,0
434,Türkiyemspor Berlin,Koray Aktas,21,TW,5,0
435,Berliner SC II,Zahm Rad,NA,ZM,2,0
436,VfB Concordia Britz 1916,Burak Tatli,44,ST,3,0
437,FC Internationale Berlin 1980,Kaan Ucbaglar,44,LM,0,0
438,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
439,SV Stern Britz 1889,Ahmed Saygi,NA,NA,1,0
440,BFC Preussen II,Marko Fischer,4,LM,2,0
441,BFC Meteor 06,Tyrone Mengesha,NA,NA,0,0
442,BFC Preussen II,Tim Henseler,NA,NA,4,0
443,Türkiyemspor Berlin,Görkem Tozlu,NA,NA,3,0
444,SC Borsigwalde 1910,Ahmad Chehade,NA,NA,1,0
445,Berliner SV 1892,Philip Klimper,NA,NA,0,0
446,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,16,0
447,VfB Concordia Britz 1916,Enes Noah Öztürk,18,RV,2,0
448,BFC Preussen II,Adam Lamkaddam,32,NA,1,0
449,VfB Concordia Britz 1916,Merdan Köse,4,IV,10,0
450,Türkiyemspor Berlin,Erdem Celik,18,RM,4,0
451,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,10,0
452,SV Empor Berlin II,Aaron Yusuff,NA,TW,8,0
453,BSV Eintracht Mahlsdorf II,Max Koyuncu,9,NA,2,0
454,BSV Eintracht Mahlsdorf II,Fabian Clemen,NA,NA,0,0
455,BSV Eintracht Mahlsdorf II,Carl Dopke,1,NA,0,0
456,FSV Berolina Stralau 1901,Yussef Jradi,11,ST,12,0
457,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,13,0
458,BFC Preussen II,Maximilian Schatz,24,ZM,6,0
459,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,12,0
460,BFC Preussen II,Leo Sommerfeld,NA,IV,1,0
461,SV Empor Berlin II,Alvenzio Ettah,19,ZM,12,0
462,Köpenicker FC,Florian Hildebrand,NA,NA,1,0
463,Berliner SC II,Felix Klebe,26,RM,1,0
464,SC Borsigwalde 1910,Kai Neumann,21,ZM,5,0
465,SC Borsigwalde 1910,Eren Motuk,5,IV,12,0
466,SC Borsigwalde 1910,Elias Jamil Erisen,NA,LV,2,0
467,SV Stern Britz 1889,Joshua Ridzewski,NA,LM,1,0
468,FSV Berolina Stralau 1901,Phillipp Wegerich,NA,NA,0,0
469,SV Empor Berlin II,Milo Lippe,8,ZM,10,0
470,SV Empor Berlin II,Emile Ako,NA,NA,2,0
471,BSV Al-Dersimspor,Merdie Tshondo,20,RV,5,0
472,SV Empor Berlin II,Robert Kurth,22,NA,3,0
473,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,0,0
474,BFC Preussen II,Tiago de Sousa Oliveira,NA,NA,1,0
475,SV Empor Berlin II,Oskar Kühn,23,TW,2,0
476,Berliner SV 1892,Linus Hechtfisch,23,TW,6,0
477,Türkiyemspor Berlin,Hüseyin Tunay,NA,NA,0,0
478,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,NA,5,0
479,Berliner SC II,Vincent Spiegel,15,IV,1,0
480,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,16,0
481,SV Empor Berlin II,Janne Henrik Bloch,33,TW,2,0
482,BSV Eintracht Mahlsdorf II,Leonhard Buchmann,14,NA,1,0
483,FC Viktoria 1889 Berlin II,Dmytro Karika,30,TW,3,0
484,BFC Preussen II,Arda Isik,NA,ST,2,0
485,Berliner SC II,Moritz Brune,17,NA,0,0
486,BFC Preussen II,Christian Müller,25,ZDM,8,0
487,Köpenicker FC,Noah Maximilian Laske,19,RV,8,0
488,Berliner SC II,Yigit Öncü,24,NA,0,0
489,SV Stern Britz 1889,Cliff Boanu,29,RM,13,0
490,BFC Meteor 06,Rene Fon Nkafu,77,NA,0,0
491,Köpenicker FC,Oskar Klauke,20,LV,7,0
492,FC Internationale Berlin 1980,Juan José Swett Barros,23,NA,0,0
493,SV Stern Britz 1889,Jonas Lück,18,TW,6,0
494,FSV Berolina Stralau 1901,Cihat Yildirim,NA,ZDM,0,0
495,Türkiyemspor Berlin,Kemo Andresen,NA,NA,0,0
496,BFC Preussen II,Kemo Andresen,NA,NA,1,0
497,TSV Rudow Berlin,Mert Arslan,NA,TW,0,0
498,Köpenicker FC,Marques Brunow,NA,NA,2,0
499,Türkiyemspor Berlin,Yeifre Diaz Chacon,NA,NA,1,0
500,VfB Concordia Britz 1916,Mehmet Akif Bakiroglugil,18,NA,2,0
501,Berliner SC II,Simon Riedel,14,RV,11,0
502,SV Stern Britz 1889,Matias Ignacio Bottiglieri,NA,NA,0,0
503,FC Internationale Berlin 1980,Lancine Braunert,NA,NA,0,0
504,BFC Preussen II,Theo Kagoue,45,RM,5,0
505,Berliner SV 1892,Ali Ismail Gashi,12,RM,5,0
506,Türkiyemspor Berlin,Ali Ismail Gashi,12,RM,1,0
507,VfB Concordia Britz 1916,Ilai Harder,NA,NA,0,0
508,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
509,SV Empor Berlin II,Julian Duczmal,NA,ZM,4,0
510,SC Borsigwalde 1910,Mehdi Bencheikh,NA,IV,4,0
511,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,11,0
512,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,6,0
513,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,12,0
514,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,6,0
515,SV Empor Berlin II,Rafael Mentrup,21,LM,13,0
516,SV Empor Berlin II,Laszlo Braun,22,ST,9,0
517,SV Empor Berlin II,Daniil Savenko,18,NA,4,0
518,FC Viktoria 1889 Berlin II,Emmanuel Sokowonci Daniel,32,NA,0,0
519,FC Internationale Berlin 1980,Roger Gonzalez I Hermosa,40,TW,4,0
520,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar,NA,ST,1,0
521,Berliner SC II,Ezher Akbulut,23,LM,13,0
522,SC Borsigwalde 1910,Yannick Djekonbe,20,NA,2,0
523,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,12,0
524,BSV Eintracht Mahlsdorf II,Kilian Oliver Reinke,21,LV,15,0
525,FC Internationale Berlin 1980,Sebastian Basaure Larrain,NA,NA,1,0
526,FSV Berolina Stralau 1901,Adnan Shah,NA,NA,0,0
527,BFC Meteor 06,Leon Splanemann,NA,NA,0,0
528,VfB Concordia Britz 1916,Lukas Czernitzky,12,NA,0,0
529,SC Borsigwalde 1910,Adam Barnat,6,LM,4,0
530,VfB Concordia Britz 1916,Philip Wieser,17,ZM,12,0
531,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,1,0
532,TSV Rudow Berlin,Pascal Ulrich,NA,NA,0,0
533,BFC Meteor 06,Ibrahim Celik,47,RM,12,0
534,BFC Meteor 06,Steven Demarr Saunders,14,RM,10,0
535,Berliner SC II,Eric Ekandille,28,RM,2,0
536,Berliner SC II,Eike Barth,25,ST,5,0
537,Köpenicker FC,Anton Louis Süring,NA,LV,2,0
538,Köpenicker FC,Lennart Will,NA,NA,1,0
539,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,12,0
540,SV Empor Berlin II,Keita Udo,12,ZM,8,0
541,TSV Rudow Berlin,Süleyman Aktas,29,TW,8,0
542,FC Internationale Berlin 1980,Zachariah Mohamed Dukuly,21,NA,2,0
543,Köpenicker FC,Luca Seeber,12,TW,3,0
544,Köpenicker FC,Tobias Brandt,7,RM,10,0
545,SV Empor Berlin II,Laurens Cerny,20,ZM,13,0
546,FC Viktoria 1889 Berlin II,Sebastian Naicker,31,NA,3,0
547,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,ZDM,7,0
548,VfB Concordia Britz 1916,Nicht öffentlich,NA,NA,0,0
549,Türkiyemspor Berlin,Mohamad El-Ali,42,NA,2,0
550,TSV Rudow Berlin,Leon Merke,NA,TW,1,0
551,Berliner SC II,Konstantin Joseski,NA,RV,5,0
552,Berliner SC II,Nino Zamorano,22,NA,5,0
553,FSV Berolina Stralau 1901,Denys Kovtun,NA,NA,0,0
554,Köpenicker FC,Iven Wiecker,NA,NA,2,0
555,SC Borsigwalde 1910,Sadjad Rassuli,NA,NA,2,0
556,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,1,0
557,SC Borsigwalde 1910,Mohammad Kassem,NA,TW,2,0
558,Türkiyemspor Berlin,Rafael Pereira,NA,NA,1,0
559,SC Borsigwalde 1910,Johan Ferney Marin Macareno,NA,NA,0,0
560,SV Stern Britz 1889,John Coker,NA,NA,1,0
