ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
389162,Yevgen Igorovic Lozynsky,VfB Concordia Britz 1916,9,0,0,1,0,0,0,3,746,0,27,0.638,0.921,0,0,0,0,0,9,0,0,0.376,NA,NA,NA%,0%
427035,Paul Miggel,BFC Preussen II,4,0,0,0,0,0,2,2,178,0,8,0.152,0.494,0,0,0,6,2,2,3,1,0.544,ST,ZDM,25%,25%
438761,Andre Schulz,SV Stern Britz 1889,10,1,0,0,0,0,0,0,900,0,23,0.769,1,0.1,4,0.4,10,10,0,1,0.333,0.684,IV,NA,110%,0%
477254,Daniel Fischer,FSV Berolina Stralau 1901,9,0,0,0,0,0,4,3,464,0,19,0.397,0.573,0,0,0,10,6,3,1.667,0.556,0.456,LM,LV,33%,11%
478754,Alexander Wuthe,TSV Rudow Berlin,9,1,0,0,0,1,0,0,764,0,8,0.653,0.943,0.111,2,0.222,22,9,0,2.444,0.815,0.777,ZDM,LM,44%,33%
482985,Soner Demiryürek,BFC Meteor 06,5,2,0,0,0,0,4,1,136,0,21,0.116,0.302,0.4,0,0,3,1,4,3,1,0.495,ZM,NA,20%,0%
493840,Julian Schröder,BFC Meteor 06,11,0,1,1,0,0,1,1,900,5,15,0.769,0.909,0.091,1,0.091,21,10,1,2.1,0.7,0.72,RV,LV,55%,27%
494671,Ugurcan Yilmaz,BFC Preussen II,3,0,0,0,0,0,0,1,194,0,48,0.166,0.719,0,0,0,6,3,0,2,0.667,0.46,RV,ST,33%,33%
494672,Oguzhan Duman,SV Stern Britz 1889,9,1,0,0,0,0,4,2,465,0,19,0.397,0.574,0.111,1,0.111,6,5,4,1.2,0.4,0.427,RM,ZOM,22%,22%
496087,Le-Roy Da-Costa,VfB Concordia Britz 1916,3,2,0,0,0,0,3,0,143,0,9,0.122,0.53,0.667,1,0.333,0,1,2,0,0,0.242,ST,NA,33%,0%
497696,Kay Szczech,BSV Eintracht Mahlsdorf II,10,0,0,0,0,0,8,1,403,0,18,0.344,0.448,0,1,0.1,6,2,8,3,1,0.623,RM,RV,10%,10%
499196,Dennis Rötzscher,TSV Rudow Berlin,6,0,0,0,0,0,0,4,375,1,18,0.321,0.694,0,0,0,10,5,1,2,0.667,0.502,ZDM,LV,50%,17%
507979,Patrick Boel,BSV Al-Dersimspor,6,0,0,0,0,0,0,0,540,0,1,0.462,1,0,0,0,7,6,0,1.167,0.389,0.494,TW,NA,100%,0%
519263,Malte Hartmann,BFC Preussen II,10,0,0,0,0,0,0,0,900,1,31,0.769,1,0,4,0.4,24,13,-3,1.846,0.615,0.797,TW,ZM,90%,70%
519270,Lukas Kohlmann,BFC Preussen II,11,3,0,0,0,0,0,0,990,2,20,0.846,1,0.273,5,0.455,24,11,0,2.182,0.727,0.881,IV,ZM,91%,9%
524331,Milos Savkovic,BSV Al-Dersimspor,9,2,0,0,0,0,1,6,579,2,8,0.495,0.715,0.222,2,0.222,13,9,0,1.444,0.481,0.551,LM,RM,33%,22%
524620,Mahmoud Akkaoui,SC Borsigwalde 1910,4,0,0,0,0,0,3,0,163,0,4,0.139,0.453,0,1,0.25,3,1,3,3,1,0.607,IV,NA,25%,0%
534567,Tobias Knetsch,SC Borsigwalde 1910,3,0,0,0,0,0,0,0,270,0,23,0.231,1,0,1,0.333,7,3,0,2.333,0.778,0.68,TW,NA,100%,0%
547418,Tom Greif,BSV Eintracht Mahlsdorf II,4,0,0,0,0,0,3,1,119,0,14,0.102,0.331,0,0,0,3,1,3,3,1,0.497,RV,NA,25%,0%
550874,Till Dietrich,Köpenicker FC,10,0,0,0,0,0,2,4,690,0,27,0.59,0.767,0,2,0.2,7,8,2,0.875,0.292,0.507,IV,RV,30%,30%
553789,Yasin Demir,BFC Preussen II,9,0,0,0,0,0,2,4,590,0,30,0.504,0.728,0,2,0.222,17,11,-2,1.545,0.515,0.569,IV,ZDM,89%,56%
553810,Rommel Abou-Chaker,BFC Preussen II,8,3,0,0,0,0,4,4,347,0,13,0.297,0.482,0.375,0,0,6,3,5,2,0.667,0.452,ST,RM,25%,12%
553814,Marcel Berner,BFC Preussen II,7,1,0,0,0,0,1,4,479,0,15,0.409,0.76,0.143,0,0,12,6,1,2,0.667,0.541,RV,IV,57%,14%
553841,Hugo Timur,BFC Preussen II,10,5,0,0,0,0,1,8,585,0,7,0.5,0.65,0.5,1,0.1,19,9,1,2.111,0.704,0.592,ST,NA,90%,0%
554125,Daniel Michael Brüning,VfB Concordia Britz 1916,3,0,0,1,0,0,2,0,165,0,22,0.141,0.611,0,0,0,0,1,2,0,0,0.164,IV,NA,33%,0%
554131,Fabian Kolditz,VfB Concordia Britz 1916,1,0,0,0,0,0,1,0,6,0,13,0.005,0.067,0,0,0,0,0,1,0,0,0.015,NA,NA,NA%,0%
554134,Patrick Wenke,VfB Concordia Britz 1916,6,0,0,0,0,0,1,3,390,0,29,0.333,0.722,0,1,0.167,1,9,-3,0.111,0.037,0.309,IV,LV,67%,33%
554138,Christopher Schneider,SV Stern Britz 1889,1,0,1,0,0,0,0,0,90,0,NA,0.077,1,1,2,2,6,5,-4,1.2,0.4,0.983,RM,CF,200%,100%
554297,El-Amin Elsaadawi,Berliner SV 1892,6,1,0,0,0,0,2,3,324,0,17,0.277,0.6,0.167,0,0,3,3,3,1,0.333,0.336,ST,NA,50%,0%
554433,Caglar Halici,BSV Al-Dersimspor,1,0,0,0,0,0,0,0,90,0,NA,0.077,1,0,1,1,0,1,0,0,0,0.523,ST,NA,100%,0%
554475,Hüseyin Ali Kaloglu,BSV Al-Dersimspor,1,0,0,0,0,0,0,0,90,0,NA,0.077,1,0,1,1,0,1,0,0,0,0.523,IV,NA,100%,0%
554483,Önder Senkaya,BSV Al-Dersimspor,1,0,0,0,0,0,1,0,14,0,NA,0.012,0.156,0,0,0,0,0,1,0,0,0.035,NA,NA,NA%,0%
554638,Patrick Maykowski,TSV Rudow Berlin,12,3,0,0,0,0,1,9,928,1,20,0.793,0.859,0.25,2,0.167,29,11,1,2.636,0.879,0.811,RM,ST,58%,17%
555367,Tim Wenke,VfB Concordia Britz 1916,6,0,0,0,0,0,0,1,495,0,5,0.423,0.917,0,1,0.167,1,9,-3,0.111,0.037,0.375,IV,LV,67%,33%
555415,Tom Jonach,FSV Berolina Stralau 1901,10,1,2,0,0,0,1,2,778,1,16,0.665,0.864,0.3,0,0,8,9,1,0.889,0.296,0.491,ZM,RM,40%,30%
555430,Philipp Kemkes,SV Stern Britz 1889,1,0,0,0,0,0,1,0,45,0,NA,0.038,0.5,0,0,0,0,0,1,0,0,0.111,NA,NA,NA%,0%
555710,Kevin Uwe Einspannier,Berliner SC II,11,2,0,0,1,1,0,0,956,0,6,0.817,0.966,0.182,2,0.182,12,10,1,1.2,0.4,0.653,ZM,ST,36%,27%
555713,Nelson Antoniofrancisco,Berliner SC II,5,1,0,0,0,0,3,2,219,0,7,0.187,0.487,0.2,0,0,1,2,3,0.5,0.167,0.22,LM,NA,40%,0%
555745,Max Vincent Bolz,Berliner SC II,8,0,0,0,0,0,2,1,578,0,20,0.494,0.803,0,4,0.5,9,6,2,1.5,0.5,0.659,ZM,ST,38%,25%
555829,Yusuf Abouri,BFC Meteor 06,3,0,0,0,0,0,2,1,99,0,NA,0.085,0.367,0,0,0,0,1,2,0,0,0.099,RV,NA,33%,0%
555945,Kenneth Weise,SC Borsigwalde 1910,2,1,0,0,0,0,1,0,94,0,49,0.08,0.522,0.5,0,0,3,2,0,1.5,0.5,0.328,IV,NA,100%,0%
557280,Fabio Zielske,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
557281,Marcel Lieker,SV Stern Britz 1889,1,0,0,0,0,0,0,0,90,0,NA,0.077,1,0,1,1,0,0,1,0,0,0.523,NA,NA,NA%,0%
557298,Robin Eschert,VfB Concordia Britz 1916,4,0,0,0,0,0,1,1,263,0,14,0.225,0.731,0,1,0.25,0,4,0,0,0,0.289,LV,RV,50%,50%
560181,Lukas Grützner,BSV Eintracht Mahlsdorf II,9,1,0,0,0,0,1,4,616,1,8,0.526,0.76,0.111,4,0.444,16,8,1,2,0.667,0.71,ZM,IV,56%,22%
561892,Benjamin Schnack,Berliner SV 1892,1,0,0,0,0,0,0,1,10,0,NA,0.009,0.111,0,0,0,0,1,0,0,0,0.025,IV,NA,100%,0%
562984,Robin Wolff,Berliner SV 1892,5,2,0,0,0,0,4,1,122,0,25,0.104,0.271,0.4,1,0.2,0,0,5,0,0,0.145,NA,NA,NA%,0%
564086,Serkan Karasu,BFC Meteor 06,12,5,1,5,0,0,0,1,1035,2,3,0.885,0.958,0.5,2,0.167,21,12,0,1.75,0.583,0.741,LV,ZDM,42%,42%
564117,Dustin Sik,SV Stern Britz 1889,12,3,0,0,1,0,0,0,1081,1,7,0.924,1.001,0.25,1,0.083,10,12,0,0.833,0.278,0.613,ST,RM,33%,25%
564129,Kevin Wesolek,Köpenicker FC,2,0,0,0,0,0,2,0,7,0,16,0.006,0.039,0,0,0,0,0,2,0,0,0.01,NA,NA,NA%,0%
564200,Yusuf Yildirim,SV Stern Britz 1889,1,0,0,0,0,0,1,0,34,0,NA,0.029,0.378,0,2,2,5,4,-3,1.25,0.417,0.851,ZDM,ZOM,200%,200%
565855,Tom Nischwitz,Köpenicker FC,10,0,0,0,0,0,4,2,519,0,5,0.444,0.577,0,0,0,4,6,4,0.667,0.222,0.338,IV,RV,50%,10%
569339,Jeffrey Kräft,SC Borsigwalde 1910,8,0,0,0,0,0,0,0,720,0,37,0.615,1,0,3,0.375,11,10,-2,1.1,0.367,0.644,TW,NA,138%,0%
572496,Bartosz Palubski,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
573222,Philip Möhle,Köpenicker FC,7,0,0,0,0,0,2,4,467,0,28,0.399,0.741,0,1,0.143,7,5,2,1.4,0.467,0.498,RV,LV,57%,14%
580589,Björn Röchert,VfB Concordia Britz 1916,7,1,0,0,0,0,1,0,566,0,30,0.484,0.898,0.143,1,0.143,0,6,1,0,0,0.368,IV,RV,43%,29%
581082,Sercan-Günay Seyyidoglu,BSV Al-Dersimspor,6,0,0,0,0,0,5,0,177,0,17,0.151,0.328,0,0,0,0,1,5,0,0,0.111,ZOM,NA,17%,0%
583232,Jerry Gase,VfB Concordia Britz 1916,10,0,0,0,0,0,0,5,749,0,7,0.64,0.832,0,0,0,0,1,9,0,0,0.358,ST,NA,10%,0%
583233,Welton Pereira Dos Santos,BSV Al-Dersimspor,9,0,0,0,0,0,5,4,368,0,94,0.315,0.454,0,0,0,0,0,9,0,0,0.185,NA,NA,NA%,0%
585335,Mücahid Kahraman,BSV Al-Dersimspor,9,1,1,0,0,0,2,7,506,0,3,0.432,0.625,0.222,1,0.111,9,7,2,1.286,0.429,0.459,RV,RM,33%,22%
587441,Karl Anker,Berliner SV 1892,10,0,0,0,0,0,4,3,527,0,8,0.45,0.586,0,2,0.2,6,6,4,1,0.333,0.445,IV,LV,30%,20%
589040,Bahadir Katirci,BFC Meteor 06,2,0,0,0,0,0,2,0,22,0,7,0.019,0.122,0,0,0,0,0,2,0,0,0.03,NA,NA,NA%,0%
589529,Daniel Schneidawind,SV Empor Berlin II,2,2,0,0,0,0,0,1,169,0,13,0.144,0.939,1,0,0,3,3,-1,1,0.333,0.364,IV,NA,150%,0%
589795,Noah Peter,Berliner SC II,8,0,0,0,0,0,0,1,695,0,12,0.594,0.965,0,5,0.625,7,8,0,0.875,0.292,0.675,ZM,ZDM,75%,25%
589922,Alexander Huse,Berliner SC II,9,0,1,0,0,0,4,5,340,0,13,0.291,0.42,0.111,0,0,4,5,4,0.8,0.267,0.278,ST,RM,44%,11%
591698,Antonio Ciao,SC Borsigwalde 1910,2,0,0,0,0,0,2,0,8,0,22,0.007,0.044,0,0,0,8,5,-3,1.6,0.533,0.224,ZDM,ZOM,100%,100%
603109,Yannic Behrendt,VfB Concordia Britz 1916,2,0,0,0,0,0,1,0,135,0,NA,0.115,0.75,0,0,0,0,2,0,0,0,0.185,IV,NA,100%,0%
609587,Mustafa Arslan,BSV Al-Dersimspor,5,0,0,0,0,0,0,0,450,1,1,0.385,1,0,1,0.2,9,6,-1,1.5,0.5,0.576,TW,NA,100%,0%
609589,Ahmad Zahlan,BFC Meteor 06,12,0,0,6,0,0,0,7,935,0,6,0.799,0.866,0,5,0.417,21,12,0,1.75,0.583,0.771,ZDM,LM,67%,17%
610525,Antonio Boeddinghaus,FC Internationale Berlin 1980,5,1,0,0,0,0,2,1,274,0,6,0.234,0.609,0.2,1,0.2,2,3,2,0.667,0.222,0.341,LV,IV,40%,20%
611139,Marc Anthony Weisse,SV Stern Britz 1889,1,0,0,0,0,0,0,1,84,0,NA,0.072,0.933,0,1,1,3,1,0,3,1,0.908,ZM,NA,100%,0%
611865,Nikita Charkov,Berliner SV 1892,10,0,0,0,0,0,1,2,836,0,20,0.715,0.929,0,4,0.4,15,9,1,1.667,0.556,0.743,IV,ZM,40%,20%
614245,Riccardo Ciao,SC Borsigwalde 1910,8,1,0,0,0,0,1,5,568,0,18,0.485,0.789,0.125,0,0,8,5,3,1.6,0.533,0.517,ZDM,ZOM,25%,25%
627319,Matteo Günther,TSV Rudow Berlin,10,9,1,0,0,0,0,3,894,4,9,0.764,0.993,1,3,0.3,23,10,0,2.3,0.767,0.824,ST,NA,100%,0%
627402,Jakob Heilmann,Berliner SC II,6,0,0,0,0,0,2,3,264,0,2,0.226,0.489,0,1,0.167,5,5,1,1,0.333,0.349,LM,LV,50%,17%
627559,Amir Awag,BSV Al-Dersimspor,9,1,0,0,0,0,1,2,733,0,5,0.626,0.905,0.111,2,0.222,13,9,0,1.444,0.481,0.628,RM,IV,33%,22%
636409,Okan Özkaya,SV Stern Britz 1889,5,0,0,0,0,0,5,0,73,0,3,0.062,0.162,0,0,0,0,0,5,0,0,0.051,NA,NA,NA%,0%
654219,Maurice Meyer,SV Empor Berlin II,3,0,0,0,0,0,0,0,270,0,1,0.231,1,0,1,0.333,2,4,-1,0.5,0.167,0.436,TW,NA,133%,0%
656536,Maximilian Blust,Berliner SV 1892,1,0,0,0,0,0,1,0,80,0,NA,0.068,0.889,0,0,0,0,0,1,0,0,0.198,NA,NA,NA%,0%
656966,Naim Senay,SV Stern Britz 1889,8,0,1,0,0,0,3,3,460,1,26,0.393,0.639,0.125,0,0,6,5,3,1.2,0.4,0.406,RV,LV,38%,12%
663469,Jamal Dähn,BFC Meteor 06,1,0,0,0,0,0,1,0,32,0,NA,0.027,0.356,0,0,0,0,0,1,0,0,0.079,NA,NA,NA%,0%
665521,Victor Kausch,Berliner SC II,1,0,0,0,0,0,1,0,19,0,NA,0.016,0.211,0,0,0,0,0,1,0,0,0.047,NA,NA,NA%,0%
665771,Steven Koschek,Berliner SV 1892,9,0,0,0,0,0,0,2,799,0,NA,0.683,0.986,0,0,0,21,9,0,2.333,0.778,0.713,ZM,IV,78%,11%
665786,Nemanja Samardzic,TSV Rudow Berlin,1,0,0,0,0,0,1,0,29,0,NA,0.025,0.322,0,0,0,0,0,1,0,0,0.072,NA,NA,NA%,0%
666752,Vittorio Achour,BSV Al-Dersimspor,2,0,0,0,0,0,2,1,72,0,NA,0.062,0.4,0,0,0,0,0,2,0,0,0.099,NA,NA,NA%,0%
667353,Maurice Völckert,BSV Eintracht Mahlsdorf II,9,3,4,0,0,0,0,7,613,0,11,0.524,0.757,0.778,0,0,19,9,0,2.111,0.704,0.59,ST,NA,89%,0%
670955,Jan Lange,Türkiyemspor Berlin,4,0,0,0,0,0,1,2,297,0,NA,0.254,0.825,0,0,0,3,3,1,1,0.333,0.375,IV,LV,50%,25%
681368,Tjerk Ortmann,SV Empor Berlin II,3,0,0,0,0,0,2,1,112,0,4,0.096,0.415,0,0,0,1,1,2,1,0.333,0.245,IV,NA,33%,0%
682329,Julius Zauner,Berliner SV 1892,12,3,0,0,0,0,7,5,563,0,11,0.481,0.521,0.25,1,0.083,15,5,7,3,1,0.673,ST,ZOM,33%,8%
691769,Oliver Schill,BFC Preussen II,1,0,0,0,0,0,0,0,90,0,NA,0.077,1,0,1,1,3,1,0,3,1,0.923,IV,NA,100%,0%
693057,Merdan Baba,BSV Al-Dersimspor,5,6,2,0,0,0,1,1,392,2,10,0.335,0.871,1.6,3,0.6,12,6,-1,2,0.667,0.721,ST,NA,100%,0%
696770,Sam Diokhane,BSV Al-Dersimspor,8,0,0,0,0,0,2,0,596,0,4,0.509,0.828,0,1,0.125,9,6,2,1.5,0.5,0.556,ZDM,ZOM,62%,12%
