Rank,Team,Nr,Name,Pos,Spielzeit,Score
88,Berliner SV 1892,27,Nick Bechler,IV,1033,0.542
89,SC Borsigwalde 1910,14,Magnus Crone,RM,901,0.539
90,FC Viktoria 1889 Berlin II,9,Vito Everett Dieckert,ZM,555,0.539
91,BFC Preussen II,NA,Lucky Ugbogbo,LM,309,0.539
92,BSV Al-Dersimspor,47,Mohamad-Ali Chawraba,ST,860,0.537
93,BFC Meteor 06,84,Pascal-Rene Jüterbock,LM,285,0.537
94,Berliner SC II,1,Paul Schlicht,TW,990,0.537
95,Berliner SC II,12,Noah Peter,ZM,705,0.536
96,BFC Preussen II,48,Ugurcan Yilmaz,ZOM,374,0.535
97,Berliner SV 1892,19,Göktug Özsoy,ZM,935,0.532
98,Berliner SC II,6,Kevin Uwe Einspannier,ST,1126,0.53
99,Berliner SC II,4,Leon Ibrom,IV,1093,0.529
100,BFC Meteor 06,1,Leo Suilmann,TW,574,0.529
101,Berliner SV 1892,21,Lennard Schleifenbaum,ST,1051,0.527
102,FC Viktoria 1889 Berlin II,17,Matthieu Lucas Weinlein,ST,914,0.527
103,BFC Meteor 06,18,Farouk Ben Mustapha,ST,327,0.527
104,SC Borsigwalde 1910,19,Marcel Bubner,LM,1060,0.525
105,Berliner SC II,14,Simon Riedel,RV,792,0.525
106,SC Borsigwalde 1910,27,Khaled El-Okkla,IV,889,0.521
107,BFC Preussen II,6,Meiko Hesse,ZDM,728,0.521
108,Berliner SC II,28,Ben Fidanboy,RV,218,0.521
109,Berliner SV 1892,11,Julius Zauner,ST,719,0.52
110,BSV Eintracht Mahlsdorf II,10,Marc Michas,ZM,669,0.52
111,Türkiyemspor Berlin,8,Ömer Tanis,ZDM,1149,0.52
112,Berliner SC II,15,Jakob Oevermann,IV,261,0.516
113,SC Borsigwalde 1910,11,Oskar Denis Cuesta,NA,241,0.516
114,SC Borsigwalde 1910,9,Fabio Rondinelli,RM,681,0.515
115,Türkiyemspor Berlin,3,Kenan Demir,IV,986,0.513
116,Berliner SV 1892,15,Lewi Dawit Molalegn,ST,677,0.512
117,BSV Eintracht Mahlsdorf II,20,Leon Schmeißer,RM,470,0.511
118,BSV Al-Dersimspor,1,Mustafa Arslan,TW,540,0.51
119,BSV Al-Dersimspor,5,Amir Awag,IV,1093,0.51
120,Türkiyemspor Berlin,13,Ertugrul Aktas,TW,990,0.51
121,FC Viktoria 1889 Berlin II,26,Jeremy Herrmann,ZDM,1013,0.508
122,BFC Preussen II,22,Atacan Özcan,LM,556,0.508
123,BFC Preussen II,7,Hugo Timur,ST,585,0.507
124,Berliner SV 1892,28,David Bellin,RM,731,0.507
125,Berliner SC II,31,Jesse Kreuschner,TW,360,0.507
126,BFC Preussen II,28,Jeff Nnaemeka-Chukwurah,ZOM,495,0.505
127,SC Borsigwalde 1910,3,Mohammed Yaqoobi,LV,739,0.505
128,BSV Al-Dersimspor,27,Caglar Polat,ZOM,917,0.499
129,TSV Rudow Berlin,16,Yannick Emanuel Wöhle,ST,157,0.499
130,BSV Al-Dersimspor,20,Merdie Tshondo,RV,179,0.499
131,FC Viktoria 1889 Berlin II,11,Chae-Hyun Jeong,RM,867,0.498
132,Berliner SC II,16,Bene Brecht,ZM,450,0.497
133,SC Borsigwalde 1910,13,Furkan Yildirim,ZDM,962,0.484
134,FC Internationale Berlin 1980,11,Niklas Schindler,IV,760,0.483
135,Köpenicker FC,27,Till Dietrich,RV,870,0.481
136,SC Borsigwalde 1910,18,Riccardo Ciao,ZDM,903,0.481
137,FC Viktoria 1889 Berlin II,21,Oskar Schlembach,ZDM,122,0.481
138,SC Borsigwalde 1910,15,Firat Yildirim,ZDM,531,0.48
139,Türkiyemspor Berlin,20,Mohamad Faramarzi,RM,241,0.48
140,BSV Eintracht Mahlsdorf II,14,Tom Greif,RV,119,0.479
141,Köpenicker FC,13,Tarek Borchmeier,ZM,1042,0.478
142,Berliner SV 1892,7,Paul Busche,ZM,740,0.472
143,FC Viktoria 1889 Berlin II,24,Maciej Macias,ZOM,629,0.472
144,BFC Meteor 06,21,Soner Demiryürek,ZM,148,0.471
145,TSV Rudow Berlin,21,Abdullah Bayram,LM,508,0.469
146,SV Stern Britz 1889,1,Timo Ziebarth,TW,810,0.468
147,FC Viktoria 1889 Berlin II,8,Joan Schäfer Llauger,LM,366,0.468
148,BFC Preussen II,30,Yasin Demir,IV,590,0.467
149,BSV Eintracht Mahlsdorf II,11,Maurice Völckert,ST,636,0.466
150,Köpenicker FC,8,Jonas Weigelt,IV,832,0.464
151,Berliner SV 1892,1,Hendrik Lüttschwager,TW,810,0.462
152,BFC Preussen II,15,Marcel Berner,RV,496,0.46
153,Köpenicker FC,28,Philip Möhle,RV,512,0.459
154,FC Internationale Berlin 1980,14,Ryan Max Robert French,LM,752,0.458
155,SV Stern Britz 1889,7,Dustin Sik,RM,1171,0.456
156,BSV Al-Dersimspor,4,Sam Diokhane,ZDM,956,0.456
157,Köpenicker FC,18,Roman Ilinseer,ST,874,0.456
158,BSV Al-Dersimspor,18,Jonathan Schäfer,LV,789,0.456
159,Köpenicker FC,10,Nicolas Tauschwitz,LM,731,0.455
160,TSV Rudow Berlin,19,Ahmad Haj Youssef,LM,487,0.455
161,BFC Preussen II,8,Paul Miggel,LV,296,0.454
162,SV Empor Berlin II,14,Tilman Schinzel,IV,900,0.453
163,FC Internationale Berlin 1980,16,Marlon Mayen Guzman,ZDM,110,0.453
164,Köpenicker FC,23,Tom-Niclas Hamann,IV,574,0.452
165,Berliner SC II,10,Erhan Kücükosman,RM,465,0.452
166,TSV Rudow Berlin,18,Dennis Rötzscher,ZDM,427,0.45
167,BSV Al-Dersimspor,8,Milos Savkovic,LM,879,0.45
168,SV Empor Berlin II,9,Demba Mendy,ST,724,0.448
169,Berliner SV 1892,23,Linus Hechtfisch,TW,540,0.447
170,BFC Preussen II,10,Moris Fikic,ZOM,596,0.446
171,Berliner SC II,3,Nikolaos Kaggelidids,LV,914,0.444
172,Türkiyemspor Berlin,11,Mustafa Kemal Karaman,LV,785,0.444
173,FSV Berolina Stralau 1901,15,Denis Rolke,IV,1004,0.44
174,Berliner SV 1892,12,Ali Ismail Gashi,RM,131,0.44
175,FC Viktoria 1889 Berlin II,4,David Nagel,IV,380,0.439
176,FC Internationale Berlin 1980,19,Moreno Schneider,RM,589,0.437
177,SV Stern Britz 1889,22,Luca Wojan,ZDM,1013,0.436
178,FSV Berolina Stralau 1901,5,Eric Stier,ST,901,0.434
179,FSV Berolina Stralau 1901,23,Andreas Friese,TW,900,0.433
180,Köpenicker FC,11,Alexander Foth,RM,463,0.431
181,SV Empor Berlin II,2,Pascal Bräkow,RV,1250,0.43
182,FSV Berolina Stralau 1901,12,Sebastian Heßler,LM,517,0.429
183,SV Empor Berlin II,5,Elias Thürigen,IV,940,0.429
184,FSV Berolina Stralau 1901,4,Tobias Reuter,ZM,1150,0.424
185,BSV Eintracht Mahlsdorf II,4,Niklas Isberner,IV,724,0.423
186,FSV Berolina Stralau 1901,3,Georg Schönfelder,IV,1048,0.422
187,Türkiyemspor Berlin,32,Deniz Karakus,IV,217,0.42
188,SV Empor Berlin II,3,Niclas Nixdorf,IV,905,0.418
189,FSV Berolina Stralau 1901,10,Ibrahim Diallo,ZM,244,0.416
190,Türkiyemspor Berlin,17,Florian Nikolai Thalhofer,RV,407,0.415
191,SV Stern Britz 1889,NA,Timo Brei,IV,360,0.415
192,FC Internationale Berlin 1980,6,Antonio Boeddinghaus,IV,454,0.414
193,BFC Preussen II,14,Alexander Gajda,RV,316,0.413
194,FSV Berolina Stralau 1901,22,Ian Häberle,IV,941,0.412
195,VfB Concordia Britz 1916,9,Le-Roy Da-Costa,ST,202,0.41
196,SV Stern Britz 1889,20,Shaker Shawrdi,LM,841,0.41
197,Köpenicker FC,19,Noah Maximilian Laske,RV,451,0.408
198,VfB Concordia Britz 1916,4,Merdan Köse,IV,749,0.406
199,FSV Berolina Stralau 1901,9,Ole Bresemann,ST,693,0.405
200,SV Empor Berlin II,11,Dennis Seiler,IV,855,0.404
201,VfB Concordia Britz 1916,33,Malte Meißner,TW,675,0.404
202,BSV Eintracht Mahlsdorf II,15,Tim Pötig,RV,672,0.404
203,Köpenicker FC,24,Felix Wittenburg,ZM,432,0.404
204,BFC Preussen II,13,Rommel Abou-Chaker,ST,347,0.402
205,SV Empor Berlin II,10,Leon Drannaschk,LM,999,0.402
206,SV Empor Berlin II,20,Laurens Cerny,ZM,827,0.402
207,BSV Al-Dersimspor,3,Mücahid Kahraman,RV,803,0.398
208,BSV Al-Dersimspor,1,Patrick Boel,TW,720,0.397
209,FC Internationale Berlin 1980,4,Nicolas Costa Echeverria,IV,1170,0.397
210,FSV Berolina Stralau 1901,7,Adrian Welch,ST,364,0.396
211,Türkiyemspor Berlin,36,Deren Yoldas Emre,LV,889,0.395
212,FSV Berolina Stralau 1901,16,Tom Jonach,ZM,953,0.391
213,SV Stern Britz 1889,18,Jonas Lück,TW,416,0.391
214,VfB Concordia Britz 1916,5,Tim Wenke,IV,585,0.39
215,BSV Eintracht Mahlsdorf II,6,Oliver Spigaht,RM,316,0.39
216,Köpenicker FC,14,Anton Neumann,ZM,711,0.39
217,BFC Preussen II,25,Christian Müller,ZDM,287,0.39
218,FSV Berolina Stralau 1901,21,Noah Maiß,ZM,630,0.389
219,FSV Berolina Stralau 1901,19,Daniel Fischer,LM,464,0.388
220,BFC Meteor 06,14,Steven Demarr Saunders,RM,442,0.387
221,Türkiyemspor Berlin,16,Habib Jalloh,LM,519,0.382
222,Berliner SV 1892,9,Sebastian Sobczyk,ST,506,0.381
223,SC Borsigwalde 1910,21,Kai Neumann,ZM,204,0.379
224,FC Viktoria 1889 Berlin II,2,Lukas-Noah Littler,IV,571,0.378
225,FC Viktoria 1889 Berlin II,5,Ismail Bendjelloul,ZDM,520,0.376
226,Berliner SC II,23,Ezher Akbulut,LM,690,0.376
227,Berliner SV 1892,8,Karl Anker,IV,593,0.374
228,Türkiyemspor Berlin,10,Oguzhan Codura,ST,312,0.373
229,BSV Eintracht Mahlsdorf II,21,Kilian Oliver Reinke,LV,516,0.373
230,SV Empor Berlin II,12,Keita Udo,ZM,535,0.372
231,VfB Concordia Britz 1916,NA,Yannic Behrendt,IV,244,0.371
232,SV Stern Britz 1889,6,Timo Höhna,LV,876,0.364
233,Berliner SC II,2,Jakob Heilmann,LM,444,0.363
234,SV Empor Berlin II,NA,Aaron Yusuff,TW,666,0.363
235,VfB Concordia Britz 1916,23,Benedikt Schmidtmann,LV,963,0.362
236,SC Borsigwalde 1910,17,Philip Bartoschek,ZOM,329,0.362
237,SV Empor Berlin II,23,Nico Bochnia,ST,452,0.362
238,SC Borsigwalde 1910,5,Eren Motuk,IV,442,0.361
239,BSV Al-Dersimspor,7,Emre-Eyüp Önal,ZDM,909,0.36
240,SV Empor Berlin II,22,Laszlo Braun,ST,448,0.36
241,SV Stern Britz 1889,19,Oguzhan Duman,ZOM,600,0.357
242,Türkiyemspor Berlin,21,Koray Aktas,TW,275,0.353
243,VfB Concordia Britz 1916,1,Leon Ketel,TW,585,0.351
244,FC Internationale Berlin 1980,3,Jamie Dell Bullock,LV,461,0.35
245,Berliner SC II,8,Nicolas Wolski,RV,492,0.347
246,TSV Rudow Berlin,6,Jan-Eric Frank,IV,410,0.347
247,SV Empor Berlin II,1,Maurice Meyer,TW,504,0.346
248,FC Internationale Berlin 1980,30,Oscar Reinaldo Avendano Leon,LM,495,0.345
249,VfB Concordia Britz 1916,19,Arne-Luca Auctun,IV,1072,0.343
250,VfB Concordia Britz 1916,29,Patrick Wenke,IV,390,0.341
251,Türkiyemspor Berlin,32,Davut Kösker,TW,360,0.34
252,BFC Preussen II,19,Tim Eymann,LV,242,0.339
253,SV Stern Britz 1889,29,Cliff Boanu,LM,841,0.334
254,BFC Meteor 06,8,Fredy Balde,LM,173,0.333
255,Berliner SV 1892,6,Chidera Iwuozor,LM,276,0.333
256,Türkiyemspor Berlin,NA,Jan Lange,IV,297,0.331
257,Köpenicker FC,5,Tom Nischwitz,IV,654,0.327
258,FC Internationale Berlin 1980,9,Albert Bauder,ST,324,0.327
259,FC Viktoria 1889 Berlin II,3,Joshua Isaias Almedom,RM,321,0.326
260,VfB Concordia Britz 1916,17,Philip Wieser,ZM,837,0.326
261,SV Stern Britz 1889,5,Miran Aykus,IV,344,0.324
262,SC Borsigwalde 1910,49,Kenneth Weise,IV,300,0.322
263,BSV Al-Dersimspor,44,Kaan Ucbaglar,LM,402,0.322
264,SV Stern Britz 1889,26,Naim Senay,RV,562,0.32
265,FC Internationale Berlin 1980,1,Cristobal Del Fierro,NA,1080,0.32
266,FSV Berolina Stralau 1901,NA,Christopher Schwarz,ZM,479,0.319
267,FSV Berolina Stralau 1901,8,Pablo Guillen,ST,658,0.319
268,FSV Berolina Stralau 1901,11,Yussef Jradi,ST,489,0.319
269,FSV Berolina Stralau 1901,1,Jannes Potthoff,TW,450,0.317
270,SV Empor Berlin II,7,Jonathan Stolp,ST,634,0.316
271,Türkiyemspor Berlin,9,Muzaffer Kirimoglu,ST,569,0.315
272,Türkiyemspor Berlin,6,Kenan Özen,ZDM,410,0.314
273,BSV Al-Dersimspor,NA,Baris Güngör,ZM,204,0.313
