Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
2,BSV Al-Dersimspor,SV Stern Britz 1889,4,1,home,S,"Boel – Kahraman (67. Tshondo), Tonk, Zagmouz, Schäfer – Diokhane, Önal (83. Seyyidoglu) – Awag (77. Dos Santos), Güngör (70. Krasniqi), Chawraba (78. El Noumeiri) – Baba",4-2-3-1,5
2,SV Empor Berlin II,Köpenicker FC,1,2,home,S,"Yusuff – Nixdorf, Schinzel, Macketanz, Bräkow (83. Misgayski) – Seiler, Ettah (52. Duczmal), Lippe (69. Udo) – Stolp (78. Ortmann), Mendy (65. Mentrup), Drannasck",4-3-3,5
2,BFC Preussen II,FC Internationale Berlin 1980,2,1,away,S,"Dietzel – Hammoud, Kohlmann, Schill, Fischer (55. Eymann) – Schatz (50. Demir), Hesse (73. Müller) – Fikic, Stahlberg – Ugbogbo (61. Kagoue), Abu-Chaker (61. Mucuk)",4-2-2-2,5
2,BFC Meteor 06,FC Viktoria 1889 Berlin II,2,3,away,S,"Begzadic – Terzopulos-Kousoubas (78. Celik), Riese, Nerlich, Karasu – Jantzen (46. Schröder), Zahlan (23. Ugur) – Toflaj (87. Abouri), Okoronkwo, Ella – Heimur (87. Balde)",4-2-3-1,5
2,SC Borsigwalde 1910,Berliner SC II,0,1,away,S,"Kräft – Braga De Souza, Bencheikh, El-Okkla, Kummer, Neumann (79. Chukwu) – Yildirim, Stefaniszin (79. Djekonbe) – Ciao (87. Yildirim) – Miranda Silva, Crone",5-2-1-2,3
2,TSV Rudow Berlin,Türkiyemspor Berlin,0,0,away,NR,"Gromotka – Burda, Fürstenow, Becker – Rötzsher, Wuthe, Hassane, Badu-Amoah – Sennur – Günther, Maykowski (77. Wöhle)",3-4-1-2,1
2,BSV Eintracht Mahlsdorf II,Berliner SV 1892,4,0,away,NR,"Streiter – Engfer (76. Reinke), Bothe, Mansour (60. Schröter), Stöver – Szczech (81. Greif), Preiss, Michas, Halilcevic (60. Pötig) – Völckert, Heydemann (68. Reichenberger)",4-4-2,5
2,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,2,1,away,L,"Friese – Bode, Häberle, Schönfelder – Rolke, Jonach (65. Tsuchiya), Saiti (79. Nikolajewski), Schwarz (53. Reuter), Maiß – Stier (75. Jradi), Bresemann (75. Adler)",3-5-2,5
2,SV Stern Britz 1889,BSV Al-Dersimspor,1,4,away,S,"Ziebarth – Senay, Brei, Borowski, Boanu – Wojan, Diallo, Pyplatz – Sik, Ehrich (70. Duman), Ridzewski (57. Aykus)",4-3-3,2
2,Köpenicker FC,SV Empor Berlin II,2,1,away,S,"Seeber – Möhle (77. Dietrich), Weigelt, Hamann, Carius – Rostock (16. Ilinseer), Hartmann, Neumann (89. Wesolek), Borchmeier – Bohnsack (81. Nischwitz), Ondo Mangue (86. Klauke)",4-4-2,5
3,BFC Preussen II,TSV Rudow Berlin,1,4,home,S,"M. Hartmann – Hammoud, Mucuk, Kohlmann, Berner (64. Andresen) – Y. Demir, Müller (12. Hesse) – Kagoue (64. Özcan), Fikic, Engelsing (78. Szerwinski) – Abou-Chaker (64. Engin)",4-2-3-1,5
3,SV Empor Berlin II,FC Internationale Berlin 1980,2,2,home,S,"Bloch – Bräkow, Thürigen, Schneidawind (80. Mentrup), Macketanz – Marquard, Duczmal (67. Ettah), Udo (46. Cerny) – Tuckerman (73. Mendy), Stolp, Drannaschk",4-3-3,4
3,BFC Meteor 06,Berliner SC II,1,2,home,M,"Begzadic – Abouri (68. Terzopoulos-Koutsoubas), Riese, Adigüzel, Karasu – Celik (46. Böhm), Ella (57. Ugur), Tolaj, Zahlan (84. Mustapha), Heimur – Okoronkwo (68. Jüterbock)",4-5-1,5
3,Köpenicker FC,Türkiyemspor Berlin,3,4,home,NR,"Thiemann – Bohnsack (73. Süring), Nischwitz, Dietrich, Munsky (50. Möhle) – Foth, Borchmeier, Hartmann, Carius – Ilinseer (89. Nyassi), Ondo Mangue (60. Brandt)",4-4-2,4
3,BSV Eintracht Mahlsdorf II,SV Stern Britz 1889,2,1,home,M,"Streiter – Pötig (55. Szczech), Bothe, Mansour, Stöver – Engfer, Preiss, Grützner (63. Grund), Halilcevic (69. Reinke) – Völckert (90.+1 Isberner), Reichenberger",4-4-2,4
3,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,3,3,home,S,"Kräft – Braga De Souza, Motuk, Bencheikh (65. Bartoschek), Neumann – Yildirim, Kummer – Rondinelli (65. Akkaoui), Ciao (65. El-Okkla), Bubner (90.+7 Yaquobi) – Miranda Silva",4-2-3-1,4
3,VfB Concordia Britz 1916,Berliner SV 1892,1,5,home,L,"Ketel (46. Meißner) – Röchert, Auctun, Wenke, Eschert (61. Yassine) – Weglöhner, Wenke (73. Schmidtmann), Lozynskyy (61. Brüning), Bruns – Kühn, Gase (46. Gassen)",4-4-2,5
3,FSV Berolina Stralau 1901,BSV Al-Dersimspor,0,1,home,S,"Friese – Häberle, Schönfelder, Nikolajewski – Rolke (70. Hufnagel), Maiß, Jonach, Guillen (56. Saiti), Reuter (79. Tsuchiya)– Jradi, Bresemann (56. Son)",3-5-2,4
3,TSV Rudow Berlin,BFC Preussen II,4,1,away,S,"Zabavin – Becker, Burda, Fürstenow – Rötzscher (10. Haj Youssef), Wuthe, Hassane, Badu-Amoah (86. Frank) – Maykowski (83. Wöhle) – Günther (90.+2 Aktas), T. Sennur (71. S. Sennur)",3-4-1-2,5
3,FC Internationale Berlin 1980,SV Empor Berlin II,2,2,away,S,"Del Fierro – Bullock (58. French), Marigo, Echeverra, Boeddinghaus – Freitag, Topal, Kranz, Leon (58. Bauder) – Daus, Stanley (90. Bratschke)",4-4-2,3
3,Berliner SC II,BFC Meteor 06,2,1,away,M,"Kreuschner – Fidanboy, Oevermann, Leitner, Kaggelidids – Wolski (63. Rad), Einspannier, Niedenhoff, Lilja (77. Huse) – Kücükosman (85. Antoniofrancisco), Glaser (90.+2 Riedel)",4-4-2,4
3,Türkiyemspor Berlin,Köpenicker FC,4,3,away,NR,"E. Aktas – Özen (46. Ertürkler), Demir (78. Koca), Yilmas, K. Aktas (67. Kirimoglu) – Simunovic (25. Lange), Diallo, Uzun, Saberdest, Tanis – Codura (78. Faramazi)",4-5-1,5
3,SV Stern Britz 1889,BSV Eintracht Mahlsdorf II,1,2,away,M,"Ziebarth – Frobenius, Brei, Borowski, Höhna – Wojan (78. Duman), Diallo, Pyplatz (78. Hauf) – Ehrich (30. Aykus, 70. Senay), Leci, Chawdri",4-3-3,4
