Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
7,FC Internationale Berlin 1980,BSV Al-Dersimspor,7,1,home,S,"Del Fierro – Marigo, Castro Barbera (65. Schindler), Costa Echeverria, Kranz – Freitag, Avendano Leon (78. Bullock) – de Rosnay, Topal (73. Guzman), Daus – French (78. Chahed)",4-2-3-1,4
7,BFC Preussen II,FC Viktoria 1889 Berlin II,5,2,home,S,"Hartmann – Öczan (90. A. Gajda), Kohlmann, Stahlberg, Engelsing – Hesse (75. Fischer), Yilmaz – Gashi, Nnaemeka-Chukwurah, Moreira Godinho – Timur (68. Kagoue)",4-2-3-1,3
7,BFC Meteor 06,SV Stern Britz 1889,9,2,home,M,"Begzadic – Adigüzel, Karasu, Nerlich, Schröder – Saunders (58. Ella), Riese, Ugur, Zahlan (58. Jüterbock/81. Talaj) – Jantzen (81. Heimur), Böhm (86. Hamiss)",4-4-2,4
7,Köpenicker FC,BSV Eintracht Mahlsdorf II,1,4,home,NR,"Seeber – Laske (59. Tauschwitz), Dietrich (84. Nischwitz), Carius, Weigelt – Ondo Mangue (46. Möhle), Neumann, Hartmann, Borchmeier (46. Ilinseer), Bohnsack (55. Brandt) – Zengler",4-5-1,5
7,SV Empor Berlin II,Türkiyemspor Berlin,2,0,home,S,"Bloch – Bräkow, Nixdorf, Schinzel – Seiler, Braun (80. Dinh), Ettah, Cerny, Mentrup (69. Lippe) – Mendy, Drannaschk",3-5-2,2
7,Berliner SV 1892,Berliner SC II,1,0,home,NR,"Lüttschwager – Jost, Özsoy, Charkov (90. Fischer), Bechler – Bellin (82. Anker), Busche (82. Paschke), Koschek, Schleifenbau – Zauner (63. Molalegn), Elsaadawi (63. Sobczyk)",4-4-2,5
7,VfB Concordia Britz 1916,TSV Rudow Berlin,0,3,home,L,"Ketel – Röchert, Auctun, Brüning, Schmidtmann – Weglöhner, Lozyns`Kyy, Je. Gase, Wieser (70. Jo. Gase), Kühn (75. Tatli) – Bruns (74. Souza Rosa)",4-5-1,3
7,FSV Berolina Stralau 1901,SC Borsigwalde 1910,0,2,home,S,"Friese – Nikolajewski, Rolke (67. Fischer), Saiti (46. Jradi), Häberle – Reuter, Schwarz (67. Tsuchiya), Maiß – Stier (34. Bresemann), Guillen, Bravo (80. Bode)",4-3-3,5
7,BSV Al-Dersimspor,FC Internationale Berlin 1980,1,7,away,S,"Arslan – Awag (75. Tshondo), Zagmouz, Kalkan (53. Pereira dos Santos), Kahraman (53. Abduli) – Tonk, Önal (53. Essel) – Polat (53. Ucbaglar), Diokhane, Savkovic – Krasniqi",4-2-3-1,5
7,FC Viktoria 1889 Berlin II,BFC Preussen II,2,5,away,S,"Karika – Westhäusser, Thiele, Stefanovic, Pereira Mendes – Höbling, Herrmann (61. Bendjelloul), Macias (46. Jeong), Ait Manssor (46. Llauger) – Weinlein (83. Ali), Halimi (83. Schlembach)",4-4-2,5
7,SV Stern Britz 1889,BFC Meteor 06,2,9,away,M,"Lück (57. Yildirim) – Senay (65. Frobenius), Schulz, B. Leci, Diallo – Wojan, Ehrich (49. Pyplatz) – Sik, Duman, Shawrdi– L. Leci",4-2-3-1,3
7,BSV Eintracht Mahlsdorf II,Köpenicker FC,4,1,away,NR,"Streiter – Pötig (85. Spigath), Mansour (84. Isberner), Bothe, Schreiber – Schmeißer, Preiss, Maroske (72. Michas), Stöver (83. Reinke) – Völckert (66. Koyuncu), Reichenberger",4-4-2,5
7,Türkiyemspor Berlin,SV Empor Berlin II,0,2,away,S,"Kösker – Demir, Lange (71. El-Ali), Karakus – Emre, Karaman, Tanis, Thalhofer (46. Jalloh) – Codura (46. Almeida), Saberdest, Ertürkler",3-4-3,3
7,Berliner SC II,Berliner SV 1892,0,1,away,NR,"Schlicht – Kaggelidids, Ibrom, Leitner, Riedel – Klebe (46. Lorenz), Einspannier, Wolski (77. Bolz), Akbulut (68. Calmels) – Glaser, Huse (62. Joseski)",4-4-2,4
7,TSV Rudow Berlin,VfB Concordia Britz 1916,3,0,away,L,"Gromotka – Burda, Fürstenow, Becker – Maykowski (90. Bayram), Wuthe, Hassane, Badu-Amoah (80. Thonfeld) – Hortum (75. Haj Youssef) – Günther (87. Frank), Aktas (46. Tolaj)",3-4-1-2,5
7,SC Borsigwalde 1910,FSV Berolina Stralau 1901,2,0,away,S,"Knetsch – Souza, Okkla, Fi. Yildirim – Yaqoobi, Stefaniszin (46. Motuk), Fu.Yildirim, Crone, Bubner (74. Bartoschek), Rondinelli (60. Neumann) – Silva (82. Ciao)",3-6-1,4
8,SC Borsigwalde 1910,BFC Meteor 06,3,1,home,S,"Knetsch – De Souza, El-Okkla, Kummer, Yaqoobi (67. Motuk) – Stefaniszin, Firat Yildirim (75. Bartoschek) – Cuesta (62. Rondinelli, 90. Barnat), Furkan Yildirim, Bubner – Miranda Silva (86. Weise)",4-2-3-1,5
8,SV Stern Britz 1889,VfB Concordia Britz 1916,3,0,home,L,"Lück – Aykus, Schulz, Höhna – Wojan (83. Boleci), Ehrich (70. Pyplatz)– Senay (56. L Leci), Duman, Boanu – Sik, Shawdri (77. Özkaya)",3-2-3-2,4
8,BFC Preussen II,Köpenicker FC,4,1,home,S,"Hartmann – Yilmaz (15. Hesse), Kohlmann, Mucuk, Engelsing – Özcan (82. Miggel), Nnaemeka-Shukwurah – Godinho, Gashi (82. Gajda), Stahlberg – Timur (71. Abou-Chaker)",4-2-3-1,4
8,TSV Rudow Berlin,SV Empor Berlin II,1,0,home,L,"Gromotka – Burda, Fürstenow, Becker – Maykowski (90.+3 Thonfeld), Hassane, Rötzscher (51. Bayram), Badu-Amoah (88. Tolaj) – Hortum – Günther, Sennur",3-4-1-2,3
8,FC Viktoria 1889 Berlin II,Berliner SC II,2,1,home,S,"Kühn – Westhäusser, Thiele, Pereira Mendes, Stefanovic – Herrmann, Schlembach (76. Ali) – Jeong (66. Almedom), Schäfers Llauger (64. Macias), Ait Manssour (89. Dieckert) – Weinlein",4-2-3-1,4
8,BSV Eintracht Mahlsdorf II,FSV Berolina Stralau 1901,0,2,home,M,"Streiter – Pötig (46. Szczech), Mansour, Bothe, Stöver – Maroske, Preiß – Schmeißer (60. Reinke), Halilcevic (80. Isberner) – Michas (39. Reichenberger), Völckert (66. Grützner)",4-2-2-2,5
8,Türkiyemspor Berlin,FC Internationale Berlin 1980,0,2,home,NR,"Kösker – Aktas (19. De Almeida, 86. Ertürkler), Demis, Yilmas, Karaman (66. Eskin) – Celik (46. Tanis), Koca – Yoldas Emre, Saberdest, Codura (73. Faramarzi) – Kirimoglu",4-2-3-1,5
8,BSV Al-Dersimspor,Berliner SV 1892,3,0,home,S,"Arslan – Tshondo (46. Awag), Zagmouz, Tonk, Schäfer – Diokhane – Savkovic (75. Kahraman), Polat, Ucbaglar (70. Önal) – Baba (90. Schleifring), Chawraba (82. Essel)",4-1-3-2,5
8,BFC Meteor 06,SC Borsigwalde 1910,1,3,away,S,"Suilmann – Taflaj (59. Jüterbock), Riese, Nerlich, Adigüzel – Zahlan (85. Ella), Karasu – Schröder (85. Balde), Jantzen, Heimur (66. Celik) – Böhm",4-2-3-1,4
8,VfB Concordia Britz 1916,SV Stern Britz 1889,0,3,away,L,"Meißner – Eschert (80. Öztürk), Schulz, Behrendt (46. Köse), Schmidtmann – Weglöhner, Lozynskyy (53. Höhle), Wieser, Kühn – Souza Rosa (46. Bruns) – Da-Costa (58. Jerry J. Gase)",4-4-1-1,5
8,Köpenicker FC,BFC Preussen II,1,4,away,S,"Thiemann – Dietrich (57. Hamann), Nischwitz, Carius, Hartmann – Tauschwitz (78. Munsky), Neumann (57. Wittenburg), Borchmeier, Bohnsack – Ilinseer (46. Foth), Zengler (78. Brandt)",4-4-2,5
8,SV Empor Berlin II,TSV Rudow Berlin,0,1,away,L,"Meyer – Nixdorf, Seiler, Thürigen – Bräkow, Ettah, Mentrup (59. Drannaschk), Cerny (69. Dinh) – Udo (80. Kühn) – Braun (86. Macketanz), Mendy",3-4-1-2,4
8,Berliner SC II,FC Viktoria 1889 Berlin II,1,2,away,S,"Schlicht – Wolski, Leitner, Spiegel, Kaggelidids – Einspannier, Peter, Bolz, Heilmann (74. Akbulut) – Glaser (80. Calmels), Huse (36. Barth)",4-4-2,3
8,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,2,0,away,M,"Friese – Rolke, Häberle (46. Nikolajewski), Schönfelder – Jradi (54. Heßler), Reuter, Tsuchiya (75. Schwarz), Fischer – Stier, Bresemann (62. Diallo), Guillen",3-4-3,4
8,FC Internationale Berlin 1980,Türkiyemspor Berlin,2,0,away,NR,"Del Fierro – Marigo, Costa Echeverra, Schindler, Kranz – Topal, Costa Barbera (80. Chahed) – French (74. Bullock), Stanley, Daus (89. Guzman) – Caspar",4-2-3-1,3
8,Berliner SV 1892,BSV Al-Dersimspor,0,3,away,S,"Lüttschwager – Jost, Özsoy, Charkov (75. Tröger), Anker (85. Tedesco) – Bellin (75. Wolf), Busche (85. Gashi), Koschek, Schleifenbaum – Molalegn (55. Zauner), Elsaadawi",4-4-2,5
9,TSV Rudow Berlin,SV Stern Britz 1889,9,2,home,L,"Gromotka – Bayram (77. Youssef), Becker, Fürstenow, Tolaj (72. Frank) – Hassane, Hortum (66. S. Sennur), Maykowski (55. Thonfeld), Wuthe – Günther, T. Sennur (77. Wöhle)",4-4-2,5
9,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,5,1,home,S,"Kühn – Westhäusser (84. Nkrumah), Thiele, Pereira Mendes, Stefanovic – Dieckert, Herrmann – Jeong (70. Almedom), Macias (79. Bendjelloul), Ait Manssour – Weinlein",4-2-3-1,3
9,SV Empor Berlin II,BFC Meteor 06,2,5,home,S,"Meyer – Nixdorf, Seiler, Macketanz – Schinzel, Cerny – Bräkow (60. Kurt), Mendy (84. Wessel), Mentrup (74. Stolp) – Dinh (84. Ettah), Bochnia (74. Drannaschk)",3-2-3-2,5
9,Berliner SC II,BFC Preussen II,0,0,home,S,"Schlicht – Riedel (46. Fidanboy), Ibrom, Leitner, Kaggelidids (23. Antoniofrancisco) – Kücükosman (76. Calmels), Bolz, Peter, Heilmann – Einspannier, Akbulut (60. Glaser)",4-4-2,4
9,Türkiyemspor Berlin,SC Borsigwalde 1910,1,1,home,NR,"E. Aktas – Yoldas Emre (90. K. Aktas), Demir, Yilmas, Karaman – Tanis, Özen – Uzun, Saberdest (86. Koca), Jalloh (88. Eskin) – Kirimoglu",4-2-3-1,3
9,Berliner SV 1892,Köpenicker FC,4,0,home,NR,"Hechtfisch – Tröger (79. Wolf), Tedesco, Jost, Charkov – Bellin (86. Anker), Koschek (86. Gültepe), Özsoy (86. Molalegn), Bechler – Sobczyk (63. Zauner), Schleifenbaum",4-4-2,5
9,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,2,1,home,L,"Del Fierro – Kranz (81. Chahed), Costa Echeverria, Schindler, Marigo – Stanley (46. Freitag), Castro Barbera, Topal (90.+1 Bullock) – French (72. Bauder), De Rosnay (90.+1 Guzman), Daus",4-3-3,5
9,BSV Al-Dersimspor,BSV Eintracht Mahlsdorf II,1,0,home,S,"Arslan – Awag, Zagmouz, Tonk, Schäfer – Diokhane – Kahraman (89. Essel), Polat, Savkovic (60. Önal) – Baba (90.+3 Schleifring), Chawraba (90.+5 Dos Santos)",4-1-3-2,4
9,SV Stern Britz 1889,TSV Rudow Berlin,2,9,away,L,"Lück – B. Leci, Schulz, Aykus – Duman, Ehrich, Höhna (77. Özkaya), Pyplatz (46. Hauf) – Shawrdi (77. Senay), Sik, L. Leci",3-4-3,3
9,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,1,5,away,S,"Meißner – Köse (85. Kolditz), Auctun, Röchert, Schmidtmann – Weglöhner, Jerry Gase, Wenke (76. Souza Rosa), Kühn, Bruns (50. Höhle) – Jordy Gase (62. Gassen)",4-5-1,4
9,BFC Meteor 06,SV Empor Berlin II,5,2,away,S,"Begzadic – Ben Mustapha (86. Katirci), Nerlich, Adigüzel, Schröder – Karasu, Jantzen (74. Saunders) – Heimur (74. Celik), Ugur (84. Demiryürek), Balde – Böhm",4-2-3-1,4
9,BFC Preussen II,Berliner SC II,0,0,away,S,"Hartmann – Eymann (60. Berner), Stahlberg, Mucuk, Engelsing – Demir, Hesse – Godinho, Fikic (57. Miggel), Gashi (42. Özcan) – Timur (72. Abou-Chaker)",4-2-3-1,4
9,SC Borsigwalde 1910,Türkiyemspor Berlin,1,1,away,NR,"Kräft – Braga De Souza, El-Okkla, Kummer, Yaqoobi – Stefaniszin, Bartoschek – Crone (46. Nzongo), Fu. Yildirim, Bubner (65. R. Ciao) – Miranda Silva",4-2-3-1,2
9,Köpenicker FC,Berliner SV 1892,0,4,away,NR,"Thiemann – Nischwitz (49. Brandt), Carius, Weigelt, Munsky (67. J.-A. Ondo Mangue) – Tauschwitz, Borchmeier, Hartmann, Neumann (82. O.-B. Ondo Mangue), Wittenburg (49. Dietrich) – Bohnsack (86. Wesolek)",4-5-1,5
9,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,1,2,away,S,"Friese – Rolke, Nikolajewski, Schönfelder – Saiti (63. Jradi), Tsuchiya (58. Lefke), Guillen (69. Jonach), Heßler (68. Fischer) – Stier, Bresemann (81. Diallo), Reuter",3-4-3,5
9,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,0,1,away,S,"Streiter – Pötig, Mansour, Isberner (31. Michas), Stöver – Grützner, Preiß – Reinke (77. Szczech), Halilcevic (87. Widmer) – Reichenberger, Völckert",4-2-2-2,3
10,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,3,2,home,S,"Kühn – Westhäuser (90.+3 Nagel), Thiele, Littler, Stefanovic – Dieckert, Macias (75. Nkrumah, 88. Ognyan), Bendjelloul – Ait Manssour, Almedom (63. El-Hayek) – Weinlein",4-3-2-1,4
10,BFC Preussen II,BFC Meteor 06,5,2,home,S,"Dietzel – Berner, Mucuk, Kohlmann, Engelsing – Demir, Hesse (74. Engin) – Godinho, Nnaemeka-Chukwurah (45. Lamkaddam), Stahlberg – Timur (82. Szerwinski)",4-2-3-1,3
10,SV Stern Britz 1889,FC Internationale Berlin 1980,0,3,home,L,"Ziebarth – Wojan, Schulz, Aykus – Duman (43. L. Leci), Ehrich, Höhna (66. B. Leci), Boanu (76. Pyplatz) – Shawdri, Sik, Hauf",3-4-3,3
10,TSV Rudow Berlin,Berliner SV 1892,2,0,home,L,"Gromotka – Burda, Fürstenow, Tolaj – Maykowski (90.+4 Aktas), Hassane, Rötzscher, Bayram (69. Frank) – Hortum (77. Haj Youssef) – Günther (90.+1 Wöhle), S. Sennur (62. Thonfeld)",3-4-1-2,5
10,Köpenicker FC,FSV Berolina Stralau 1901,0,0,home,NR,"Thiemann – Laske, Hamann, Carius, Dietrich – Hartmann, Foth (78. Brandt), Borchmeier, Tauschwitz – Bohnsack, Ilinseer (61. Neumann)",4-4-2,2
10,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,3,1,home,M,"Streiter – Isberner, Mansour (88. Bothe), Stöver – Grützner – Engfer (70. Spigaht), Halilcevic (68. Reinke) – Preiß, Michas – Reichenberger (79. Szczech), Völckert (46. Maroske)",3-1-2-2-2,5
10,SC Borsigwalde 1910,SV Empor Berlin II,1,1,home,S,"Kräft – Braga De Souza, El-Okkla, Kummer, Motuk (66. Yaqoobi) – Stefaniszin, R. Ciao (66. Weise) – Crone, Fu. Yildirim (21. Rondinelli), Bubner (78. Barnat) – Miranda Silva (85. Cuesta)",4-2-3-1,5
10,Türkiyemspor Berlin,Berliner SC II,1,1,home,NR,"E. Aktas – Yoldas Emre, Demir, Yilmas, Karaman – Tanis (79. Koca), Özen (90. Celik) – Uzun, Saberdest, Jalloh (60. Del Almeida) – Kirimoglu (66. Ertürkler)",4-2-3-1,4
10,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,2,3,away,S,"Arslan – Awag, Zagmouz, Tonk, Schäfer (80.Kalkan) – Kahraman (80. Essel), Polat (41. Diokhane), Savkovic (60. Seyyidoglu) – Kruse (46. Önal) – Baba, Chawraba",4-3-1-2,5
10,BFC Meteor 06,BFC Preussen II,2,5,away,S,"Begzadic – Schröder, Riese, Nerlich, Adigüzel – Karasu, Zahlan – Saunders (60. Talaj), Jantzen, Balde (60. Demiryürek, 70. Celik) – Heimur",4-2-3-1,3
10,FC Internationale Berlin 1980,SV Stern Britz 1889,3,0,away,L,"Hermosa – Castro Barbera (86. Chahed), Costa Echeverria, Schindler – Freitag (90. Dukuly), Topal (76. Bauder) – Marigo (90. Boeddinghaus), Stanley, Kranz (66. French) – Daus, De Rosnay",3-2-3-2,5
10,Berliner SV 1892,TSV Rudow Berlin,0,2,away,L,"Hechtfisch – Charkov, Tedesco, Bechler (77. Fischer) – Tröger (77. Molalegn), Özsoy, Koschek (85. Gashi), Jost – Bellin (77. Busche), Wol (62. Zauner), Schleifenbaum",3-4-3,5
10,FSV Berolina Stralau 1901,Köpenicker FC,0,0,away,NR,"Potthoff – Rolke, Häberle, Jonach (63. Adler)– Jradi (81. Saiti), Reuter, Tsuchiya (46. Nikolajewski), Fischer – Stier (75. Welch), Diallo (59. Bresemann), Guillen",3-4-3,5
10,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,1,3,away,M,"Meißner – Röchert, Köse (79. Jordy Gase), Auctun, Weglöhner –Wenke – Schmidtmann, Lozynskyy (79. Souza Rosa), Kühn (68. Yassine) – Jerry J. Gase – Höhle (46. Wieser)",4-1-3-1-1,4
10,SV Empor Berlin II,SC Borsigwalde 1910,1,1,away,S,"Meyer – Thürigen, Schinzel, Schneidawind – Udo, Cerny – Wessel )70. Dinh), Mendy (82. Ettah), Bräkow (63. Mentrup) – Drannasck, Bochnia",3-2-3-2,2
10,Berliner SC II,Türkiyemspor Berlin,1,1,away,NR,"Schlicht – Brecht, Ibrom, Leitner, Riedel – Ekandille, Bolz (70. Calmels), Peter, Akbulut (60. Lorenz) – Glaser, Einspannier",4-4-2,2
11,FC Internationale Berlin 1980,TSV Rudow Berlin,1,1,home,S,"Del Fierro – Castro-Barbera, Costa, Schindler – Freitag, Topal (74. French) – Schneider, Stanley (80. Bauder), Marigo – Daus, De Rosnay",3-2-3-2,2
11,BFC Meteor 06,BSV Eintracht Mahlsdorf II,1,0,home,M,"Begzadic – Schröder, Riese, Nerlich, Adigüzel (90.+2 Ben Mustapha)– Karasu, Zahlan – Ugur (24. Celik), Taflaj (72. Saunders), Jantzen (72. Demiyürek) – Böhm (83. Heimur)",4-2-3-1,5
11,Köpenicker FC,FC Viktoria 1889 Berlin II,3,3,home,NR,"Thiemann – Laske (46. O. Ondo Mangue), Hamann, Carius, Dietrich – Hartmann, Neumann (40. Foth), Weigelt, Tauschwitz (70. Ilinseer) – Bohnsack (70. Munsky), Brandt (85. Klauke)",4-4-2,5
11,SV Empor Berlin II,SV Stern Britz 1889,2,2,home,S,"Meyer – Nixdorf, Schinzel, Thürigen – Bräkow (83. Savenko), Cerny, Lippe (51. Macketanz), Dinh (74. Braun) – Tuckerman, Bochnia, Drannaschk (76. Gramse)",3-4-3,4
11,Berliner SC II,BSV Al-Dersimspor,2,0,home,S,"Schlicht – Riedel, Ibrom, Leitner, Heilmann (65. Wolski, 74. Kücükosman) – Peter, Bolz – Akbulut (56. Lorenz), Brecht, Glaser (86. Calmels) – Einspannier",4-2-3-1,4
11,Berliner SV 1892,Türkiyemspor Berlin,2,0,home,NR,"Lüttschwager – Anker, Tedesco, Charkov – Tröger (71. Elsaawadi), Jost, Koschek, Busche (71. Zauner) – Bellin (71. Iwuozor), Özsoy (84. Gashi), Molalegn (54. Schleifenbaum)",3-4-3,5
11,FSV Berolina Stralau 1901,BFC Preussen II,0,3,home,S,"Kräft – Rolke, Häberle, Schönfelder (73. Nikolajewski) – Reuter, Jonach, Guillen (71. Jradi), Heßler (65. Fischer) – Stier, Bresemann (65. Adler), Welch (84. Lefke)",3-4-3,5
11,VfB Concordia Britz 1916,SC Borsigwalde 1910,3,4,home,L,"Ketel – Schmidtmann, Köse, Auctun, Weglöhner – Wenke (20. Wieser), Lozynskyy – Jordy Gase (63. Souza Rosa), Jerry J. Gase, Kühn (39. Yassine) – Höhle",4-2-3-1,3
11,TSV Rudow Berlin,FC Internationale Berlin 1980,1,1,away,S,"Gromotka – Fürstenow, Burda, Frank – Rötzscher (77. Tolaj), Bayram – Maykowski, Hortum, Hassane – T. Sennur (88. Hej Youssef), Günther",3-2-3-2,2
11,BSV Eintracht Mahlsdorf II,BFC Meteor 06,0,1,away,M,"Streiter – Pötig, Isberner, Mansour, Stöver (87. Widmer)– Halilcevic (75. Szczech), Grützner (84. Spigaht), Michas (69. Bothe), Schmeißer (63. Reinke) – Maroske, Reichenberger",4-4-2,5
11,FC Viktoria 1889 Berlin II,Köpenicker FC,3,3,away,NR,"Karika – Westhäusser, Thiele, Littler, Stefanovic (50. Nagel) – Bendjelloul (69. Schlembach), Dieckert – Dreilich, Jeong, Ait Manssour – Weinlein",4-2-3-1,2
11,SV Stern Britz 1889,SV Empor Berlin II,2,2,away,S,"Koller – B. Leci, Hauf, Schulz, Frobenius – Wojan, Ehrich – Shawdri, Sik, Boanu – L. Leci",4-2-3-1,0
11,BSV Al-Dersimspor,Berliner SC II,0,2,away,S,"Boel – Savkovic, Awag, Tonk (74. Filiz), Schäfer (87. Güngör) – Önal, Uchaglar (65. Kahraman) – Dos Santos (60. Essel), Seyyidoglu, Chawraba (87. Schleifring) – Krasniqi",4-2-3-1,5
11,Türkiyemspor Berlin,Berliner SV 1892,0,2,away,NR,"Kösker – Yoldas Emre (76. Thalhofer), Demir, Yilmas, Karaman (73. R. Pereira) – Simunovic (67. Eskin), Özen (46. Faramarzi) – Uzun (73. M. Pereira), Saberdest, Tanis – Kirimoglu",4-2-3-1,5
11,BFC Preussen II,FSV Berolina Stralau 1901,3,0,away,S,"Dietzel – Berner (82. Abou-Chaker), Kohlmann, Mucuk, Hammoud (46. Szerwinski) – Stahlberg, Demir (71. Gajda) – Godinho, Engelsing, Özcan (75. Engin) – Timur (46. Schatz)",4-2-3-1,5
11,SC Borsigwalde 1910,VfB Concordia Britz 1916,4,3,away,L,"Kräft – Braga De Souza, Firat Yildirim, Weise, Yaqoobi – Stefaniszin (68. Rassuli), R. Ciao – Crone (90. Erisen), Bartoschek (86. A. Ciao), Barnat (68. Nzango) – Miranda Silva (84. Motuk)",4-2-3-1,5
12,BFC Meteor 06,Köpenicker FC,3,0,home,M,"Begzadic – Schröder, Riese, Nerlich, Adigüzel (80. Katirci) – Demiryürek (67. Saunders), Zahlan, Ta - laj (80. Ella) – Celik (71. Hamiss), Mustapha (52. Jantzen), Heimur",4-3-3,5
12,SV Empor Berlin II,BSV Eintracht Mahlsdorf II,1,8,home,S,"Yusuff – Nixdorf (46. Thürigen), Ettah (46. Seiler), Schinzel – Tuckerman (46. Cerny), Albrecht (58. Savenko), Mentrup (70. Macketanz), Lippe, Bräkow – Drannasck, Bochnia",3-5-2,5
12,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,3,6,home,S,"Kühn – Westhäusser, Littler, Nagel, Stefanovic – Bendjelloul (66. Herrmann), Thiele – Jeong, Ali (66. Macias), Ait Manssour (61. Almedom) – Weinlein (45. Nkrumah)",4-2-3-1,4
12,Berliner SC II,TSV Rudow Berlin,1,2,home,S,"Schlicht – Riedel, Leitner, Ibrom, Kaggelidids – Glaser, Brecht, Peter (66. Peter), Akbulut – Einspannier, Huse (76. Joseski)",4-4-2,2
12,Berliner SV 1892,SV Stern Britz 1889,1,0,home,S,"Hechtfisch – Tröger, Tedesco, Koschek, Jost – Bellin (60. Anker), Özsoy, Schleifenbaum, Charkov – Zauner (71. Fischer), Sobczyk (80. Elsaawadi)",4-4-2,3
12,FC Internationale Berlin 1980,SC Borsigwalde 1910,1,1,home,S,"Del Fierro – Castro Barbera, Costa Echeverria, Schindler, Marigo – Freitag, Topal, Stanley (85. Boeddinghaus) – Schneider, French (65. Ovcharov), Kranz (58. Bauder)",4-3-3,3
12,VfB Concordia Britz 1916,BFC Preussen II,1,2,home,L,"Ketel – Öztürk (79. Yassine), Auctun, Röchert, Schmidtmann – Jerry. J. Gase (75. Hasenbank), Lozynskyy – Souza Rosa (68. Eschert), Kühn – Wieser, Höhle",4-2-2-2,3
12,BSV Al-Dersimspor,Türkiyemspor Berlin,0,2,home,S,"Boel – Kalkan, Tonk, Zagmouz – Diokhane, Önal (72. Filiz) – Kahraman (63. Achour), Polat, Savkovic (63. Dos Santos) – Krasniqi, Chawraba (79. Essel)",3-2-3-2,4
12,Köpenicker FC,BFC Meteor 06,0,3,away,M,"Höfer – Möhle, Weigelt, Nischwitz (68. Brunow), Klauke – Borchmeier (82. Stahnke), O. Ondo Mangue (46. Tauschwitz), Wittenburg, Hartmann (88. Munsky) – Ilinseer (82. Brandt), J. Ondo Mangue",4-4-2,5
12,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,8,1,away,S,"Streiter – Isberner, Eberl, Grützner, Reinke (72. Pötig) – Michas (72. Grund), Maroske – Spigaht, Halilcevic (64. Greif) – Reichenberger (67. Widmer), Schmeißer",4-2-2-2,4
12,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,6,3,away,S,"Friese – Rolke, Häberle, Schönfelder – Jonach, Reuter, Tsuchiya (45. Schwarz), Heßler (90.+2 Saiti) – Fischer (45. Bresemann), Welch (86. Leke), Stier (90.+3 Son)",3-4-3,5
12,TSV Rudow Berlin,Berliner SC II,2,1,away,S,"Gromotka – Burda, Fürstenow, Becker (67. Tolaj) – Wuthe, Hassane – Maykowski (90.4 Aktas), S. Sennur (88. Wöhle), Youssef (46. Bayram) – Günther, T. Sennur (79. Thonfeld)",3-2-3-2,5
12,SV Stern Britz 1889,Berliner SV 1892,0,1,away,S,"Ziebarth – Frobenius, Schulz, Hauf, B. Leci – Liekere, Pyplatz – Boanu (56. Kemkes), Sik, Höhna (80. Franklin) – L. Leci (75. Koller)",4-2-3-1,3
12,SC Borsigwalde 1910,FC Internationale Berlin 1980,1,1,away,S,"Kräft – El-Okkla (46. Braga De Souza), Fi. Yildirim, Kummer – Stefaniszin, R. Ciao (46. Yaqoobi) – Rondinelli, Bartoschek (46. Fu. Yildirim), Bubner (90.+1 Motuk) – Crone, Miranda Silva (68. Cuesta)",3-2-3-2,5
12,BFC Preussen II,VfB Concordia Britz 1916,2,1,away,L,"Hartmann – Gajda, Kohlmann, Sommerfeld, Hammoud (68. Henseler) – Stahlberg, Schatz – Abou-Chaker (84. Arslani), Engelsing – Özcan (54. Müller), Miggel (59. Szerwinski)",4-2-2-2,4
12,Türkiyemspor Berlin,BSV Al-Dersimspor,2,0,away,S,"Aktas – Thalhofer, Demir, Yilmas, Karaman – Simunovic (90. Özen) – Yoldas Emre (55. Tanis), Saberdest (79. Kirimoglu), Uzun, Eskin – De Almeida",4-1-4-1,3
13,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,2,1,home,S,"Streiter – Eberl, Grützner, Mansour (46. Isberner), Stöver (66. Reinke) – Preiss, Maroske – Spigaht (71. Pötig), Halilcevic (71. Widmer)– Reichenberger, Schmeißer (62. Szczech)
",4-2-2-2,5
13,BFC Preussen II,SV Empor Berlin II,3,2,home,S,"Hartmann – Gajda (67. Özcan), Kohlmann, Mucuk, Hammoud – Miggel (78. Henseler), Müller (63. Hesse) – Engelsing (72. Timur), Gashi, Stahlberg – Abou-Chaker (63. Szerwinski)",4-2-3-1,5
