Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
112,BFC Meteor 06,Eriseld Tafilaj,69,NA,14,0.214
113,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,19,0.211
114,Berliner SC II,Bene Brecht,16,ZM,5,0.2
115,SV Stern Britz 1889,Resul Hirik,NA,ST,5,0.2
116,TSV Rudow Berlin,Leonard Kirschner,NA,ST,5,0.2
117,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,0.2
118,BSV Al-Dersimspor,Baris Güngör,NA,ZM,5,0.2
119,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,20,0.2
120,FC Internationale Berlin 1980,Dominic Kranz,7,LV,15,0.2
121,BFC Preussen II,Theo Kagoue,45,RM,10,0.2
122,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,20,0.2
123,Berliner SC II,Nino Zamorano,22,NA,5,0.2
124,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,0.188
125,Köpenicker FC,Nicolas Tauschwitz,10,LM,16,0.188
126,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,22,0.182
127,BFC Preussen II,Levent Mucuk,55,IV,17,0.176
128,SC Borsigwalde 1910,Kevin Kummer,29,IV,17,0.176
129,SV Stern Britz 1889,Luca Ehrich,27,ZDM,17,0.176
130,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,17,0.176
131,TSV Rudow Berlin,Patrick Maykowski,20,RM,23,0.174
132,Berliner SV 1892,Nick Bechler,27,IV,18,0.167
133,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,18,0.167
134,BFC Preussen II,Lukas Kohlmann,20,IV,18,0.167
135,FSV Berolina Stralau 1901,Maximilian Weber,NA,ZM,6,0.167
136,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,6,0.167
137,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZDM,12,0.167
138,FC Internationale Berlin 1980,Saif Merabti,NA,RM,6,0.167
139,Türkiyemspor Berlin,Kemo Andresen,NA,RM,6,0.167
140,BSV Al-Dersimspor,Milos Savkovic,8,LM,19,0.158
141,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,13,0.154
142,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,0.154
143,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,13,0.154
144,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,13,0.154
145,FC Internationale Berlin 1980,Milan Daus,10,LM,20,0.15
146,VfB Concordia Britz 1916,Piet Kühn,21,TW,20,0.15
147,TSV Rudow Berlin,Ahmad Haj Youssef,19,LM,20,0.15
148,BFC Preussen II,Moris Fikic,10,ZOM,7,0.143
149,BFC Preussen II,Marcel Berner,15,RV,14,0.143
150,Berliner SC II,Nelson Antoniofrancisco,7,LM,7,0.143
151,SV Empor Berlin II,Dennis Seiler,11,IV,14,0.143
152,Berliner SC II,Leon Ibrom,4,IV,21,0.143
153,FC Internationale Berlin 1980,Moreno Schneider,19,RM,14,0.143
154,BSV Eintracht Mahlsdorf II,Oliver Spigaht,6,RM,14,0.143
155,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,0.143
156,BFC Meteor 06,Steven Demarr Saunders,14,RM,14,0.143
157,Berliner SC II,Dominique Leitner,5,IV,22,0.136
158,Türkiyemspor Berlin,Ömer Tanis,8,ZDM,22,0.136
159,Berliner SV 1892,El-Amin Elsaadawi,17,ST,15,0.133
160,Berliner SC II,Nikolaos Kaggelidids,3,LV,15,0.133
161,SV Stern Britz 1889,Leonit Leci,17,LM,15,0.133
162,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,0.125
163,BFC Preussen II,Nils Szerwinski,21,ST,8,0.125
164,SV Stern Britz 1889,Miran Aykus,5,IV,8,0.125
165,BFC Preussen II,Ali Hammoud,NA,RV,8,0.125
166,SV Empor Berlin II,Leon Drannaschk,10,LM,16,0.125
167,Türkiyemspor Berlin,Ali Ismail Gashi,12,RM,8,0.125
168,BSV Al-Dersimspor,Sam Diokhane,4,ZDM,17,0.118
169,BFC Preussen II,Atacan Özcan,22,RV,17,0.118
170,FSV Berolina Stralau 1901,Robert Adler,3,IV,9,0.111
171,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,18,0.111
172,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,0.111
173,BSV Al-Dersimspor,Mücahid Kahraman,3,RV,18,0.111
174,SV Stern Britz 1889,Timo Höhna,6,LV,18,0.111
175,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,9,0.111
176,Berliner SC II,Eike Barth,25,ST,9,0.111
177,FC Internationale Berlin 1980,Niklas Schindler,11,IV,19,0.105
178,SV Stern Britz 1889,Cliff Boanu,29,RM,19,0.105
179,BSV Al-Dersimspor,Karsten Schleifring,25,ST,10,0.1
180,BSV Eintracht Mahlsdorf II,Niklas Isberner,4,IV,20,0.1
