ID,Name,Team,Nummer
1084793,Max-Fabian Wölker,Berliner SC,
1104327,Jonas Wortmann,Berliner SC,
1119773,Lion Schumann,Berliner SC,
1310952,Kota Murakami,Berliner SC,
1405724,Stephan Ngah,Berliner SC,
1426550,Simon Kindt,Berliner SC,
1527415,Heidar Berjaoui,Berliner SC,
1530055,Yazid Heimur,Berliner SC,
1598790,Luca Raoul Al-Habash,Berliner SC,
1756662,Paul Schlicht,Berliner SC,
1771229,Luis-Raymond Bossard,Berliner SC,
1822043,Tom Köster,Berliner SC,
1873241,Bara Abu Hamid,Berliner SC,
1892007,Ermal Thaci,Berliner SC,
1892806,Lucky Ugbogbo,Berliner SC,
1892817,Nikola Markovic,Berliner SC,
1933230,Fabian Niedenhoff,Berliner SC,
1954558,Mateo Jagnjic,Berliner SC,
2023168,Vincent Spiegel,Berliner SC,
224507,Jannis Gabrielides,Berliner SC,
2338815,Eric Ekandille,Berliner SC,
2341240,Immanuel Neunteufel,Berliner SC,
43431,Nico Pellatz,Berliner SC,
681366,Leon Cheung,Berliner SC,
740710,Oktay Öztürk,Berliner SC,
849622,Dominique Leitner,Berliner SC,
871200,Umran Saied,Berliner SC,
902391,Benjamin Trojahn,Berliner SC,
1123056,Fabian Busch,VSG Altglienicke II,
1131316,Benevito Laske,VSG Altglienicke II,
1155973,Kerim Sarikaya,VSG Altglienicke II,
1234333,Emir Bakal,VSG Altglienicke II,
1359352,Caleb Osarenren,VSG Altglienicke II,
1402503,Ben Wagner,VSG Altglienicke II,
1598658,Stanley Cross,VSG Altglienicke II,
1770031,Kakeru Fukuda,VSG Altglienicke II,
1775804,Lelio Losse,VSG Altglienicke II,
1775811,Niclas Senst,VSG Altglienicke II,
1776198,Jonas Elbrecht,VSG Altglienicke II,
1776206,Maddox Niebergall,VSG Altglienicke II,
1776210,Levin Stein,VSG Altglienicke II,
1821767,Serhan Atici,VSG Altglienicke II,
1870628,Raphael Damjanovic,VSG Altglienicke II,
1970395,Mario Peche Morote,VSG Altglienicke II,
2070877,Yousif El Sadani,VSG Altglienicke II,
2150851,Emmanuel Reece Atsama,VSG Altglienicke II,
2186790,Ibrahim Tareq Ibrahim El Taib,VSG Altglienicke II,
2194616,Krystian Kanzy,VSG Altglienicke II,
2342385,Saleh Kassem,VSG Altglienicke II,
562218,Mohammed Daniel Fayoumi,VSG Altglienicke II,
850288,Mario Schenkel,VSG Altglienicke II,
892552,Steve Klamkowski,VSG Altglienicke II,
892556,Jan Latzel,VSG Altglienicke II,
892558,Benito-Tyler Fritzsche,VSG Altglienicke II,
939990,Moritz Tomczak,VSG Altglienicke II,
943429,Alexander Noß,VSG Altglienicke II,
1098036,Johann Eisenberg,Polar Pinguin Berlin,
1110064,Paul Pantke,Polar Pinguin Berlin,
1155923,Shaikh Derman,Polar Pinguin Berlin,
1311937,Pascal Löhmann,Polar Pinguin Berlin,
1311938,Jona Hardt,Polar Pinguin Berlin,
1389929,Hans Witschurke,Polar Pinguin Berlin,
1422055,Giordano Siewe,Polar Pinguin Berlin,
1488271,Lenny Schwabe,Polar Pinguin Berlin,
1726169,Malte Riebel,Polar Pinguin Berlin,
1781654,Nicolas Marley Alexander Koch,Polar Pinguin Berlin,
1873173,Omidoullah Sarwari,Polar Pinguin Berlin,
1970652,Joschua Schanda,Polar Pinguin Berlin,
2189086,Ekrem Erbilgin,Polar Pinguin Berlin,
2208772,Said Abasi,Polar Pinguin Berlin,
2315597,Qais Faizi,Polar Pinguin Berlin,
2380614,Keyan Kaplan,Polar Pinguin Berlin,
2444670,Nelson Culubali,Polar Pinguin Berlin,
268815,Nicolai Matt,Polar Pinguin Berlin,
346901,Simon Falke,Polar Pinguin Berlin,
350108,Martin Kemter,Polar Pinguin Berlin,
364809,Lennard Broll,Polar Pinguin Berlin,
528217,Lukas Fechner,Polar Pinguin Berlin,
540285,Arda Dülek,Polar Pinguin Berlin,
553888,Karim Yehia,Polar Pinguin Berlin,
560827,Gino Hofmeister,Polar Pinguin Berlin,
627323,Philippe Riviere,Polar Pinguin Berlin,
675158,Moritz Sondermann,Polar Pinguin Berlin,
69252,Kilian Pruschke,Polar Pinguin Berlin,
814988,Arne Schüler,Polar Pinguin Berlin,
832697,Finn Johan Will,Polar Pinguin Berlin,
930011,Adam Idriss Ouattara,Polar Pinguin Berlin,
