"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
9,"Berliner SC II","BFC Preussen II",0,0,NA,NA,NA
9,"Türkiyemspor Berlin","SC Borsigwalde 1910",1,1,NA,NA,NA
9,"Berliner SV 1892","Köpenicker FC",4,0,NA,NA,NA
9,"FC Internationale Berlin 1980","FSV Berolina Stralau 1901",2,1,NA,NA,NA
9,"BSV Al-Dersimspor","BSV Eintracht Mahlsdorf II",1,0,NA,NA,NA
10,"FC Viktoria 1889 Berlin II","BSV Al-Dersimspor",3,2,NA,NA,NA
10,"BFC Preussen II","BFC Meteor 06",5,2,NA,NA,NA
10,"SV Stern Britz 1889","FC Internationale Berlin 1980",0,3,NA,NA,NA
10,"TSV Rudow Berlin","Berliner SV 1892",2,0,NA,NA,NA
10,"Köpenicker FC","FSV Berolina Stralau 1901",0,0,NA,NA,NA
10,"BSV Eintracht Mahlsdorf II","VfB Concordia Britz 1916",3,1,NA,NA,NA
10,"SC Borsigwalde 1910","SV Empor Berlin II",1,1,NA,NA,NA
10,"Türkiyemspor Berlin","Berliner SC II",1,1,NA,NA,NA
11,"FC Internationale Berlin 1980","TSV Rudow Berlin",1,1,NA,NA,NA
11,"BFC Meteor 06","BSV Eintracht Mahlsdorf II",1,0,NA,NA,NA
11,"Köpenicker FC","FC Viktoria 1889 Berlin II",3,3,NA,NA,NA
11,"SV Empor Berlin II","SV Stern Britz 1889",2,2,NA,NA,NA
11,"Berliner SC II","BSV Al-Dersimspor",2,0,NA,NA,NA
11,"Berliner SV 1892","Türkiyemspor Berlin",2,0,NA,NA,NA
11,"FSV Berolina Stralau 1901","BFC Preussen II",0,3,NA,NA,NA
11,"VfB Concordia Britz 1916","SC Borsigwalde 1910",3,4,NA,NA,NA
12,"BFC Meteor 06","Köpenicker FC",3,0,NA,NA,NA
12,"SV Empor Berlin II","BSV Eintracht Mahlsdorf II",1,8,NA,NA,NA
