matchday,H,A,Tore_H,Tore_A,where
6,Berliner SC II,FC Internationale Berlin 1980,1,1,home
6,SC Borsigwalde 1910,Köpenicker FC,2,2,home
6,Türkiyemspor Berlin,VfB Concordia Britz 1916,6,1,home
6,BSV Al-Dersimspor,SV Empor Berlin II,3,3,home
6,BFC Meteor 06,TSV Rudow Berlin,0,1,away
6,FSV Berolina Stralau 1901,SV Stern Britz 1889,1,2,away
6,Berliner SV 1892,FC Viktoria 1889 Berlin II,2,4,away
6,BFC Preussen II,BSV Eintracht Mahlsdorf II,2,3,away
6,FC Internationale Berlin 1980,Berliner SC II,1,1,away
6,Köpenicker FC,SC Borsigwalde 1910,2,2,away
6,VfB Concordia Britz 1916,Türkiyemspor Berlin,1,6,away
6,SV Empor Berlin II,BSV Al-Dersimspor,3,3,away
7,FC Internationale Berlin 1980,BSV Al-Dersimspor,7,1,home
7,BFC Preussen II,FC Viktoria 1889 Berlin II,5,2,home
7,BFC Meteor 06,SV Stern Britz 1889,9,2,home
7,Köpenicker FC,BSV Eintracht Mahlsdorf II,1,4,home
7,SV Empor Berlin II,Türkiyemspor Berlin,2,0,home
7,Berliner SV 1892,Berliner SC II,1,0,home
7,VfB Concordia Britz 1916,TSV Rudow Berlin,0,3,home
7,FSV Berolina Stralau 1901,SC Borsigwalde 1910,0,2,home
7,BSV Al-Dersimspor,FC Internationale Berlin 1980,1,7,away
7,FC Viktoria 1889 Berlin II,BFC Preussen II,2,5,away
7,SV Stern Britz 1889,BFC Meteor 06,2,9,away
7,BSV Eintracht Mahlsdorf II,Köpenicker FC,4,1,away
7,Türkiyemspor Berlin,SV Empor Berlin II,0,2,away
7,Berliner SC II,Berliner SV 1892,0,1,away
7,TSV Rudow Berlin,VfB Concordia Britz 1916,3,0,away
7,SC Borsigwalde 1910,FSV Berolina Stralau 1901,2,0,away
8,SC Borsigwalde 1910,BFC Meteor 06,3,1,home
8,SV Stern Britz 1889,VfB Concordia Britz 1916,3,0,home
8,BFC Preussen II,Köpenicker FC,4,1,home
8,TSV Rudow Berlin,SV Empor Berlin II,1,0,home
8,FC Viktoria 1889 Berlin II,Berliner SC II,2,1,home
8,BSV Eintracht Mahlsdorf II,FSV Berolina Stralau 1901,0,2,home
8,Türkiyemspor Berlin,FC Internationale Berlin 1980,0,2,home
8,BSV Al-Dersimspor,Berliner SV 1892,3,0,home
8,BFC Meteor 06,SC Borsigwalde 1910,1,3,away
8,VfB Concordia Britz 1916,SV Stern Britz 1889,0,3,away
8,Köpenicker FC,BFC Preussen II,1,4,away
8,SV Empor Berlin II,TSV Rudow Berlin,0,1,away
8,Berliner SC II,FC Viktoria 1889 Berlin II,1,2,away
8,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,2,0,away
8,FC Internationale Berlin 1980,Türkiyemspor Berlin,2,0,away
8,Berliner SV 1892,BSV Al-Dersimspor,0,3,away
9,TSV Rudow Berlin,SV Stern Britz 1889,9,2,home
9,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,5,1,home
9,SV Empor Berlin II,BFC Meteor 06,2,5,home
9,Berliner SC II,BFC Preussen II,0,0,home
9,Türkiyemspor Berlin,SC Borsigwalde 1910,1,1,home
9,Berliner SV 1892,Köpenicker FC,4,0,home
9,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,2,1,home
9,BSV Al-Dersimspor,BSV Eintracht Mahlsdorf II,1,0,home
9,SV Stern Britz 1889,TSV Rudow Berlin,2,9,away
9,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,1,5,away
9,BFC Meteor 06,SV Empor Berlin II,5,2,away
9,BFC Preussen II,Berliner SC II,0,0,away
9,SC Borsigwalde 1910,Türkiyemspor Berlin,1,1,away
9,Köpenicker FC,Berliner SV 1892,0,4,away
9,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,1,2,away
9,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,0,1,away
10,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,3,2,home
10,BFC Preussen II,BFC Meteor 06,5,2,home
10,SV Stern Britz 1889,FC Internationale Berlin 1980,0,3,home
10,TSV Rudow Berlin,Berliner SV 1892,2,0,home
10,Köpenicker FC,FSV Berolina Stralau 1901,0,0,home
10,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,3,1,home
10,SC Borsigwalde 1910,SV Empor Berlin II,1,1,home
10,Türkiyemspor Berlin,Berliner SC II,1,1,home
10,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,2,3,away
10,BFC Meteor 06,BFC Preussen II,2,5,away
10,FC Internationale Berlin 1980,SV Stern Britz 1889,3,0,away
10,Berliner SV 1892,TSV Rudow Berlin,0,2,away
10,FSV Berolina Stralau 1901,Köpenicker FC,0,0,away
10,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,1,3,away
10,SV Empor Berlin II,SC Borsigwalde 1910,1,1,away
10,Berliner SC II,Türkiyemspor Berlin,1,1,away
11,FC Internationale Berlin 1980,TSV Rudow Berlin,1,1,home
