Rank,Team,Nr,Name,Pos,Spielzeit,Score
88,BFC Meteor 06,1,Leo Suilmann,TW,664,0.738
89,Köpenicker FC,11,Alexander Foth,RM,819,0.737
90,Berliner SV 1892,19,Göktug Özsoy,ZM,1333,0.736
91,BSV Eintracht Mahlsdorf II,17,Kenan Halilcevic,LM,1025,0.733
92,Berliner SV 1892,27,Nick Bechler,IV,1683,0.732
93,FC Internationale Berlin 1980,31,Matteo Topal,ZDM,1706,0.732
94,FC Internationale Berlin 1980,8,Enrique Freitag,ZDM,1690,0.731
95,BFC Preussen II,28,Jeff Nnaemeka-Chukwurah,ZDM,1238,0.724
96,TSV Rudow Berlin,19,Ahmad Haj Youssef,RM,991,0.724
97,Berliner SV 1892,21,Lennard Schleifenbaum,ST,1896,0.722
98,BFC Meteor 06,92,Ayham Heimur,LM,1374,0.72
99,BFC Preussen II,NA,Lucky Ugbogbo,RM,1126,0.717
100,FSV Berolina Stralau 1901,4,Tobias Reuter,ZM,2140,0.71
101,Türkiyemspor Berlin,25,Enes Uzun,RM,1734,0.707
102,BSV Eintracht Mahlsdorf II,7,Reto Reichenberger,ST,2057,0.707
103,BSV Al-Dersimspor,4,Sam Diokhane,IV,1676,0.704
104,Köpenicker FC,10,Nicolas Tauschwitz,LM,1341,0.704
105,Berliner SC II,20,Max Vincent Bolz,ZM,578,0.703
106,Berliner SC II,18,Bryan Lilja,LM,633,0.703
107,Köpenicker FC,27,Till Dietrich,LV,1622,0.701
108,FC Internationale Berlin 1980,10,Milan Daus,ST,1700,0.7
109,BSV Al-Dersimspor,10,Merdan Baba,ST,1412,0.699
110,FC Internationale Berlin 1980,2,Giovanni Marigo,RV,2145,0.699
111,Berliner SV 1892,8,Karl Anker,RV,1221,0.696
112,BSV Eintracht Mahlsdorf II,20,Leon Schmeißer,RM,470,0.694
113,FC Viktoria 1889 Berlin II,3,Joshua Isaias Almedom,RM,1209,0.694
114,SC Borsigwalde 1910,3,Mohammed Yaqoobi,LV,1271,0.692
115,FSV Berolina Stralau 1901,3,Georg Schönfelder,IV,1997,0.689
116,Köpenicker FC,23,Tom-Niclas Hamann,IV,1455,0.683
117,Köpenicker FC,24,Felix Wittenburg,ZM,1316,0.681
118,Berliner SC II,11,Alexander Lorenz,ST,723,0.681
119,FC Internationale Berlin 1980,6,Akiyasu Tsuchiya,ZM,608,0.678
120,SC Borsigwalde 1910,18,Riccardo Ciao,ZDM,1733,0.677
121,BFC Preussen II,7,Hugo Timur,ST,848,0.675
122,FC Internationale Berlin 1980,18,Nicholas Cartwright Stanley,ZOM,1529,0.675
123,Köpenicker FC,28,Philip Möhle,RV,1178,0.674
124,Türkiyemspor Berlin,5,Omid Saberdest,ZOM,1884,0.673
125,SC Borsigwalde 1910,14,Magnus Crone,RM,1711,0.673
126,FSV Berolina Stralau 1901,15,Denis Rolke,RM,1650,0.672
127,Berliner SC II,14,Simon Riedel,RV,1608,0.672
128,FSV Berolina Stralau 1901,9,Ole Bresemann,ST,1417,0.669
129,SC Borsigwalde 1910,29,Kevin Kummer,IV,1857,0.667
130,Berliner SC II,19,Tim Niedenhoff,ZM,1224,0.667
131,BSV Al-Dersimspor,47,Mohamad-Ali Chawraba,ST,860,0.666
132,BSV Eintracht Mahlsdorf II,19,Carl-Lennart Stöver,LV,1728,0.666
133,BFC Meteor 06,47,Ibrahim Celik,RM,705,0.666
134,Berliner SC II,1,Paul Schlicht,TW,1440,0.663
135,BSV Eintracht Mahlsdorf II,22,Phillip Streiter,TW,1983,0.661
136,BSV Al-Dersimspor,24,Etem Tonk,IV,1990,0.658
137,Türkiyemspor Berlin,NA,Kemo Andresen,RM,322,0.658
138,Berliner SV 1892,15,Lewi Dawit Molalegn,ST,677,0.658
139,Berliner SC II,31,Jesse Kreuschner,TW,810,0.656
140,VfB Concordia Britz 1916,33,Malte Meißner,TW,945,0.654
141,SC Borsigwalde 1910,37,Jeffrey Kräft,TW,990,0.652
142,SC Borsigwalde 1910,8,Michel Stefaniszin,ZDM,1663,0.651
143,VfB Concordia Britz 1916,22,Daniel Michael Brüning,IV,414,0.65
144,FSV Berolina Stralau 1901,1,Jannes Potthoff,TW,810,0.649
145,BSV Eintracht Mahlsdorf II,11,Maurice Völckert,ST,697,0.649
146,VfB Concordia Britz 1916,NA,Lionel Krampah,ZM,914,0.647
147,Berliner SC II,4,Leon Ibrom,IV,1993,0.643
148,FSV Berolina Stralau 1901,NA,Maximilian Weber,ZM,542,0.641
149,BSV Al-Dersimspor,5,Amir Awag,RV,2038,0.641
150,FC Internationale Berlin 1980,4,Marko Fischer,LV,530,0.636
151,FC Viktoria 1889 Berlin II,24,Maciej Macias,ZOM,629,0.634
152,BFC Preussen II,30,Yasin Demir,ZDM,1173,0.633
153,FSV Berolina Stralau 1901,23,Andreas Friese,TW,1620,0.631
154,BSV Al-Dersimspor,18,Jonathan Schäfer,LV,1780,0.631
155,BFC Preussen II,8,Paul Miggel,LV,463,0.63
156,Türkiyemspor Berlin,8,Ömer Tanis,ZDM,1938,0.628
157,FSV Berolina Stralau 1901,NA,Christopher Schwarz,ZM,1226,0.627
158,BSV Al-Dersimspor,NA,Zana-Kazim Baba,ST,290,0.626
159,BFC Preussen II,NA,Ali Hammoud,RV,758,0.624
160,SV Empor Berlin II,9,Demba Mendy,ST,1208,0.623
161,BSV Al-Dersimspor,6,Karim Zagmouz,IV,1035,0.621
162,BSV Al-Dersimspor,27,Caglar Polat,ZOM,1752,0.621
163,SC Borsigwalde 1910,23,Tobias Knetsch,TW,1170,0.62
164,TSV Rudow Berlin,18,Dennis Rötzscher,ZDM,595,0.619
165,Türkiyemspor Berlin,6,Amon Simunovic,ZDM,1713,0.618
166,Berliner SC II,6,Kevin Uwe Einspannier,ZM,1893,0.617
167,Türkiyemspor Berlin,2,Dennis Fischer,LV,480,0.616
168,Köpenicker FC,19,Noah Maximilian Laske,RV,932,0.615
169,BSV Eintracht Mahlsdorf II,10,Marc Michas,ZM,1260,0.614
170,Türkiyemspor Berlin,3,Kenan Demir,ZDM,1202,0.613
171,VfB Concordia Britz 1916,NA,Julian Markgraf,LV,777,0.609
172,BSV Eintracht Mahlsdorf II,6,Jonas Maroske,ZM,1670,0.606
173,Türkiyemspor Berlin,13,Ertugrul Aktas,TW,1620,0.603
174,Berliner SV 1892,13,Tim Paschke,ST,708,0.601
175,FC Viktoria 1889 Berlin II,2,Lukas-Noah Littler,IV,1129,0.598
176,Berliner SC II,9,Stefan Glaser,ST,1254,0.597
177,FC Internationale Berlin 1980,6,Antonio Boeddinghaus,LV,1097,0.596
178,FC Internationale Berlin 1980,14,Ryan Max Robert French,RM,1255,0.595
179,VfB Concordia Britz 1916,20,Maximilian Höhle,ST,908,0.594
180,Berliner SC II,12,Noah Peter,ZM,989,0.593
181,Türkiyemspor Berlin,36,Deren Yoldas Emre,LV,1452,0.592
182,SC Borsigwalde 1910,27,Khaled El-Okkla,IV,1317,0.591
183,Köpenicker FC,13,Tarek Borchmeier,ZM,1522,0.588
184,BSV Eintracht Mahlsdorf II,8,Lukas Grützner,IV,1214,0.586
185,SC Borsigwalde 1910,19,Marcel Bubner,LM,1492,0.581
186,Köpenicker FC,26,Rayk Stahnke,ZM,381,0.581
187,VfB Concordia Britz 1916,NA,Omar Mohamed Ibrahim Hassan Ali,ST,918,0.58
188,FSV Berolina Stralau 1901,19,Daniel Fischer,LV,937,0.579
189,Berliner SC II,10,Erhan Kücükosman,ST,1138,0.579
190,BSV Al-Dersimspor,1,Patrick Boel,TW,1710,0.576
191,BSV Eintracht Mahlsdorf II,4,Niklas Isberner,IV,1579,0.576
192,FSV Berolina Stralau 1901,16,Tom Jonach,IV,1313,0.575
193,SC Borsigwalde 1910,NA,David Chukwu,LV,659,0.574
194,FC Internationale Berlin 1980,19,Moreno Schneider,RM,1303,0.574
195,SV Empor Berlin II,1,Maurice Meyer,TW,954,0.571
196,FSV Berolina Stralau 1901,22,Ian Häberle,IV,1706,0.571
197,Berliner SC II,3,Nikolaos Kaggelidids,LV,1352,0.57
198,SV Empor Berlin II,NA,Emile Ako,RM,350,0.569
199,SC Borsigwalde 1910,13,Furkan Yildirim,ZDM,1569,0.569
200,BFC Preussen II,10,Moris Fikic,ZOM,596,0.567
201,FC Internationale Berlin 1980,NA,Saif Merabti,RM,256,0.567
202,BSV Al-Dersimspor,8,Milos Savkovic,LM,1724,0.565
203,BFC Preussen II,15,Marcel Berner,RV,1094,0.565
204,Berliner SC II,2,Jakob Heilmann,LV,1434,0.565
205,SV Stern Britz 1889,23,Andre Schulz,IV,2070,0.564
206,SV Empor Berlin II,2,Pascal Bräkow,RV,2049,0.564
207,Berliner SV 1892,17,El-Amin Elsaadawi,ST,753,0.56
