"team","Rank","Count","Probability"
"FSV Berolina Stralau 1901","Rank_5",0,0
"FSV Berolina Stralau 1901","Rank_6",1,0
"FSV Berolina Stralau 1901","Rank_7",12,0.6
"FSV Berolina Stralau 1901","Rank_8",79,4
"FSV Berolina Stralau 1901","Rank_9",277,13.9
"FSV Berolina Stralau 1901","Rank_10",499,25
"FSV Berolina Stralau 1901","Rank_11",971,48.5
"FSV Berolina Stralau 1901","Rank_12",1695,84.8
"FSV Berolina Stralau 1901","Rank_13",2419,121
"FSV Berolina Stralau 1901","Rank_14",46,2.3
"FSV Berolina Stralau 1901","Rank_15",1,0
"FSV Berolina Stralau 1901","Rank_16",0,0
"FC Viktoria 1889 Berlin II","Rank_1",0,0
"FC Viktoria 1889 Berlin II","Rank_2",16,0.8
"FC Viktoria 1889 Berlin II","Rank_3",200,10
"FC Viktoria 1889 Berlin II","Rank_4",1702,85.1
"FC Viktoria 1889 Berlin II","Rank_5",2766,138.3
"FC Viktoria 1889 Berlin II","Rank_6",1239,62
"FC Viktoria 1889 Berlin II","Rank_7",76,3.8
"FC Viktoria 1889 Berlin II","Rank_8",0,0
"FC Viktoria 1889 Berlin II","Rank_9",1,0
"FC Viktoria 1889 Berlin II","Rank_10",0,0
"FC Viktoria 1889 Berlin II","Rank_11",0,0
"FC Viktoria 1889 Berlin II","Rank_12",0,0
"FC Viktoria 1889 Berlin II","Rank_13",0,0
"FC Viktoria 1889 Berlin II","Rank_14",0,0
"FC Viktoria 1889 Berlin II","Rank_15",0,0
"FC Viktoria 1889 Berlin II","Rank_16",0,0
"VfB Concordia Britz 1916","Rank_1",0,0
"VfB Concordia Britz 1916","Rank_2",0,0
"VfB Concordia Britz 1916","Rank_3",0,0
"VfB Concordia Britz 1916","Rank_4",0,0
"VfB Concordia Britz 1916","Rank_5",0,0
"VfB Concordia Britz 1916","Rank_6",0,0
"VfB Concordia Britz 1916","Rank_7",0,0
"VfB Concordia Britz 1916","Rank_8",0,0
"VfB Concordia Britz 1916","Rank_9",0,0
"VfB Concordia Britz 1916","Rank_10",0,0
"VfB Concordia Britz 1916","Rank_11",0,0
"VfB Concordia Britz 1916","Rank_12",2,0.1
"VfB Concordia Britz 1916","Rank_13",27,1.4
"VfB Concordia Britz 1916","Rank_14",1516,75.8
"VfB Concordia Britz 1916","Rank_15",3551,177.6
"VfB Concordia Britz 1916","Rank_16",904,45.2
"Berliner SV 1892","Rank_1",2,0.1
"Berliner SV 1892","Rank_2",27,1.4
"Berliner SV 1892","Rank_3",347,17.3
"Berliner SV 1892","Rank_4",3138,156.9
"Berliner SV 1892","Rank_5",1758,87.9
"Berliner SV 1892","Rank_6",666,33.3
"Berliner SV 1892","Rank_7",58,2.9
"Berliner SV 1892","Rank_8",4,0.2
"Berliner SV 1892","Rank_9",0,0
"Berliner SV 1892","Rank_10",0,0
"Berliner SV 1892","Rank_11",0,0
"Berliner SV 1892","Rank_12",0,0
"Berliner SV 1892","Rank_13",0,0
"Berliner SV 1892","Rank_14",0,0
"Berliner SV 1892","Rank_15",0,0
"Berliner SV 1892","Rank_16",0,0
"Türkiyemspor Berlin","Rank_1",0,0
"Türkiyemspor Berlin","Rank_2",0,0
"Türkiyemspor Berlin","Rank_3",0,0
"Türkiyemspor Berlin","Rank_4",0,0
"Türkiyemspor Berlin","Rank_5",0,0
"Türkiyemspor Berlin","Rank_6",10,0.5
"Türkiyemspor Berlin","Rank_7",152,7.6
"Türkiyemspor Berlin","Rank_8",784,39.2
"Türkiyemspor Berlin","Rank_9",1691,84.6
"Türkiyemspor Berlin","Rank_10",1359,68
"Türkiyemspor Berlin","Rank_11",1020,51
"Türkiyemspor Berlin","Rank_12",645,32.2
"Türkiyemspor Berlin","Rank_13",338,16.9
"Türkiyemspor Berlin","Rank_14",1,0
"Türkiyemspor Berlin","Rank_15",0,0
