scorer,team,opponent,minute,score
Günther,TSV Rudow Berlin,BFC Meteor 06,71,0:2
Koca,SV Stern Britz 1889,FSV Berolina Stralau 1901,35,1:1
Herrmann,FC Viktoria 1889 Berlin II,Berliner SV 1892,75,1:1
Schäfers Llauger,FC Viktoria 1889 Berlin II,Berliner SV 1892,88,1:2
Almedom,FC Viktoria 1889 Berlin II,Berliner SV 1892,90,1:3
Maroske,BSV Eintracht Mahlsdorf II,BFC Preussen II,66,1:1
Kücükosman,Berliner SC II,FC Internationale Berlin 1980,40,0:1
Knaack,SC Borsigwalde 1910,Köpenicker FC,28,0:1
Knaack,SC Borsigwalde 1910,Köpenicker FC,52,1:2
M. Baba,BSV Al-Dersimspor,SV Empor Berlin II,22,0:1
Savkovic,BSV Al-Dersimspor,SV Empor Berlin II,75,2:2
Krasniqi,BSV Al-Dersimspor,SV Empor Berlin II,86,2:3
Baba,BSV Al-Dersimspor,FC Internationale Berlin 1980,10,1:0
Baba,BSV Al-Dersimspor,FC Internationale Berlin 1980,55,2:2
Baba,BSV Al-Dersimspor,FC Internationale Berlin 1980,79,3:2
Weinlein,FC Viktoria 1889 Berlin II,BFC Preussen II,75,1:1
Hirik,SV Stern Britz 1889,BFC Meteor 06,13,1:0
Shawrdi,SV Stern Britz 1889,BFC Meteor 06,54,2:1
Preiss,BSV Eintracht Mahlsdorf II,Köpenicker FC,32,1:1
Reichenberger,BSV Eintracht Mahlsdorf II,Köpenicker FC,85,2:5
Neziroglu,Türkiyemspor Berlin,SV Empor Berlin II,1,1:0
Tunay,Türkiyemspor Berlin,SV Empor Berlin II,55,2:1
Lorenz,Berliner SC II,Berliner SV 1892,36,1:0
"Günther, 2:0 (32.) Burda",TSV Rudow Berlin,VfB Concordia Britz 1916,26,1:0
Crone,SC Borsigwalde 1910,FSV Berolina Stralau 1901,32,1:0
Crone,SC Borsigwalde 1910,FSV Berolina Stralau 1901,60,2:0
"Bubner, 4:1 (79.) Eigentor, 5:1 (84.) Yildirim",SC Borsigwalde 1910,FSV Berolina Stralau 1901,72,3:1
Rondinelli,SC Borsigwalde 1910,FSV Berolina Stralau 1901,89,6:2
French,FC Internationale Berlin 1980,BSV Al-Dersimspor,21,1:1
Schneider,FC Internationale Berlin 1980,BSV Al-Dersimspor,28,1:2
Feldmann,BFC Preussen II,FC Viktoria 1889 Berlin II,52,0:1
Stahlberg,BFC Preussen II,FC Viktoria 1889 Berlin II,90,1:2
Feldmann,BFC Preussen II,FC Viktoria 1889 Berlin II,90,1:3
Böhm,BFC Meteor 06,SV Stern Britz 1889,38,1:1
"Ajala-Alexis, 2:3 (71.) Böhm",BFC Meteor 06,SV Stern Britz 1889,63,2:2
Böhm,BFC Meteor 06,SV Stern Britz 1889,90,2:4
Ajala-Alexis,BFC Meteor 06,SV Stern Britz 1889,90,2:5
Foth,Köpenicker FC,BSV Eintracht Mahlsdorf II,29,0:1
Möhle,Köpenicker FC,BSV Eintracht Mahlsdorf II,34,1:2
J. Ondo Mangue,Köpenicker FC,BSV Eintracht Mahlsdorf II,36,1:3
Foth,Köpenicker FC,BSV Eintracht Mahlsdorf II,57,1:4
Tauschwitz,Köpenicker FC,BSV Eintracht Mahlsdorf II,59,1:5
Hartmann,Köpenicker FC,BSV Eintracht Mahlsdorf II,90,2:6
Ploschenz,SV Empor Berlin II,Türkiyemspor Berlin,52,1:1
Özsoy,Berliner SV 1892,Berliner SC II,68,1:1
Bellin,Berliner SV 1892,Berliner SC II,88,1:2
Schleifenbaum,Berliner SV 1892,Berliner SC II,90,1:3
Eigentor,FSV Berolina Stralau 1901,SC Borsigwalde 1910,65,2:1
Bresemann,FSV Berolina Stralau 1901,SC Borsigwalde 1910,86,5:2
Esweiei,FSV Berolina Stralau 1901,SC Borsigwalde 1910,90,6:3
Weinlein,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,22,1:0
Ait Manssour,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,39,2:2
Weinlein,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,46,3:2
Ali,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,60,4:2
Ali,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,90,5:3
Charkov,Berliner SV 1892,BFC Preussen II,5,1:0
Charkov,Berliner SV 1892,BFC Preussen II,27,2:0
Busche,Berliner SV 1892,BFC Preussen II,75,4:0
Bellin,Berliner SV 1892,BFC Preussen II,85,5:0
Neziroglu,Türkiyemspor Berlin,SV Stern Britz 1889,35,1:0
Faramarzi,Türkiyemspor Berlin,SV Stern Britz 1889,85,2:0
Tunay,Türkiyemspor Berlin,SV Stern Britz 1889,87,3:0
De Sousa Oliveira,FC Internationale Berlin 1980,Köpenicker FC,26,1:1
Topal,FC Internationale Berlin 1980,Köpenicker FC,40,2:3
Ibrom,Berliner SC II,BSV Eintracht Mahlsdorf II,74,1:1
Baba,BSV Al-Dersimspor,SC Borsigwalde 1910,45,1:1
Diokhane,BSV Al-Dersimspor,SC Borsigwalde 1910,80,2:2
Faizi,SV Empor Berlin II,FSV Berolina Stralau 1901,3,1:0
Faizi,SV Empor Berlin II,FSV Berolina Stralau 1901,49,2:1
Hortum,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,23,1:1
Burda,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,37,1:2
Kirschner,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,78,4:3
Bohnsack,Köpenicker FC,FC Internationale Berlin 1980,25,0:1
Bohnsack,Köpenicker FC,FC Internationale Berlin 1980,30,1:2
Bohnsack,Köpenicker FC,FC Internationale Berlin 1980,38,1:3
Bohnsack,Köpenicker FC,FC Internationale Berlin 1980,90,2:4
Szczech,BSV Eintracht Mahlsdorf II,Berliner SC II,36,0:1
