Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
188,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,0.077
189,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,0.071
190,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,14,0.071
191,SC Borsigwalde 1910,Kenneth Weise,49,IV,15,0.067
192,Berliner SC II,Alexander Huse,13,ST,15,0.067
193,SV Empor Berlin II,Elias Thürigen,5,IV,15,0.067
194,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,15,0.067
195,BSV Al-Dersimspor,William Essel,9,LM,15,0.067
196,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,15,0.067
197,Köpenicker FC,Philip Möhle,28,RV,16,0.062
198,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,17,0.059
199,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,0.059
200,Berliner SV 1892,Joshua Tröger,24,RV,17,0.059
201,SV Stern Britz 1889,Marcel Frobenius,37,RV,17,0.059
202,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,17,0.059
203,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,18,0.056
204,SV Stern Britz 1889,Naim Senay,26,IV,18,0.056
205,Berliner SV 1892,Göktug Özsoy,19,ZM,18,0.056
206,SV Empor Berlin II,Niclas Nixdorf,3,IV,18,0.056
207,Köpenicker FC,Tarek Borchmeier,13,ZM,19,0.053
208,Köpenicker FC,Tom-Niclas Hamann,23,IV,19,0.053
209,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,19,0.053
210,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,20,0.05
211,BSV Al-Dersimspor,Caglar Polat,27,ZOM,20,0.05
212,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,20,0.05
213,Köpenicker FC,Luca Munsky,3,LV,20,0.05
214,VfB Concordia Britz 1916,Jordy Gase,25,ST,21,0.048
215,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,21,0.048
216,TSV Rudow Berlin,Abdullah Bayram,21,LM,21,0.048
217,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,21,0.048
218,FSV Berolina Stralau 1901,Denis Rolke,15,RM,22,0.045
219,SV Stern Britz 1889,Andre Schulz,23,IV,22,0.045
220,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,22,0.045
221,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,22,0.045
222,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,22,0.045
223,BSV Al-Dersimspor,Amir Awag,5,RV,23,0.043
224,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,23,0.043
225,Berliner SC II,Ezher Akbulut,23,LM,23,0.043
226,BFC Meteor 06,Ahmad Zahlan,6,ZDM,24,0.042
227,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,24,0.042
228,Berliner SV 1892,Niklas Jost,4,IV,24,0.042
229,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,24,0.042
230,BFC Meteor 06,Selvedin Begzadic,22,TW,19,0
231,Türkiyemspor Berlin,Kenan Demir,3,ZDM,20,0
232,Berliner SV 1892,Hendrik Lüttschwager,1,TW,20,0
233,BSV Al-Dersimspor,Kerem Filiz,NA,IV,7,0
234,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,8,0
235,Berliner SC II,Nicolas Wolski,8,RV,11,0
236,Köpenicker FC,Jonas Weigelt,8,IV,14,0
237,TSV Rudow Berlin,Martin Gromotka,44,TW,22,0
238,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,21,0
239,BFC Preussen II,Paul Miggel,8,LV,7,0
240,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,15,0
241,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
242,BSV Al-Dersimspor,Patrick Boel,1,TW,18,0
243,BFC Preussen II,Malte Hartmann,31,TW,16,0
244,SC Borsigwalde 1910,Tobias Knetsch,23,TW,12,0
245,Köpenicker FC,Till Dietrich,27,LV,21,0
246,BFC Preussen II,Yasin Demir,30,ZDM,18,0
247,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,8,0
248,VfB Concordia Britz 1916,Patrick Wenke,29,IV,14,0
249,VfB Concordia Britz 1916,Tim Wenke,5,IV,13,0
250,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
251,Berliner SV 1892,Benjamin Schnack,NA,IV,11,0
252,Köpenicker FC,Tom Nischwitz,5,IV,15,0
253,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
254,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
255,Berliner SV 1892,Karl Anker,8,RV,22,0
256,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,7,0
257,Berliner SC II,Jakob Heilmann,2,LV,18,0
258,SV Empor Berlin II,Maurice Meyer,1,TW,11,0
259,Berliner SV 1892,Nicht öffentlich,NA,NA,12,0
260,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,10,0
261,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
262,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,22,0
263,BFC Preussen II,Dominik Dietzel,1,TW,11,0
264,SV Stern Britz 1889,Timo Ziebarth,1,TW,16,0
265,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,20,0
266,BSV Al-Dersimspor,Etem Tonk,24,IV,22,0
267,Türkiyemspor Berlin,Dennis Fischer,2,LV,7,0
268,TSV Rudow Berlin,Linus Fürstenow,4,IV,24,0
269,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
270,SV Stern Britz 1889,Nico Hauf,13,IV,17,0
271,FSV Berolina Stralau 1901,Ian Häberle,22,IV,21,0
272,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
273,SV Empor Berlin II,Philipp Macketanz,15,LV,15,0
274,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
275,Köpenicker FC,Adrian Thiemann,1,TW,20,0
276,VfB Concordia Britz 1916,Leon Ketel,1,TW,14,0
277,FSV Berolina Stralau 1901,Pablo Guillen,8,ZM,15,0
278,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
279,SV Empor Berlin II,Pascal Bräkow,2,RV,25,0
280,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
281,Berliner SV 1892,Jonathan Maurer,NA,ZM,11,0
282,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
283,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
284,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,22,0
285,Köpenicker FC,Rayk Stahnke,26,ZM,9,0
286,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
287,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,14,0
288,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,16,0
289,VfB Concordia Britz 1916,Malte Meißner,33,TW,10,0
290,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,19,0
291,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
292,SC Borsigwalde 1910,David Chukwu,NA,LV,13,0
293,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
294,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,23,0
295,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,7,0
296,Köpenicker FC,Luca Carius,6,IV,22,0
297,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
298,Köpenicker FC,Tom Rostock,NA,RM,7,0
299,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,14,0
300,Berliner SC II,Bryan Lilja,18,LM,8,0
301,Türkiyemspor Berlin,Kenan Özen,6,ZDM,17,0
302,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,9,0
303,Köpenicker FC,Anton Neumann,14,ZM,12,0
304,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,8,0
305,TSV Rudow Berlin,Jonas Becker,3,IV,22,0
306,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
307,Berliner SC II,Jesse Kreuschner,31,TW,9,0
308,Berliner SV 1892,Chidera Iwuozor,6,LM,9,0
309,FSV Berolina Stralau 1901,David Bode,18,RV,13,0
310,FSV Berolina Stralau 1901,Arian Saiti,17,RV,18,0
311,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
312,TSV Rudow Berlin,Eliot Tolaj,15,IV,16,0
313,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,15,0
314,BFC Meteor 06,Leo Suilmann,1,TW,8,0
315,Berliner SC II,Paul Schlicht,1,TW,15,0
316,SV Stern Britz 1889,Benis Leci,30,IV,20,0
317,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,IV,11,0
318,FSV Berolina Stralau 1901,Andreas Friese,23,TW,18,0
319,Türkiyemspor Berlin,Koray Aktas,21,TW,10,0
320,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
321,SC Borsigwalde 1910,Ahmad Chehade,NA,LV,7,0
322,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,25,0
323,VfB Concordia Britz 1916,Merdan Köse,4,IV,18,0
324,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,11,0
325,SV Empor Berlin II,Aaron Yusuff,NA,TW,13,0
326,FSV Berolina Stralau 1901,Yussef Jradi,11,LM,22,0
327,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,22,0
328,SV Empor Berlin II,Alvenzio Ettah,19,ZM,20,0
329,SC Borsigwalde 1910,Eren Motuk,5,IV,18,0
330,SV Empor Berlin II,Oskar Kühn,23,TW,9,0
331,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,LM,13,0
332,BFC Preussen II,Christian Müller,25,ZDM,13,0
333,Köpenicker FC,Noah Maximilian Laske,19,RV,14,0
334,Köpenicker FC,Oskar Klauke,20,LV,12,0
335,SV Stern Britz 1889,Jonas Lück,18,TW,9,0
336,Berliner SC II,Simon Riedel,14,RV,20,0
337,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
338,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,8,0
339,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,21,0
340,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,8,0
341,SV Empor Berlin II,Rafael Mentrup,21,LM,21,0
342,SV Empor Berlin II,Laszlo Braun,22,LM,14,0
343,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,7,0
344,SC Borsigwalde 1910,Adam Barnat,6,LM,11,0
345,VfB Concordia Britz 1916,Philip Wieser,17,ZM,20,0
346,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,10,0
347,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,17,0
348,SV Empor Berlin II,Keita Udo,12,ZM,8,0
349,TSV Rudow Berlin,Süleyman Aktas,29,TW,10,0
350,SV Empor Berlin II,Laurens Cerny,20,ZM,19,0
351,SV Stern Britz 1889,John Coker,NA,ST,7,0
