team,pitch1,size1,L1,W1,pitch2,size2,L2,W2
Berliner SC,Ra,L,105,68,KuRa,S,92,60
SV Empor Berlin,Ra,L,105,68,KuRa,S,90,60
Sp.Vg. Blau Weiß 1890 Berlin,Ra,L,103,67,KuRa,S,90,60
VSG Altglienicke II,KuRa,S,90,60,,,,
VfB Fortuna Biesdorf,Ra,S,93,60,KuRa,S,93,60
Frohnauer SC,Ra,M,100,67,KuRa,S,90,60
SV BW Hohen Neuendorf,Ra,M,100,65,KuRa,S,90,60
SC Staaken 1919,KuRa,S,90,60,,,,
TSV Mariendorf 1897,Ra,L,105,68,KuRa,S,92,60
Polar Pinguin Berlin,KuRa,S,90,65,,,,
TSV Rudow Berlin,KuRa,L,105,70,,,,
FSV Spandauer Kickers,Ra,M,98,68,KuRa,M,98,65
Füchse Berlin,Ra,M,100,68,,,,
SFC Stern 1900,KuRa,M,100,65,,,,
SC Charlottenburg,Ra,L,105,68,,,,
SSC Südwest 1947,KuRa,M,97,60,,,,
Berlin Türkspor,Ra,M,100,65,,,,
1. FC Wilmersdorf,KuRa,M,100,65,,,,
