ID,Name,Team,Nummer
1892816,Patrick Kühn,FC Viktoria 1889 Berlin II,1
2055520,Fonseca Pereira Mendes,FC Viktoria 1889 Berlin II,25
2056527,Dmytro Karika,FC Viktoria 1889 Berlin II,30
2065381,Maciej Macias,FC Viktoria 1889 Berlin II,24
2110190,Nana Nkrumah,FC Viktoria 1889 Berlin II,12
2196188,Ognyan Stefanov,FC Viktoria 1889 Berlin II,16
2205011,Emmanuel Sokowonci Daniel,FC Viktoria 1889 Berlin II,32
2248604,Joshua Isaias Almedom,FC Viktoria 1889 Berlin II,3
2285761,Rayan Ait Manssour,FC Viktoria 1889 Berlin II,19
2313642,Daniel Hölbling,FC Viktoria 1889 Berlin II,15
2369253,Sebastian Naicker,FC Viktoria 1889 Berlin II,31
1118240,Samet Sennur,TSV Rudow Berlin,11
1119739,Dominik Thonfeld,TSV Rudow Berlin,23
1549054,Jonas Becker,TSV Rudow Berlin,3
1617176,Elias Burda,TSV Rudow Berlin,13
1710827,Eliot Tolaj,TSV Rudow Berlin,15
1710831,Nana Kwame Badu-Amoah,TSV Rudow Berlin,7
1877276,Zafer Kaan Göksar,TSV Rudow Berlin,
1889079,Yannick Emanuel Wöhle,TSV Rudow Berlin,16
2115439,Mert Arslan,TSV Rudow Berlin,
2132646,Abdullah Bayram,TSV Rudow Berlin,21
2335873,Pascal Ulrich,TSV Rudow Berlin,
2346194,Süleyman Aktas,TSV Rudow Berlin,29
2346195,Ahmad Haj Youssef,TSV Rudow Berlin,19
358358,Melih Hortum,TSV Rudow Berlin,10
358424,Dmitri Zabavin,TSV Rudow Berlin,1
371537,Martin Gromotka,TSV Rudow Berlin,44
478754,Alexander Wuthe,TSV Rudow Berlin,8
499196,Dennis Rötzscher,TSV Rudow Berlin,18
554638,Patrick Maykowski,TSV Rudow Berlin,20
627319,Matteo Günther,TSV Rudow Berlin,9
665786,Nemanja Samardzic,TSV Rudow Berlin,
763426,Jan-Eric Frank,TSV Rudow Berlin,6
870868,Linus Fürstenow,TSV Rudow Berlin,4
931868,Mohammed Hassane,TSV Rudow Berlin,17
946158,Talha Sennur,TSV Rudow Berlin,24
1102140,Abdoulaye Djibril Diallo,Türkiyemspor Berlin,
1118199,Muzaffer Kirimoglu,Türkiyemspor Berlin,9
114923,Omid Saberdest,Türkiyemspor Berlin,5
1296888,Oguzhan Codura,Türkiyemspor Berlin,10
1334973,Florian Nikolai Thalhofer,Türkiyemspor Berlin,17
1375485,Ferhat Ömür,Türkiyemspor Berlin,68
1390295,Ömer Tanis,Türkiyemspor Berlin,8
1450648,Kenan Özen,Türkiyemspor Berlin,6
1531048,Tolgahan Can Eskin,Türkiyemspor Berlin,21
1553439,Tamer Emre Ertürkler,Türkiyemspor Berlin,17
1772095,Deren Yoldas Emre,Türkiyemspor Berlin,36
1844076,Koray Aktas,Türkiyemspor Berlin,21
1873242,Deniz Karakus,Türkiyemspor Berlin,32
1889132,Erdem Celik,Türkiyemspor Berlin,18
2052872,Mustafa Kemal Karaman,Türkiyemspor Berlin,11
2126300,Yeifre Diaz Chacon,Türkiyemspor Berlin,
2207010,Mohamad Faramarzi,Türkiyemspor Berlin,20
2375959,Mohamad El-Ali,Türkiyemspor Berlin,42
275904,Kenan Demir,Türkiyemspor Berlin,3
58814,Enes Uzun,Türkiyemspor Berlin,25
670955,Jan Lange,Türkiyemspor Berlin,
743561,Paulo Eduardo Bernardes De Almeida,Türkiyemspor Berlin,22
803085,Amon Simunovic,Türkiyemspor Berlin,6
833291,Davut Kösker,Türkiyemspor Berlin,32
849600,Görkem Yilmaz,Türkiyemspor Berlin,4
928175,Habib Jalloh,Türkiyemspor Berlin,16
946138,Ali Mert Koca,Türkiyemspor Berlin,15
946153,Ertugrul Aktas,Türkiyemspor Berlin,13
1102271,Niklas Jost,Berliner SV 1892,4
1102273,Mario Mikic,Berliner SV 1892,14
1102310,Paul Busche,Berliner SV 1892,7
1105603,Firooz Ahmadi,Berliner SV 1892,
1117111,Joshua Tröger,Berliner SV 1892,24
1239218,Soner Gültepe,Berliner SV 1892,26
1608375,Chidera Iwuozor,Berliner SV 1892,6
1987202,Linus Hechtfisch,Berliner SV 1892,23
2155721,Ali Ismail Gashi,Berliner SV 1892,12
2328813,Lewi Dawit Molalegn,Berliner SV 1892,15
282924,Hendrik Lüttschwager,Berliner SV 1892,1
351307,Nick Bechler,Berliner SV 1892,27
368027,Sebastian Sobczyk,Berliner SV 1892,9
554297,El-Amin Elsaadawi,Berliner SV 1892,17
561892,Benjamin Schnack,Berliner SV 1892,
562984,Robin Wolff,Berliner SV 1892,25
587441,Karl Anker,Berliner SV 1892,8
611865,Nikita Charkov,Berliner SV 1892,20
656536,Maximilian Blust,Berliner SV 1892,
665771,Steven Koschek,Berliner SV 1892,
682329,Julius Zauner,Berliner SV 1892,11
736063,Göktug Özsoy,Berliner SV 1892,19
784306,Lennard Schleifenbaum,Berliner SV 1892,21
838422,David Bellin,Berliner SV 1892,28
850594,Dennis Fischer,Berliner SV 1892,2
990217,Tim Paschke,Berliner SV 1892,13
990236,Stefano Tedesco,Berliner SV 1892,22
1132985,Ayham Heimur,BFC Meteor 06,92
1181874,Julius Böke,BFC Meteor 06,
1336298,Fredy Balde,BFC Meteor 06,8
1359263,Marcos Terzopulos-Koutsoubas,BFC Meteor 06,5
1371280,Pascal-Rene Jüterbock,BFC Meteor 06,84
1472494,Lennart Nerlich,BFC Meteor 06,5
1472506,Jannik Jantzen,BFC Meteor 06,27
1695470,Rick Mickael Ella,BFC Meteor 06,70
1723731,Mohammed Hamiss,BFC Meteor 06,99
1741546,Leo Suilmann,BFC Meteor 06,1
202674,Selvedin Begzadic,BFC Meteor 06,22
2039675,Eriseld Tafilaj,BFC Meteor 06,69
2079660,Rene Fon Nkafu,BFC Meteor 06,77
2288462,Farouk Ben Mustapha,BFC Meteor 06,18
2305754,Leon Splanemann,BFC Meteor 06,
2336484,Ibrahim Celik,BFC Meteor 06,47
2338606,Steven Demarr Saunders,BFC Meteor 06,14
309623,Tugay Adigüzel,BFC Meteor 06,61
43191,Solomon Okoronkwo,BFC Meteor 06,
482985,Soner Demiryürek,BFC Meteor 06,21
493840,Julian Schröder,BFC Meteor 06,15
555829,Yusuf Abouri,BFC Meteor 06,
564086,Serkan Karasu,BFC Meteor 06,3
589040,Bahadir Katirci,BFC Meteor 06,7
609589,Ahmad Zahlan,BFC Meteor 06,6
663469,Jamal Dähn,BFC Meteor 06,
835657,Oktay Ugur,BFC Meteor 06,17
849219,Tim Riese,BFC Meteor 06,4
994879,Simon Böhm,BFC Meteor 06,11
1083348,Darnell Bruns,VfB Concordia Britz 1916,11
1083352,Leon Ketel,VfB Concordia Britz 1916,1
1083354,Merlin Schulz,VfB Concordia Britz 1916,8
1119607,Jordy Gase,VfB Concordia Britz 1916,25
1173011,Deniz Gassen,VfB Concordia Britz 1916,10
