matchday,H,A,Tore_H,Tore_A,where
23,SC Charlottenburg,SV BW Hohen Neuendorf,NA,NA,away
23,Berliner SC,Frohnauer SC,NA,NA,away
23,Polar Pinguin Berlin,Berlin Türkspor,NA,NA,away
23,TSV Mariendorf 1897,VfB Fortuna Biesdorf,NA,NA,away
24,VSG Altglienicke II,SSC Südwest 1947,NA,NA,home
24,SC Staaken 1919,1. FC Wilmersdorf,NA,NA,home
24,VfB Fortuna Biesdorf,TSV Rudow Berlin,NA,NA,home
24,SV BW Hohen Neuendorf,Berlin Türkspor,NA,NA,home
24,TSV Mariendorf 1897,Füchse Berlin,NA,NA,home
24,Berliner SC,SFC Stern 1900,NA,NA,home
24,Sp.Vg. Blau Weiß 1890 Berlin,FSV Spandauer Kickers,NA,NA,home
24,SV Empor Berlin,SC Charlottenburg,NA,NA,home
24,Frohnauer SC,Polar Pinguin Berlin,NA,NA,home
24,SSC Südwest 1947,VSG Altglienicke II,NA,NA,away
24,1. FC Wilmersdorf,SC Staaken 1919,NA,NA,away
24,TSV Rudow Berlin,VfB Fortuna Biesdorf,NA,NA,away
24,Berlin Türkspor,SV BW Hohen Neuendorf,NA,NA,away
24,Füchse Berlin,TSV Mariendorf 1897,NA,NA,away
24,SFC Stern 1900,Berliner SC,NA,NA,away
24,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
24,SC Charlottenburg,SV Empor Berlin,NA,NA,away
24,Polar Pinguin Berlin,Frohnauer SC,NA,NA,away
25,SFC Stern 1900,1. FC Wilmersdorf,NA,NA,home
25,FSV Spandauer Kickers,Füchse Berlin,NA,NA,home
25,Polar Pinguin Berlin,SC Charlottenburg,NA,NA,home
25,SV BW Hohen Neuendorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
25,SSC Südwest 1947,SV Empor Berlin,NA,NA,home
25,VSG Altglienicke II,VfB Fortuna Biesdorf,NA,NA,home
25,SC Staaken 1919,Frohnauer SC,NA,NA,home
25,Berlin Türkspor,Berliner SC,NA,NA,home
25,TSV Rudow Berlin,TSV Mariendorf 1897,NA,NA,home
25,1. FC Wilmersdorf,SFC Stern 1900,NA,NA,away
25,Füchse Berlin,FSV Spandauer Kickers,NA,NA,away
25,SC Charlottenburg,Polar Pinguin Berlin,NA,NA,away
25,Sp.Vg. Blau Weiß 1890 Berlin,SV BW Hohen Neuendorf,NA,NA,away
25,SV Empor Berlin,SSC Südwest 1947,NA,NA,away
25,VfB Fortuna Biesdorf,VSG Altglienicke II,NA,NA,away
25,Frohnauer SC,SC Staaken 1919,NA,NA,away
25,Berliner SC,Berlin Türkspor,NA,NA,away
25,TSV Mariendorf 1897,TSV Rudow Berlin,NA,NA,away
26,Polar Pinguin Berlin,SSC Südwest 1947,NA,NA,home
26,FSV Spandauer Kickers,TSV Rudow Berlin,NA,NA,home
26,SFC Stern 1900,Berlin Türkspor,NA,NA,home
26,Berliner SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
26,TSV Mariendorf 1897,VSG Altglienicke II,NA,NA,home
26,SV Empor Berlin,VfB Fortuna Biesdorf,NA,NA,home
26,1. FC Wilmersdorf,Frohnauer SC,NA,NA,home
26,Füchse Berlin,SV BW Hohen Neuendorf,NA,NA,home
26,SC Charlottenburg,SC Staaken 1919,NA,NA,home
26,SSC Südwest 1947,Polar Pinguin Berlin,NA,NA,away
26,TSV Rudow Berlin,FSV Spandauer Kickers,NA,NA,away
26,Berlin Türkspor,SFC Stern 1900,NA,NA,away
26,Sp.Vg. Blau Weiß 1890 Berlin,Berliner SC,NA,NA,away
26,VSG Altglienicke II,TSV Mariendorf 1897,NA,NA,away
26,VfB Fortuna Biesdorf,SV Empor Berlin,NA,NA,away
26,Frohnauer SC,1. FC Wilmersdorf,NA,NA,away
26,SV BW Hohen Neuendorf,Füchse Berlin,NA,NA,away
26,SC Staaken 1919,SC Charlottenburg,NA,NA,away
27,Berlin Türkspor,SC Charlottenburg,NA,NA,home
27,FSV Spandauer Kickers,1. FC Wilmersdorf,NA,NA,home
27,SC Staaken 1919,Füchse Berlin,NA,NA,home
27,SSC Südwest 1947,SFC Stern 1900,NA,NA,home
27,VSG Altglienicke II,SV Empor Berlin,NA,NA,home
27,Sp.Vg. Blau Weiß 1890 Berlin,Frohnauer SC,NA,NA,home
27,VfB Fortuna Biesdorf,Berliner SC,NA,NA,home
27,TSV Rudow Berlin,Polar Pinguin Berlin,NA,NA,home
27,SV BW Hohen Neuendorf,TSV Mariendorf 1897,NA,NA,home
27,SC Charlottenburg,Berlin Türkspor,NA,NA,away
27,1. FC Wilmersdorf,FSV Spandauer Kickers,NA,NA,away
27,Füchse Berlin,SC Staaken 1919,NA,NA,away
27,SFC Stern 1900,SSC Südwest 1947,NA,NA,away
27,SV Empor Berlin,VSG Altglienicke II,NA,NA,away
27,Frohnauer SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
27,Berliner SC,VfB Fortuna Biesdorf,NA,NA,away
27,Polar Pinguin Berlin,TSV Rudow Berlin,NA,NA,away
27,TSV Mariendorf 1897,SV BW Hohen Neuendorf,NA,NA,away
28,SC Charlottenburg,SSC Südwest 1947,NA,NA,home
28,SFC Stern 1900,TSV Rudow Berlin,NA,NA,home
28,Füchse Berlin,Berlin Türkspor,NA,NA,home
28,Berliner SC,VSG Altglienicke II,NA,NA,home
28,Frohnauer SC,VfB Fortuna Biesdorf,NA,NA,home
28,1. FC Wilmersdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
28,Polar Pinguin Berlin,FSV Spandauer Kickers,NA,NA,home
28,SV Empor Berlin,SV BW Hohen Neuendorf,NA,NA,home
28,TSV Mariendorf 1897,SC Staaken 1919,NA,NA,home
28,SSC Südwest 1947,SC Charlottenburg,NA,NA,away
28,TSV Rudow Berlin,SFC Stern 1900,NA,NA,away
28,Berlin Türkspor,Füchse Berlin,NA,NA,away
28,VSG Altglienicke II,Berliner SC,NA,NA,away
28,VfB Fortuna Biesdorf,Frohnauer SC,NA,NA,away
28,Sp.Vg. Blau Weiß 1890 Berlin,1. FC Wilmersdorf,NA,NA,away
28,FSV Spandauer Kickers,Polar Pinguin Berlin,NA,NA,away
28,SV BW Hohen Neuendorf,SV Empor Berlin,NA,NA,away
28,SC Staaken 1919,TSV Mariendorf 1897,NA,NA,away
29,Polar Pinguin Berlin,1. FC Wilmersdorf,NA,NA,home
29,SSC Südwest 1947,Füchse Berlin,NA,NA,home
29,TSV Rudow Berlin,SC Charlottenburg,NA,NA,home
29,VfB Fortuna Biesdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
29,FSV Spandauer Kickers,SFC Stern 1900,NA,NA,home
29,SC Staaken 1919,SV Empor Berlin,NA,NA,home
29,VSG Altglienicke II,Frohnauer SC,NA,NA,home
29,SV BW Hohen Neuendorf,Berliner SC,NA,NA,home
29,Berlin Türkspor,TSV Mariendorf 1897,NA,NA,home
29,1. FC Wilmersdorf,Polar Pinguin Berlin,NA,NA,away
29,Füchse Berlin,SSC Südwest 1947,NA,NA,away
29,SC Charlottenburg,TSV Rudow Berlin,NA,NA,away
29,Sp.Vg. Blau Weiß 1890 Berlin,VfB Fortuna Biesdorf,NA,NA,away
29,SFC Stern 1900,FSV Spandauer Kickers,NA,NA,away
29,SV Empor Berlin,SC Staaken 1919,NA,NA,away
29,Frohnauer SC,VSG Altglienicke II,NA,NA,away
29,Berliner SC,SV BW Hohen Neuendorf,NA,NA,away
29,TSV Mariendorf 1897,Berlin Türkspor,NA,NA,away
30,SFC Stern 1900,SV Empor Berlin,NA,NA,home
30,TSV Rudow Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
30,FSV Spandauer Kickers,Frohnauer SC,NA,NA,home
30,Polar Pinguin Berlin,Berliner SC,NA,NA,home
30,SC Charlottenburg,TSV Mariendorf 1897,NA,NA,home
30,1. FC Wilmersdorf,Füchse Berlin,NA,NA,home
30,SC Staaken 1919,SV BW Hohen Neuendorf,NA,NA,home
30,Berlin Türkspor,VSG Altglienicke II,NA,NA,home
30,SSC Südwest 1947,VfB Fortuna Biesdorf,NA,NA,home
30,SV Empor Berlin,SFC Stern 1900,NA,NA,away
30,Sp.Vg. Blau Weiß 1890 Berlin,TSV Rudow Berlin,NA,NA,away
30,Frohnauer SC,FSV Spandauer Kickers,NA,NA,away
30,Berliner SC,Polar Pinguin Berlin,NA,NA,away
30,TSV Mariendorf 1897,SC Charlottenburg,NA,NA,away
30,Füchse Berlin,1. FC Wilmersdorf,NA,NA,away
30,SV BW Hohen Neuendorf,SC Staaken 1919,NA,NA,away
30,VSG Altglienicke II,Berlin Türkspor,NA,NA,away
30,VfB Fortuna Biesdorf,SSC Südwest 1947,NA,NA,away
31,Berliner SC,SSC Südwest 1947,NA,NA,home
31,VSG Altglienicke II,1. FC Wilmersdorf,NA,NA,home
31,SV Empor Berlin,TSV Rudow Berlin,NA,NA,home
31,Frohnauer SC,Berlin Türkspor,NA,NA,home
31,SC Charlottenburg,SFC Stern 1900,NA,NA,home
31,TSV Mariendorf 1897,FSV Spandauer Kickers,NA,NA,home
31,VfB Fortuna Biesdorf,SV BW Hohen Neuendorf,NA,NA,home
31,Füchse Berlin,Polar Pinguin Berlin,NA,NA,home
31,Sp.Vg. Blau Weiß 1890 Berlin,SC Staaken 1919,NA,NA,home
31,SSC Südwest 1947,Berliner SC,NA,NA,away
31,1. FC Wilmersdorf,VSG Altglienicke II,NA,NA,away
31,TSV Rudow Berlin,SV Empor Berlin,NA,NA,away
31,Berlin Türkspor,Frohnauer SC,NA,NA,away
31,SFC Stern 1900,SC Charlottenburg,NA,NA,away
31,FSV Spandauer Kickers,TSV Mariendorf 1897,NA,NA,away
31,SV BW Hohen Neuendorf,VfB Fortuna Biesdorf,NA,NA,away
31,Polar Pinguin Berlin,Füchse Berlin,NA,NA,away
31,SC Staaken 1919,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
32,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,NA,NA,home
32,SV BW Hohen Neuendorf,1. FC Wilmersdorf,NA,NA,home
32,SV Empor Berlin,Polar Pinguin Berlin,NA,NA,home
32,Berliner SC,FSV Spandauer Kickers,NA,NA,home
32,Frohnauer SC,TSV Rudow Berlin,NA,NA,home
32,VfB Fortuna Biesdorf,Berlin Türkspor,NA,NA,home
32,VSG Altglienicke II,SC Staaken 1919,NA,NA,home
32,Füchse Berlin,SC Charlottenburg,NA,NA,home
32,TSV Mariendorf 1897,SFC Stern 1900,NA,NA,home
32,SSC Südwest 1947,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
32,1. FC Wilmersdorf,SV BW Hohen Neuendorf,NA,NA,away
32,Polar Pinguin Berlin,SV Empor Berlin,NA,NA,away
32,FSV Spandauer Kickers,Berliner SC,NA,NA,away
32,TSV Rudow Berlin,Frohnauer SC,NA,NA,away
32,Berlin Türkspor,VfB Fortuna Biesdorf,NA,NA,away
32,SC Staaken 1919,VSG Altglienicke II,NA,NA,away
32,SC Charlottenburg,Füchse Berlin,NA,NA,away
32,SFC Stern 1900,TSV Mariendorf 1897,NA,NA,away
33,SFC Stern 1900,Füchse Berlin,NA,NA,home
33,SV BW Hohen Neuendorf,VSG Altglienicke II,NA,NA,home
33,Berlin Türkspor,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
33,FSV Spandauer Kickers,SV Empor Berlin,NA,NA,home
33,SC Staaken 1919,VfB Fortuna Biesdorf,NA,NA,home
33,1. FC Wilmersdorf,SC Charlottenburg,NA,NA,home
33,SSC Südwest 1947,Frohnauer SC,NA,NA,home
33,TSV Rudow Berlin,Berliner SC,NA,NA,home
33,Polar Pinguin Berlin,TSV Mariendorf 1897,NA,NA,home
33,Füchse Berlin,SFC Stern 1900,NA,NA,away
33,VSG Altglienicke II,SV BW Hohen Neuendorf,NA,NA,away
33,Sp.Vg. Blau Weiß 1890 Berlin,Berlin Türkspor,NA,NA,away
33,SV Empor Berlin,FSV Spandauer Kickers,NA,NA,away
33,VfB Fortuna Biesdorf,SC Staaken 1919,NA,NA,away
33,SC Charlottenburg,1. FC Wilmersdorf,NA,NA,away
33,Frohnauer SC,SSC Südwest 1947,NA,NA,away
33,Berliner SC,TSV Rudow Berlin,NA,NA,away
33,TSV Mariendorf 1897,Polar Pinguin Berlin,NA,NA,away
34,1. FC Wilmersdorf,VfB Fortuna Biesdorf,NA,NA,home
34,TSV Mariendorf 1897,SSC Südwest 1947,NA,NA,home
34,Sp.Vg. Blau Weiß 1890 Berlin,VSG Altglienicke II,NA,NA,home
34,SFC Stern 1900,Polar Pinguin Berlin,NA,NA,home
34,SC Charlottenburg,FSV Spandauer Kickers,NA,NA,home
34,Füchse Berlin,TSV Rudow Berlin,NA,NA,home
34,SV Empor Berlin,Berlin Türkspor,NA,NA,home
34,Berliner SC,SC Staaken 1919,NA,NA,home
34,Frohnauer SC,SV BW Hohen Neuendorf,NA,NA,home
34,VfB Fortuna Biesdorf,1. FC Wilmersdorf,NA,NA,away
34,SSC Südwest 1947,TSV Mariendorf 1897,NA,NA,away
34,VSG Altglienicke II,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
34,Polar Pinguin Berlin,SFC Stern 1900,NA,NA,away
34,FSV Spandauer Kickers,SC Charlottenburg,NA,NA,away
34,TSV Rudow Berlin,Füchse Berlin,NA,NA,away
34,Berlin Türkspor,SV Empor Berlin,NA,NA,away
34,SC Staaken 1919,Berliner SC,NA,NA,away
34,SV BW Hohen Neuendorf,Frohnauer SC,NA,NA,away
