matchday,H,A,Tore_H,Tore_A,where
6,TSV Mariendorf 1897,SC Charlottenburg,NA,NA,home
6,Füchse Berlin,1. FC Wilmersdorf,NA,NA,home
6,SV BW Hohen Neuendorf,SC Staaken 1919,NA,NA,home
6,VSG Altglienicke II,Berlin Türkspor,NA,NA,home
6,VfB Fortuna Biesdorf,SSC Südwest 1947,NA,NA,home
6,SFC Stern 1900,SV Empor Berlin,NA,NA,away
6,TSV Rudow Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
6,FSV Spandauer Kickers,Frohnauer SC,NA,NA,away
6,Polar Pinguin Berlin,Berliner SC,NA,NA,away
6,SC Charlottenburg,TSV Mariendorf 1897,NA,NA,away
6,1. FC Wilmersdorf,Füchse Berlin,NA,NA,away
6,SC Staaken 1919,SV BW Hohen Neuendorf,NA,NA,away
6,Berlin Türkspor,VSG Altglienicke II,NA,NA,away
6,SSC Südwest 1947,VfB Fortuna Biesdorf,NA,NA,away
7,SSC Südwest 1947,Polar Pinguin Berlin,NA,NA,home
7,TSV Rudow Berlin,FSV Spandauer Kickers,NA,NA,home
7,Berlin Türkspor,SFC Stern 1900,NA,NA,home
7,Sp.Vg. Blau Weiß 1890 Berlin,Berliner SC,NA,NA,home
7,VSG Altglienicke II,TSV Mariendorf 1897,NA,NA,home
7,VfB Fortuna Biesdorf,SV Empor Berlin,NA,NA,home
7,Frohnauer SC,1. FC Wilmersdorf,NA,NA,home
7,SV BW Hohen Neuendorf,Füchse Berlin,NA,NA,home
7,SC Staaken 1919,SC Charlottenburg,NA,NA,home
7,Polar Pinguin Berlin,SSC Südwest 1947,NA,NA,away
7,FSV Spandauer Kickers,TSV Rudow Berlin,NA,NA,away
7,SFC Stern 1900,Berlin Türkspor,NA,NA,away
7,Berliner SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
7,TSV Mariendorf 1897,VSG Altglienicke II,NA,NA,away
7,SV Empor Berlin,VfB Fortuna Biesdorf,NA,NA,away
7,1. FC Wilmersdorf,Frohnauer SC,NA,NA,away
7,Füchse Berlin,SV BW Hohen Neuendorf,NA,NA,away
7,SC Charlottenburg,SC Staaken 1919,NA,NA,away
8,SC Charlottenburg,Berlin Türkspor,NA,NA,home
8,1. FC Wilmersdorf,FSV Spandauer Kickers,NA,NA,home
8,Füchse Berlin,SC Staaken 1919,NA,NA,home
8,SFC Stern 1900,SSC Südwest 1947,NA,NA,home
8,SV Empor Berlin,VSG Altglienicke II,NA,NA,home
8,Frohnauer SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
8,Berliner SC,VfB Fortuna Biesdorf,NA,NA,home
8,Polar Pinguin Berlin,TSV Rudow Berlin,NA,NA,home
8,TSV Mariendorf 1897,SV BW Hohen Neuendorf,NA,NA,home
8,Berlin Türkspor,SC Charlottenburg,NA,NA,away
8,FSV Spandauer Kickers,1. FC Wilmersdorf,NA,NA,away
8,SC Staaken 1919,Füchse Berlin,NA,NA,away
8,SSC Südwest 1947,SFC Stern 1900,NA,NA,away
8,VSG Altglienicke II,SV Empor Berlin,NA,NA,away
8,Sp.Vg. Blau Weiß 1890 Berlin,Frohnauer SC,NA,NA,away
8,VfB Fortuna Biesdorf,Berliner SC,NA,NA,away
8,TSV Rudow Berlin,Polar Pinguin Berlin,NA,NA,away
8,SV BW Hohen Neuendorf,TSV Mariendorf 1897,NA,NA,away
9,SSC Südwest 1947,SC Charlottenburg,NA,NA,home
9,TSV Rudow Berlin,SFC Stern 1900,NA,NA,home
9,Berlin Türkspor,Füchse Berlin,NA,NA,home
9,VSG Altglienicke II,Berliner SC,NA,NA,home
9,VfB Fortuna Biesdorf,Frohnauer SC,NA,NA,home
9,Sp.Vg. Blau Weiß 1890 Berlin,1. FC Wilmersdorf,NA,NA,home
9,FSV Spandauer Kickers,Polar Pinguin Berlin,NA,NA,home
9,SV BW Hohen Neuendorf,SV Empor Berlin,NA,NA,home
9,SC Staaken 1919,TSV Mariendorf 1897,NA,NA,home
9,SC Charlottenburg,SSC Südwest 1947,NA,NA,away
9,SFC Stern 1900,TSV Rudow Berlin,NA,NA,away
9,Füchse Berlin,Berlin Türkspor,NA,NA,away
9,Berliner SC,VSG Altglienicke II,NA,NA,away
9,Frohnauer SC,VfB Fortuna Biesdorf,NA,NA,away
9,1. FC Wilmersdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
9,Polar Pinguin Berlin,FSV Spandauer Kickers,NA,NA,away
9,SV Empor Berlin,SV BW Hohen Neuendorf,NA,NA,away
9,TSV Mariendorf 1897,SC Staaken 1919,NA,NA,away
10,SSC Südwest 1947,SC Staaken 1919,NA,NA,home
10,1. FC Wilmersdorf,Berlin Türkspor,NA,NA,home
10,TSV Rudow Berlin,SV BW Hohen Neuendorf,NA,NA,home
10,Füchse Berlin,Berliner SC,NA,NA,home
10,SC Charlottenburg,Frohnauer SC,NA,NA,home
10,SFC Stern 1900,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
10,FSV Spandauer Kickers,VSG Altglienicke II,NA,NA,home
10,Polar Pinguin Berlin,VfB Fortuna Biesdorf,NA,NA,home
10,TSV Mariendorf 1897,SV Empor Berlin,NA,NA,home
10,SC Staaken 1919,SSC Südwest 1947,NA,NA,away
10,Berlin Türkspor,1. FC Wilmersdorf,NA,NA,away
10,SV BW Hohen Neuendorf,TSV Rudow Berlin,NA,NA,away
10,Berliner SC,Füchse Berlin,NA,NA,away
10,Frohnauer SC,SC Charlottenburg,NA,NA,away
10,Sp.Vg. Blau Weiß 1890 Berlin,SFC Stern 1900,NA,NA,away
10,VSG Altglienicke II,FSV Spandauer Kickers,NA,NA,away
10,VfB Fortuna Biesdorf,Polar Pinguin Berlin,NA,NA,away
10,SV Empor Berlin,TSV Mariendorf 1897,NA,NA,away
11,Berlin Türkspor,SSC Südwest 1947,NA,NA,home
11,Sp.Vg. Blau Weiß 1890 Berlin,SC Charlottenburg,NA,NA,home
11,VSG Altglienicke II,Polar Pinguin Berlin,NA,NA,home
11,VfB Fortuna Biesdorf,SFC Stern 1900,NA,NA,home
11,SV Empor Berlin,1. FC Wilmersdorf,NA,NA,home
11,Frohnauer SC,Füchse Berlin,NA,NA,home
11,Berliner SC,TSV Mariendorf 1897,NA,NA,home
11,SV BW Hohen Neuendorf,FSV Spandauer Kickers,NA,NA,home
11,SC Staaken 1919,TSV Rudow Berlin,NA,NA,home
11,SSC Südwest 1947,Berlin Türkspor,NA,NA,away
11,SC Charlottenburg,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
11,Polar Pinguin Berlin,VSG Altglienicke II,NA,NA,away
11,SFC Stern 1900,VfB Fortuna Biesdorf,NA,NA,away
11,1. FC Wilmersdorf,SV Empor Berlin,NA,NA,away
11,Füchse Berlin,Frohnauer SC,NA,NA,away
11,TSV Mariendorf 1897,Berliner SC,NA,NA,away
11,FSV Spandauer Kickers,SV BW Hohen Neuendorf,NA,NA,away
11,TSV Rudow Berlin,SC Staaken 1919,NA,NA,away
12,1. FC Wilmersdorf,Polar Pinguin Berlin,NA,NA,home
12,Füchse Berlin,SSC Südwest 1947,NA,NA,home
12,SC Charlottenburg,TSV Rudow Berlin,NA,NA,home
12,Sp.Vg. Blau Weiß 1890 Berlin,VfB Fortuna Biesdorf,NA,NA,home
12,SFC Stern 1900,FSV Spandauer Kickers,NA,NA,home
12,SV Empor Berlin,SC Staaken 1919,NA,NA,home
12,Frohnauer SC,VSG Altglienicke II,NA,NA,home
12,Berliner SC,SV BW Hohen Neuendorf,NA,NA,home
12,TSV Mariendorf 1897,Berlin Türkspor,NA,NA,home
12,Polar Pinguin Berlin,1. FC Wilmersdorf,NA,NA,away
12,SSC Südwest 1947,Füchse Berlin,NA,NA,away
12,TSV Rudow Berlin,SC Charlottenburg,NA,NA,away
12,VfB Fortuna Biesdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
12,FSV Spandauer Kickers,SFC Stern 1900,NA,NA,away
12,SC Staaken 1919,SV Empor Berlin,NA,NA,away
12,VSG Altglienicke II,Frohnauer SC,NA,NA,away
