#,team,Spiele,E5,E4,E3,E2,E1,Tore,Dif,Pkt
1,FSV Spandauer Kickers,4,NA,S,S,S,U,7:3,4,2.13
2,1. FC Wilmersdorf,4,NA,N,U,S,S,4:2,2,2.00
3,TSV Mariendorf 1897,5,U,N,S,U,S,13:10,3,1.93
4,SFC Stern 1900,4,NA,S,U,U,S,7:5,2,1.87
5,Frohnauer SC,5,S,U,S,S,N,15:7,8,1.73
6,Füchse Berlin,3,NA,NA,S,N,S,6:3,3,1.60
7,VSG Altglienicke II,4,NA,S,U,N,S,8:5,3,1.60
8,SC Charlottenburg,4,NA,N,S,N,S,8:6,2,1.60
9,SV BW Hohen Neuendorf,5,S,S,S,U,N,11:10,1,1.47
10,Berliner SC,5,S,N,U,N,S,6:5,1,1.40
11,Berlin Türkspor,4,NA,S,N,N,S,11:11,0,1.40
12,SV Empor Berlin,5,N,U,N,N,S,12:18,-6,1.13
13,TSV Rudow Berlin,4,NA,U,N,S,N,5:7,-2,0.93
14,Polar Pinguin Berlin,5,N,U,N,S,N,12:15,-3,0.93
15,SSC Südwest 1947,4,NA,N,S,N,U,3:7,-4,0.93
16,Sp.Vg. Blau Weiß 1890 Berlin,5,S,S,N,U,N,13:10,3,0.87
17,VfB Fortuna Biesdorf,5,U,N,S,N,N,6:14,-8,0.67
18,SC Staaken,5,N,U,U,N,N,7:11,-4,0.33
