#,team,S,G,U,N,Tore,Dif,Pkt
1,Füchse Berlin,1,1,0,0,4:0,4,3
2,Sp.Vg. Blau Weiß 1890 Berlin,1,1,0,0,4:0,4,3
3,Berlin Türkspor,2,2,0,0,8:6,2,3
4,SV BW Hohen Neuendorf,1,1,0,0,2:1,1,3
5,SFC Stern 1900,3,2,1,0,5:3,2,2.3
6,Frohnauer SC,2,1,1,0,4:3,1,2
7,VSG Altglienicke II,4,2,1,1,8:5,3,1.8
8,1. FC Wilmersdorf,3,1,1,1,3:2,1,1.3
9,VfB Fortuna Biesdorf,3,1,1,1,3:6,-3,1.3
10,Berliner SC,1,0,1,0,0:0,0,1
11,FSV Spandauer Kickers,1,0,1,0,1:1,0,1
12,Polar Pinguin Berlin,4,1,1,2,12:12,0,1
13,SV Empor Berlin,1,0,1,0,3:3,0,1
14,SSC Südwest 1947,3,1,0,2,2:6,-4,1
15,TSV Rudow Berlin,5,1,1,3,6:10,-4,0.8
16,SC Staaken,5,0,2,3,7:11,-4,0.4
17,TSV Mariendorf 1897,1,0,0,1,2:3,-1,0
18,SC Charlottenburg,1,0,0,1,1:3,-2,0
