Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Formation,Wechsel
1,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,3,0,home,L,4-2-3-1,5
1,VSG Altglienicke II,TSV Rudow Berlin,3,1,home,S,4-3-3,4
1,VfB Fortuna Biesdorf,FSV Spandauer Kickers,1,1,home,S,4-4-2,5
1,SV Empor Berlin,Füchse Berlin,2,4,home,L,4-1-4-1,5
1,Frohnauer SC,SFC Stern 1900,3,1,home,M,4-2-3-1,4
1,Berliner SC,SC Charlottenburg,3,1,home,L,4-1-2-3,4
1,SV BW Hohen Neuendorf,SSC Südwest 1947,3,1,home,M,3-2-2-2-1,5
1,SC Staaken 1919,Berlin Türkspor,2,3,home,S,5-3-2,5
1,TSV Mariendorf 1897,1. FC Wilmersdorf,2,2,home,L,4-4-2,5
1,Polar Pinguin Berlin,Sp.Vg. Blau Weiß 1890 Berlin,0,3,away,L,5-4-1,5
1,TSV Rudow Berlin,VSG Altglienicke II,1,3,away,S,4-2-3-1,5
1,FSV Spandauer Kickers,VfB Fortuna Biesdorf,1,1,away,S,5-3-2,2
1,Füchse Berlin,SV Empor Berlin,4,2,away,L,4-2-3-1,5
1,SFC Stern 1900,Frohnauer SC,1,3,away,M,4-2-3-1,5
1,SC Charlottenburg,Berliner SC,1,3,away,L,4-2-3-1,4
1,SSC Südwest 1947,SV BW Hohen Neuendorf,1,3,away,M,4-2-3-1,5
1,Berlin Türkspor,SC Staaken 1919,3,2,away,S,3-6-1,2
1,1. FC Wilmersdorf,TSV Mariendorf 1897,2,2,away,L,4-5-1,5
