#,team,S,G,U,N,Tore,Dif,Pkt
1,Füchse Berlin,1,1,0,0,4:0,4,3
2,Berlin Türkspor,2,2,0,0,8:6,2,3
3,Frohnauer SC,1,1,0,0,2:1,1,3
4,VSG Altglienicke II,2,1,1,0,5:3,2,2
5,FSV Spandauer Kickers,1,0,1,0,1:1,0,1
6,Polar Pinguin Berlin,4,1,1,2,12:12,0,1
7,SV Empor Berlin,1,0,1,0,3:3,0,1
8,VfB Fortuna Biesdorf,2,0,1,1,1:5,-4,0.5
9,SC Staaken,3,0,1,2,6:9,-3,0.3
10,TSV Rudow Berlin,1,0,0,1,1:3,-2,0
