#,team,S,G,U,N,Tore,Dif,Pkt
1,Füchse Berlin,3,3,0,0,10:3,7,9
2,SV BW Hohen Neuendorf,2,2,0,0,6:3,3,6
3,FSV Spandauer Kickers,2,1,1,0,3:1,2,4
4,1. FC Wilmersdorf,2,1,1,0,3:2,1,4
5,Frohnauer SC,2,1,1,0,4:3,1,4
6,TSV Mariendorf 1897,3,1,1,1,7:6,1,4
7,Sp.Vg. Blau Weiß 1890 Berlin,2,1,0,1,5:2,3,3
8,Berlin Türkspor,1,1,0,0,3:2,1,3
9,Polar Pinguin Berlin,2,1,0,1,4:5,-1,3
10,TSV Rudow Berlin,2,1,0,1,3:4,-1,3
11,VfB Fortuna Biesdorf,2,1,0,1,3:5,-2,3
12,SC Staaken,1,0,1,0,0:0,0,1
13,Berliner SC,2,0,1,1,1:2,-1,1
14,VSG Altglienicke II,2,0,1,1,2:3,-1,1
15,SFC Stern 1900,2,0,1,1,3:5,-2,1
16,SV Empor Berlin,3,0,1,2,5:12,-7,1
17,SSC Südwest 1947,1,0,0,1,1:3,-2,0
18,SC Charlottenburg,2,0,0,2,2:6,-4,0
