Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
1,Füchse Berlin,SV Empor Berlin,4,2,4-2-3-1,"Otremba, Cygankov, Klecha, Tüysüz, Wilhelm, Bushaj, Zoungrana, Ouédraogo, Sivaci, Haney, Sunday","Yildirim, Rabiega, Bourakkadi, Herdt, Brechler",0:1 (9.) Sunday; 0:2 (17.) Sunday; 1:3 (55.) Bushaj; 1:4 (63.) Eigentor,away,L,4-1-4-1,"Von Hallen, Wenger, Kühn, Khettal, Meirelles-Hartmann, Wegner, Appiah, Schulz, Zander, Möller, Albrecht","Nickel, Hübner, Schäfer, Neumeier, Sakar"
1,SFC Stern 1900,Frohnauer SC,1,3,4-2-3-1,"Dickersbach, Krost, Schönfuß-Hahm, Hajjaj, Udeoka, Rohr, Rohana, Medrane, Gantzberg, Shaarawy, Fäßler","Wobeser, Keita, Cakin, Thurau, Hartmann",3:1 (82.) Thurau,away,M,4-2-3-1,"Paul, Ehritt, Hofmann, Hampel, Domke, Sei ert, Hollnagel, Mundt, Musiol, Kyere, Ceesay","Barnes, Bachar, Lindhammer, Eickhoff"
1,SC Charlottenburg,Berliner SC,1,3,4-2-3-1,"Seidel, Brinkmann, Droszczak, Reichel, Helge, Engelsing, Michels, Hörschlein, Ulucay, Saif, Selman","Lehmann, Mestetef, Maykowski, Onyemaobi",0:1 (51.) Hörschlein,away,L,4-1-2-3,"Köster, Bossard, Trojahn, Markovic, Simon, Nnaemeka-Chukwurah, Neumann, Cheung, Ekandille, Ngah, Ugbogbo","Öztürk, Lorenz, Schumann, Jafari"
1,SSC Südwest 1947,SV BW Hohen Neuendorf,1,3,4-2-3-1,"Stroehlke, Schick, Schramm, Schoeneich, J. Greiner, Olsowski, Schulze, Cernescu, Chafra, Karadayi, Kascha","+1 Mbile Sanchez, +1 Gündogdu, Smolarkiewicz, Glaser, L. Greiner",1:1 (39.) Olsowski,away,M,3-2-2-2-1,"Kopmann, Stoltz, Domke, Niederau, Rüdiger, Lendner, Draski, Urbanski, Wolf, Vogt, Przesang","Schock Negrete, Bacanu, Soine, Lange, Röttgen"
1,Berlin Türkspor,SC Staaken,3,2,3-6-1,"Bätge, Kahraman, Turan, Vassiliadis, Bacak, Heymann, Korntre, Rmieh, Williams, Zardoshtian, Zola","Krien, Dougalis",0:1 (18.) Heymann; 1:2 (43.) Kahraman; 1:3 (72.) Vassiliadis,away,S,5-3-2,"Oberbach, Lampert, Hackbarth, Aksakal, Förster, Younes, Ufak, Tutzschke, El Dayekh, Walter, Gakpeto","Hamid, Stein, Heumer, Flemming, Bahceci"
1,1. FC Wilmersdorf,TSV Mariendorf 1897,2,2,4-5-1,"Samake, Akpinar, Aydin, Baumann, Techie-Menson, El- Meguid, Henneke, Akyol, Flores Kaya, Izal, Kupfer","Russo, Okech, Loch, Cinar, Ilskens",1:1 (71.) Kupfer; 1:2 (73.) Cinar,away,L,4-4-2,"Chaw, Tutic, Rosner, Austermann, Fürst, Veilert, Pfannschmidt, Kasola, Kromat, Senocak, Krieger","Kadiji, Montoya, Van-Dunem, Ulusoy, Yorguner"
2,SSC Südwest 1947,Sp.Vg. Blau Weiß 1890 Berlin,0,4,4-2-3-1,"Stroehlke, Schick, Schramm, Schoeneich, J. Greiner, Olsowski, Gündogdu, Karadayi, Schulze, Chafra, Weiß","Glaser, Sejdic, Kascha, L. Greiner, William",,home,M,4-4-2,"Hinz, Köhne, Rocktäschel, Banze, Wiebach, Rausch, Kohls, Igkmpinompa, Geurts, Brömer, Lopes de Oliveira","Salla, Zingu, Maurer, Grabow, Todorov"
2,1. FC Wilmersdorf,SV BW Hohen Neuendorf,1,2,4-2-3-1,"Samake, Akpinar, Flores Kaya, Aydin, Techie-Menson, Langhammer, Henneke, Kupfer, Cinar, Izal, Benyamina","Ghandour, Russo, Akyol",1:1 (90.+2) Russo,home,M,3-2-2-3,"Kopmann, Stoltz, Domke, Diels, Rüdiger, Lange, Wolf, Vogt, Draski, Przesang, Urbanski","Soine, Lendner, Butt, Röttgen, Schock-Negrete"
2,Polar Pinguin Berlin,SV Empor Berlin,3,3,5-2-2-1,"Pruschke, Kaplan, Kahra, Hardt, Ouattara, Matt, Koch, Zeidler, Sondermann, Will, Ndubueze","Broll, Fechner, Schwabe, Derman, Schanda",1:2 (83.) Sondermann; 2:3 (90.) Sondermann; 3:3 (90.+4) Schwabe,home,S,4-1-4-1,"Von Hallen, Wenger, Neumeier, Khettal, Meirelles-Hartmann, Nickel, Appiah, Schulz, Zander, Möller, Q. Albrecht","Alankus, Ploschenz, Stutzke, Schäfer, Sakar"
2,FSV Spandauer Kickers,Berliner SC,2,1,3-2-3-2,"Gardeike, Klepczynski, Vefonge Wana, J. Krumnow, Dzhaukhar, Senninger, Oldorff, Kuckei, Szuwarski, Tastan, Uzan","Agyei-Yeboah, Iseni, Gezer, Sawallich, Odoubiyi Cocou",1:0 (16.) Tastan; 2:1 (56.) Uzan,home,M,4-3-3,"Köster, Bossard, Öztürk, Markovic, Trojahn, Neumann, Nnaemeka-Chukwura, Cheung, Ekandille, Ngah, Ugbogbo","Jafari, Lorenz, Schumann"
2,TSV Rudow Berlin,Frohnauer SC,2,2,4-2-3-1,"Paul, Ehritt, Hofmann, Hampel, Domke, Walter, Hollnagel, Bachar, Musiol, Kyere, Ceesay","Mundt, Seiffert, Lindhammer, Arend, Barnes",1:1 (45.+2) Musiol; 2:1 (83.) Mundt,home,L,3-4-2-1,"Gromotka, Razeek, Günther, Bayram, Thonfeld, Hassane, H. Iraqui, Youssef, Hortum, A. Iraqui, Baba","Wöhle, Murseli, Kirschner"
2,Berlin Türkspor,VfB Fortuna Biesdorf,4,1,4-2-3-1,"Pokataiev, Vassiliadis, Kahraman, Turan, Williams, Bacak, Zardoshtian, Mukuku Zola, Korntreff, Heymann, Kapan","Diop, Idemudia, Krien, Szigath, Dougalis",1:0 (42.) Zardoshtian; 2:0 (50.) Kapan; 3:0 (76.) Eigentor; 4:0 (84.) Turan,home,M,4-4-2,"Sangel, Künne, Hartwig, Nejjovaj, Maroske, Barrufet, Sommer, Petschner, Dang, Schramm, Steinke","Haj Youssef, Treibert, B. Kadur, Kaftan, Mansour"
2,SC Staaken,VSG Altglienicke II,NA,NA,formation unclear,,,,home,NA,formation unclear,,
2,SC Charlottenburg,Füchse Berlin,1,2,4-1-4-1,"Seidel, Hörschlein, Reichel, Droszczak, Helge, Michels, Maykowski, Ulucay, Engelsing, Löbe, Selman","Lehmann, Saif, Kücük, +1 Traoré, Mestetef",1:0 (45.) Maykowski,home,L,4-2-3-1,"Otremba, Cygankov, Klecha, Tüysüz, Wilhelm, Zoungrana, Bushaj, Ouédraogo, Sivaci, Haney, Sunday","Gündogdu, Aslan, Heerdt, Yildirim, Bourakkadi"
