Spieltag,Heim,Auswärts,H_tore,A_tore
34,1. FC Wilmersdorf,VfB Fortuna Biesdorf,NA,NA
34,TSV Mariendorf 1897,SSC Südwest 1947,NA,NA
34,Sp.Vg. Blau Weiß 1890 Berlin,VSG Altglienicke II,NA,NA
34,SFC Stern 1900,Polar Pinguin Berlin,NA,NA
34,SC Charlottenburg,FSV Spandauer Kickers,NA,NA
34,Füchse Berlin,TSV Rudow Berlin,NA,NA
34,SV Empor Berlin,erlin Türkspor,NA,NA
34,Berliner SC,SC Staaken,NA,NA
34,Frohnauer SC,SV BW Hohen Neuendorf,NA,NA
33,SFC Stern 1900,Füchse Berlin,NA,NA
33,SV BW Hohen Neuendorf,VSG Altglienicke II,NA,NA
33,erlin Türkspor,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
33,FSV Spandauer Kickers,SV Empor Berlin,NA,NA
33,SC Staaken,VfB Fortuna Biesdorf,NA,NA
33,1. FC Wilmersdorf,SC Charlottenburg,NA,NA
33,SSC Südwest 1947,Frohnauer SC,NA,NA
33,TSV Rudow Berlin,Berliner SC,NA,NA
33,Polar Pinguin Berlin,TSV Mariendorf 1897,NA,NA
32,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,NA,NA
32,SV BW Hohen Neuendorf,1. FC Wilmersdorf,NA,NA
32,SV Empor Berlin,Polar Pinguin Berlin,NA,NA
32,Berliner SC,FSV Spandauer Kickers,NA,NA
32,Frohnauer SC,TSV Rudow Berlin,NA,NA
32,VfB Fortuna Biesdorf,erlin Türkspor,NA,NA
32,VSG Altglienicke II,SC Staaken,NA,NA
32,Füchse Berlin,SC Charlottenburg,NA,NA
32,TSV Mariendorf 1897,SFC Stern 1900,NA,NA
31,Berliner SC,SSC Südwest 1947,NA,NA
31,VSG Altglienicke II,1. FC Wilmersdorf,NA,NA
31,SV Empor Berlin,TSV Rudow Berlin,NA,NA
31,Frohnauer SC,erlin Türkspor,NA,NA
31,SC Charlottenburg,SFC Stern 1900,NA,NA
31,TSV Mariendorf 1897,FSV Spandauer Kickers,NA,NA
31,VfB Fortuna Biesdorf,SV BW Hohen Neuendorf,NA,NA
31,Füchse Berlin,Polar Pinguin Berlin,NA,NA
31,Sp.Vg. Blau Weiß 1890 Berlin,SC Staaken,NA,NA
30,SFC Stern 1900,SV Empor Berlin,NA,NA
30,TSV Rudow Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
30,FSV Spandauer Kickers,Frohnauer SC,NA,NA
30,Polar Pinguin Berlin,Berliner SC,NA,NA
30,SC Charlottenburg,TSV Mariendorf 1897,NA,NA
30,1. FC Wilmersdorf,Füchse Berlin,NA,NA
30,SC Staaken,SV BW Hohen Neuendorf,NA,NA
30,erlin Türkspor,VSG Altglienicke II,NA,NA
30,SSC Südwest 1947,VfB Fortuna Biesdorf,NA,NA
29,Polar Pinguin Berlin,1. FC Wilmersdorf,NA,NA
29,SSC Südwest 1947,Füchse Berlin,NA,NA
29,TSV Rudow Berlin,SC Charlottenburg,NA,NA
29,VfB Fortuna Biesdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
29,FSV Spandauer Kickers,SFC Stern 1900,NA,NA
29,SC Staaken,SV Empor Berlin,NA,NA
29,VSG Altglienicke II,Frohnauer SC,NA,NA
29,SV BW Hohen Neuendorf,Berliner SC,NA,NA
29,erlin Türkspor,TSV Mariendorf 1897,NA,NA
28,SC Charlottenburg,SSC Südwest 1947,NA,NA
28,SFC Stern 1900,TSV Rudow Berlin,NA,NA
28,Füchse Berlin,erlin Türkspor,NA,NA
28,Berliner SC,VSG Altglienicke II,NA,NA
28,Frohnauer SC,VfB Fortuna Biesdorf,NA,NA
28,1. FC Wilmersdorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
28,Polar Pinguin Berlin,FSV Spandauer Kickers,NA,NA
28,SV Empor Berlin,SV BW Hohen Neuendorf,NA,NA
28,TSV Mariendorf 1897,SC Staaken,NA,NA
27,erlin Türkspor,SC Charlottenburg,NA,NA
27,FSV Spandauer Kickers,1. FC Wilmersdorf,NA,NA
27,SC Staaken,Füchse Berlin,NA,NA
27,SSC Südwest 1947,SFC Stern 1900,NA,NA
27,VSG Altglienicke II,SV Empor Berlin,NA,NA
27,Sp.Vg. Blau Weiß 1890 Berlin,Frohnauer SC,NA,NA
27,VfB Fortuna Biesdorf,Berliner SC,NA,NA
27,TSV Rudow Berlin,Polar Pinguin Berlin,NA,NA
27,SV BW Hohen Neuendorf,TSV Mariendorf 1897,NA,NA
26,Polar Pinguin Berlin,SSC Südwest 1947,NA,NA
26,FSV Spandauer Kickers,TSV Rudow Berlin,NA,NA
26,SFC Stern 1900,erlin Türkspor,NA,NA
26,Berliner SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
26,TSV Mariendorf 1897,VSG Altglienicke II,NA,NA
26,SV Empor Berlin,VfB Fortuna Biesdorf,NA,NA
26,1. FC Wilmersdorf,Frohnauer SC,NA,NA
26,Füchse Berlin,SV BW Hohen Neuendorf,NA,NA
26,SC Charlottenburg,SC Staaken,NA,NA
25,SFC Stern 1900,1. FC Wilmersdorf,NA,NA
25,FSV Spandauer Kickers,Füchse Berlin,NA,NA
25,Polar Pinguin Berlin,SC Charlottenburg,NA,NA
25,SV BW Hohen Neuendorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
25,SSC Südwest 1947,SV Empor Berlin,NA,NA
25,VSG Altglienicke II,VfB Fortuna Biesdorf,NA,NA
25,SC Staaken,Frohnauer SC,NA,NA
25,erlin Türkspor,Berliner SC,NA,NA
25,TSV Rudow Berlin,TSV Mariendorf 1897,NA,NA
24,VSG Altglienicke II,SSC Südwest 1947,NA,NA
24,SC Staaken,1. FC Wilmersdorf,NA,NA
24,VfB Fortuna Biesdorf,TSV Rudow Berlin,NA,NA
24,SV BW Hohen Neuendorf,erlin Türkspor,NA,NA
24,TSV Mariendorf 1897,Füchse Berlin,NA,NA
24,Berliner SC,SFC Stern 1900,NA,NA
24,Sp.Vg. Blau Weiß 1890 Berlin,FSV Spandauer Kickers,NA,NA
24,SV Empor Berlin,SC Charlottenburg,NA,NA
24,Frohnauer SC,Polar Pinguin Berlin,NA,NA
23,TSV Rudow Berlin,1. FC Wilmersdorf,NA,NA
23,VSG Altglienicke II,Füchse Berlin,NA,NA
23,SC Staaken,SFC Stern 1900,NA,NA
23,Sp.Vg. Blau Weiß 1890 Berlin,SV Empor Berlin,NA,NA
23,SSC Südwest 1947,FSV Spandauer Kickers,NA,NA
23,SV BW Hohen Neuendorf,SC Charlottenburg,NA,NA
23,Frohnauer SC,Berliner SC,NA,NA
23,erlin Türkspor,Polar Pinguin Berlin,NA,NA
23,VfB Fortuna Biesdorf,TSV Mariendorf 1897,NA,NA
22,TSV Rudow Berlin,SSC Südwest 1947,NA,NA
22,FSV Spandauer Kickers,erlin Türkspor,NA,NA
22,SC Charlottenburg,VSG Altglienicke II,NA,NA
22,Füchse Berlin,VfB Fortuna Biesdorf,NA,NA
22,TSV Mariendorf 1897,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
22,SFC Stern 1900,SV BW Hohen Neuendorf,NA,NA
22,SV Empor Berlin,Frohnauer SC,NA,NA
22,1. FC Wilmersdorf,Berliner SC,NA,NA
22,Polar Pinguin Berlin,SC Staaken,NA,NA
21,SSC Südwest 1947,1. FC Wilmersdorf,NA,NA
21,erlin Türkspor,TSV Rudow Berlin,NA,NA
21,Sp.Vg. Blau Weiß 1890 Berlin,Füchse Berlin,NA,NA
21,VfB Fortuna Biesdorf,SC Charlottenburg,NA,NA
21,VSG Altglienicke II,SFC Stern 1900,NA,NA
21,Berliner SC,SV Empor Berlin,NA,NA
21,SC Staaken,FSV Spandauer Kickers,NA,NA
21,SV BW Hohen Neuendorf,Polar Pinguin Berlin,NA,NA
21,Frohnauer SC,TSV Mariendorf 1897,NA,NA
20,SSC Südwest 1947,erlin Türkspor,NA,NA
20,SC Charlottenburg,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
20,Polar Pinguin Berlin,VSG Altglienicke II,NA,NA
20,SFC Stern 1900,VfB Fortuna Biesdorf,NA,NA
20,1. FC Wilmersdorf,SV Empor Berlin,NA,NA
