Rank,Team,Name,Nr,Pos,Spiele,Tore
95,SC Staaken,Benjamin Stein,11,RM,5,1
96,Berliner SC,Max-Fabian Wölker,18,NA,2,0
97,Berliner SC,Jonas Wortmann,0,NA,0,0
98,Berliner SC,Lion Schumann,10,RM,4,0
99,Berliner SC,Nathanel Osaroboh Simon,24,LV,1,0
100,Berliner SC,Kota Murakami,0,NA,0,0
101,Berliner SC,Lleyton-Benjamin Baensch,NA,NA,1,0
102,Berliner SC,Luis-Raymond Bossard,11,RV,5,0
103,Berliner SC,Tom Köster,1,TW,5,0
104,Berliner SC,Bara Abu Hamid,0,NA,0,0
105,Berliner SC,Jeff Nnaemeka-Chukwurah,15,ZDM,5,0
106,Berliner SC,Ermal Thaci,21,NA,0,0
107,Berliner SC,Ali Hammoud,28,NA,0,0
108,Berliner SC,Lucky Ugbogbo,20,LM,4,0
109,Berliner SC,Fabian Niedenhoff,23,NA,1,0
110,Berliner SC,Vincent Spiegel,15,LV,3,0
111,Berliner SC,Eric Ekandille,22,RM,5,0
112,Berliner SC,Immanuel Neunteufel,0,NA,0,0
113,Berliner SC,Konstantin Joseski,0,NA,0,0
114,Berliner SC,Nico Pellatz,0,NA,0,0
115,Berliner SC,Oktay Öztürk,6,IV,5,0
116,Berliner SC,Benjamin Trojahn,16,LV,4,0
117,Berliner SC,Hossein Jafari,27,NA,4,0
118,VSG Altglienicke II,Fabian Busch,18,LV,4,0
119,VSG Altglienicke II,Benevito Laske,0,NA,0,0
120,VSG Altglienicke II,Kerim Sarikaya,0,NA,0,0
121,VSG Altglienicke II,Caleb Osarenren,0,NA,1,0
122,VSG Altglienicke II,Ben Wagner,0,NA,0,0
123,VSG Altglienicke II,Brad Loick San Tsaffo,NA,NA,1,0
124,VSG Altglienicke II,Kakeru Fukuda,0,NA,0,0
125,VSG Altglienicke II,Lelio Losse,22,NA,3,0
126,VSG Altglienicke II,Niclas Senst,20,ZM,4,0
127,VSG Altglienicke II,Jonas Elbrecht,0,NA,0,0
128,VSG Altglienicke II,Maddox Niebergall,0,NA,0,0
129,VSG Altglienicke II,Levin Stein,0,RM,0,0
130,VSG Altglienicke II,Serhan Atici,16,NA,2,0
131,VSG Altglienicke II,Baran Sahin,NA,NA,1,0
132,VSG Altglienicke II,Raphael Damjanovic,0,NA,0,0
133,VSG Altglienicke II,Mario Peche Morote,0,NA,0,0
134,VSG Altglienicke II,Alexander Kutrieb,34,ZM,3,0
135,VSG Altglienicke II,Ibrahim Tareq Ibrahim El Taib,14,NA,4,0
136,VSG Altglienicke II,Krystian Kanzy,0,NA,0,0
137,VSG Altglienicke II,Saleh Kassem,1,TW,3,0
138,VSG Altglienicke II,Devin Lieberam,13,LM,4,0
139,VSG Altglienicke II,Malik Liao,NA,NA,1,0
140,VSG Altglienicke II,Mohammed Daniel Fayoumi,17,LM,4,0
141,VSG Altglienicke II,Mario Schenkel,26,RM,3,0
142,VSG Altglienicke II,Jan Latzel,4,IV,4,0
143,VSG Altglienicke II,Benito-Tyler Fritzsche,0,NA,0,0
144,VSG Altglienicke II,Alexander Noß,0,NA,0,0
145,Polar Pinguin Berlin,Johann Eisenberg,0,NA,0,0
146,Polar Pinguin Berlin,Paul Pantke,0,NA,0,0
147,Polar Pinguin Berlin,Shaikh Derman,17,NA,3,0
148,Polar Pinguin Berlin,Jona Hardt,31,IV,5,0
149,Polar Pinguin Berlin,Giordano Siewe,0,NA,0,0
150,Polar Pinguin Berlin,Malte Riebel,27,NA,3,0
151,Polar Pinguin Berlin,Nicolas Marley Alexander Koch,0,NA,3,0
152,Polar Pinguin Berlin,Omidoullah Sarwari,0,NA,0,0
153,Polar Pinguin Berlin,Joschua Schanda,0,NA,3,0
154,Polar Pinguin Berlin,Jacques Kahra,5,IV,5,0
155,Polar Pinguin Berlin,Ekrem Erbilgin,1,TW,2,0
156,Polar Pinguin Berlin,Qais Faizi,7,NA,2,0
157,Polar Pinguin Berlin,Keyan Kaplan,20,NA,5,0
158,Polar Pinguin Berlin,Nelson Culubali,24,RV,1,0
159,Polar Pinguin Berlin,Mohamed Tahiri Mizani,23,NA,2,0
160,Polar Pinguin Berlin,Nicolai Matt,0,NA,3,0
161,Polar Pinguin Berlin,Simon Falke,0,NA,0,0
162,Polar Pinguin Berlin,Martin Kemter,0,NA,0,0
163,Polar Pinguin Berlin,Lennard Broll,18,ZM,3,0
164,Polar Pinguin Berlin,Lukas Fechner,0,NA,2,0
165,Polar Pinguin Berlin,Arda Dülek,0,NA,0,0
166,Polar Pinguin Berlin,Karim Yehia,0,NA,0,0
167,Polar Pinguin Berlin,Gino Hofmeister,0,NA,0,0
168,Polar Pinguin Berlin,Philippe Riviere,0,NA,0,0
169,Polar Pinguin Berlin,Kilian Pruschke,0,NA,2,0
170,Polar Pinguin Berlin,Arne Schüler,0,NA,1,0
171,Polar Pinguin Berlin,Finn Johan Will,8,RM,5,0
172,Polar Pinguin Berlin,Sören Zeidler,13,NA,3,0
173,Polar Pinguin Berlin,Adam Idriss Ouattara,3,IV,3,0
174,Polar Pinguin Berlin,Konrad Clemens Emil Ladendorf,0,NA,0,0
175,Polar Pinguin Berlin,Mohamed Mahawech,36,NA,1,0
176,Sp.Vg. Blau Weiß 1890 Berlin,Jonathan Maurer,8,NA,3,0
177,Sp.Vg. Blau Weiß 1890 Berlin,Niklas Struck,0,LM,1,0
178,Sp.Vg. Blau Weiß 1890 Berlin,Glodi Danila-Doda Zingu,25,IV,4,0
179,Sp.Vg. Blau Weiß 1890 Berlin,Gentonis Ademaj,0,NA,0,0
180,Sp.Vg. Blau Weiß 1890 Berlin,Furkan Kemer,0,NA,0,0
181,Sp.Vg. Blau Weiß 1890 Berlin,Ahmed Omairat,0,NA,0,0
182,Sp.Vg. Blau Weiß 1890 Berlin,Emre Rosin,0,ST,2,0
183,Sp.Vg. Blau Weiß 1890 Berlin,Niklas Wiebach,17,LV,3,0
184,Sp.Vg. Blau Weiß 1890 Berlin,Kaim Kaya,1,NA,0,0
185,Sp.Vg. Blau Weiß 1890 Berlin,Nireas Igkmpinompa,34,ZDM,4,0
186,Sp.Vg. Blau Weiß 1890 Berlin,Mert-Zihni Tuncer,0,NA,1,0
187,Sp.Vg. Blau Weiß 1890 Berlin,Oleksandr Kuz,0,NA,0,0
188,Sp.Vg. Blau Weiß 1890 Berlin,Alexander Todorov,14,NA,3,0
189,Sp.Vg. Blau Weiß 1890 Berlin,Michael Hinz,30,TW,4,0
190,Sp.Vg. Blau Weiß 1890 Berlin,Philip Schulz,0,ZOM,2,0
191,Sp.Vg. Blau Weiß 1890 Berlin,Gelicio Aurelio Banze,27,IV,5,0
192,Sp.Vg. Blau Weiß 1890 Berlin,Maurice Froelian,0,RV,1,0
193,Sp.Vg. Blau Weiß 1890 Berlin,Tim Grabow,7,LM,3,0
194,Sp.Vg. Blau Weiß 1890 Berlin,Neil-Nigel Bier,0,NA,0,0
195,Sp.Vg. Blau Weiß 1890 Berlin,Marcel Rausch,19,ZDM,5,0
196,Sp.Vg. Blau Weiß 1890 Berlin,Mike Brömer,9,ST,4,0
197,Sp.Vg. Blau Weiß 1890 Berlin,Simon Schrade,0,LV,3,0
198,Sp.Vg. Blau Weiß 1890 Berlin,Mohamed Saloun Touré,22,RM,4,0
199,Sp.Vg. Blau Weiß 1890 Berlin,Fabian Engel,55,ZDM,2,0
200,Sp.Vg. Blau Weiß 1890 Berlin,Lionel Salla,3,LV,4,0
201,Sp.Vg. Blau Weiß 1890 Berlin,Justin Maple,0,TW,1,0
202,Sp.Vg. Blau Weiß 1890 Berlin,Marcel Steiner,0,NA,0,0
203,TSV Rudow Berlin,Dominik Thonfeld,14,NA,4,0
204,TSV Rudow Berlin,Fabian Fritsche,5,ZDM,3,0
205,TSV Rudow Berlin,Omid Saberdest,18,NA,3,0
206,TSV Rudow Berlin,Ali Iraqui,11,NA,4,0
207,TSV Rudow Berlin,Jonas Becker,0,NA,0,0
208,TSV Rudow Berlin,Elias Burda,0,IV,3,0
209,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,NA,2,0
210,TSV Rudow Berlin,Abdullah Bayram,21,IV,4,0
