Rank,Team,Name,Nr,Pos,Spiele,Tore
415,FSV Spandauer Kickers,John Fritsche,NA,ZDM,0,0
416,FSV Spandauer Kickers,Matti Kittler,0,NA,0,0
417,FSV Spandauer Kickers,Luca Pomorin,0,NA,0,0
418,FSV Spandauer Kickers,Gino Krumnow,0,NA,0,0
419,FSV Spandauer Kickers,Fabian Senninger,17,ZDM,5,0
420,FSV Spandauer Kickers,Julian Mosni,0,NA,0,0
421,FSV Spandauer Kickers,Dominik Dampke,3,NA,0,0
422,FSV Spandauer Kickers,Steffen Sawallich,70,NA,5,0
423,FSV Spandauer Kickers,Samuel Agyei-Yeboah,8,ST,5,0
424,FSV Spandauer Kickers,David Gezer,0,NA,3,0
425,FSV Spandauer Kickers,Nils Gardeike,23,TW,5,0
426,FSV Spandauer Kickers,Klaus Oldorff,0,LM,3,0
427,SFC Stern 1900,Nico Samuel Wobeser,14,IV,5,0
428,SFC Stern 1900,Cihan Caliskan,1,NA,0,0
429,SFC Stern 1900,Omar Hajjaj,19,ZDM,3,0
430,SFC Stern 1900,Jörn Reher,0,NA,0,0
431,SFC Stern 1900,Ibrahim Kalil Keita,16,RM,4,0
432,SFC Stern 1900,Colin Drost,22,ZDM,2,0
433,SFC Stern 1900,Mik Dankou,0,NA,0,0
434,SFC Stern 1900,Nikolas Dickersbach,12,TW,5,0
435,SFC Stern 1900,Ali Elmahdawi,8,NA,1,0
436,SFC Stern 1900,Nizar Jouini,0,NA,1,0
437,SFC Stern 1900,Elias Fürstenau,1,NA,0,0
438,SFC Stern 1900,Alagie Peterson Jobe,0,IV,1,0
439,SFC Stern 1900,Mert Torun,0,RM,2,0
440,SFC Stern 1900,Ali Shaarawy,23,LM,2,0
441,SFC Stern 1900,Darron Adamou,0,NA,2,0
442,SFC Stern 1900,Leon Krost,3,RV,4,0
443,SFC Stern 1900,Lukas Rohana,6,ZDM,3,0
444,SFC Stern 1900,Tim Schönfuß-Hahm,5,IV,4,0
445,SFC Stern 1900,Marvin Özdal,0,RV,1,0
446,SFC Stern 1900,Eddie Udeoka,55,LV,5,0
447,SFC Stern 1900,Julian Hartmann,4,IV,5,0
448,SFC Stern 1900,Can Kilian Cakin,10,ST,3,0
449,Füchse Berlin,Yannick Wilhelm,9,LV,3,0
450,Füchse Berlin,Nils Lox,20,TW,1,0
451,Füchse Berlin,Maximilian Dreger,0,NA,0,0
452,Füchse Berlin,Kevin Otremba,1,TW,3,0
453,Füchse Berlin,Maxim Cygankov,0,RV,1,0
454,Füchse Berlin,Karim Naziru Zoungrana,15,ZDM,4,0
455,Füchse Berlin,Can Türker,0,NA,0,0
456,Füchse Berlin,Bekir Gündogdu,16,RV,2,0
457,Füchse Berlin,Raven Rabiega,11,NA,2,0
458,Füchse Berlin,Cengizhan Haney,26,LM,3,0
459,Füchse Berlin,Lamine Ouedraogo,19,NA,4,0
460,Füchse Berlin,Salem Bourakkadi,33,LM,4,0
461,Füchse Berlin,Niklas Armbrecht,0,NA,0,0
462,Füchse Berlin,Pedro Henrique Heerdt,21,NA,4,0
463,Füchse Berlin,Pelal Eliraqui,0,NA,1,0
464,Füchse Berlin,Thomas Brechler,31,NA,2,0
465,Füchse Berlin,Artem Cygankov,7,RV,3,0
466,Füchse Berlin,Kevin Zecha,0,NA,0,0
467,Füchse Berlin,Emre-Mert Aslan,0,ZDM,3,0
468,Füchse Berlin,Dominik Klecha,4,IV,3,0
469,1. FC Wilmersdorf,Otmar Baumann,2,IV,1,0
470,1. FC Wilmersdorf,Arthur Langhammer,9,ZDM,4,0
471,1. FC Wilmersdorf,Baran Akpinar,11,RV,4,0
472,1. FC Wilmersdorf,Maurice Miguel Noel Opfermann Arcones,0,NA,0,0
473,1. FC Wilmersdorf,Yousef El-Meguid,12,ZOM,4,0
474,1. FC Wilmersdorf,Rodrigo Flores Kaya,29,NA,5,0
475,1. FC Wilmersdorf,Jan Hendrik Kuschke,0,NA,0,0
476,1. FC Wilmersdorf,Rhami Ghandour,2,NA,2,0
477,1. FC Wilmersdorf,Robin Loch,5,IV,4,0
478,1. FC Wilmersdorf,Mackawy Eltahir,0,NA,0,0
479,1. FC Wilmersdorf,Vincent Falk,0,IV,0,0
480,1. FC Wilmersdorf,Serkan Akyol,10,ZM,5,0
481,1. FC Wilmersdorf,Nelson Okech,7,RM,3,0
482,1. FC Wilmersdorf,Apollo Immanuel Döhl,13,NA,1,0
483,1. FC Wilmersdorf,Can Voigt,NA,ZDM,3,0
484,1. FC Wilmersdorf,Marco Karim Benyamina,NA,ST,2,0
485,1. FC Wilmersdorf,Joel Samake,1,TW,5,0
486,1. FC Wilmersdorf,Jan Ilskens,26,NA,3,0
487,1. FC Wilmersdorf,Max Ilskens,0,NA,0,0
488,1. FC Wilmersdorf,Jonas Techie-Menson,28,LV,3,0
489,1. FC Wilmersdorf,Enes Aydin,31,IV,5,0
490,1. FC Wilmersdorf,Valentin Henneke,17,IV,5,0
491,1. FC Wilmersdorf,Hamza Dabanoglu,0,NA,0,0
492,SV BW Hohen Neuendorf,Tim Marscheider,0,NA,0,0
493,SV BW Hohen Neuendorf,Niklas Lehmann,0,RV,0,0
494,SV BW Hohen Neuendorf,Matteo Münzberg,0,NA,0,0
495,SV BW Hohen Neuendorf,Dag Rüdiger,31,RV,3,0
496,SV BW Hohen Neuendorf,Yeri Said Schock Negrete,4,NA,5,0
497,SV BW Hohen Neuendorf,Yorick Otte,22,NA,0,0
498,SV BW Hohen Neuendorf,Lucas Diels,0,IV,3,0
499,SV BW Hohen Neuendorf,Kubilay Dündar,0,NA,3,0
500,SV BW Hohen Neuendorf,Leon Draski,8,NA,3,0
501,SV BW Hohen Neuendorf,Tarik Housein,0,NA,0,0
502,SV BW Hohen Neuendorf,Patrik Schremf,0,NA,0,0
503,SV BW Hohen Neuendorf,Marvin Schipper,0,NA,0,0
504,SV BW Hohen Neuendorf,Tobias Liebig,0,NA,0,0
505,SV BW Hohen Neuendorf,Edgar Lange,3,ZM,5,0
506,SV BW Hohen Neuendorf,Jannes Lendner,6,ZM,5,0
507,SV BW Hohen Neuendorf,Berken Sevim,0,NA,0,0
508,SV BW Hohen Neuendorf,Felix Vogt,11,NA,5,0
509,SV BW Hohen Neuendorf,Jeremy Domke,18,IV,5,0
510,SV BW Hohen Neuendorf,Mika Strobel,0,NA,0,0
511,SV BW Hohen Neuendorf,Xaver Witczak,0,NA,0,0
512,SV BW Hohen Neuendorf,Marlon Klebow,0,NA,0,0
513,SV BW Hohen Neuendorf,Dennis Pagel,0,NA,0,0
514,SV BW Hohen Neuendorf,Ron Günther,0,RM,0,0
515,SV BW Hohen Neuendorf,Noe-Samuel Bacanu,7,NA,4,0
516,SV BW Hohen Neuendorf,Sebastian Maronde,0,NA,0,0
517,SV BW Hohen Neuendorf,Norman Anton,0,NA,0,0
518,SV BW Hohen Neuendorf,Timo Kopmann,1,TW,5,0
519,SV BW Hohen Neuendorf,Julian Butt,0,NA,3,0
520,SV BW Hohen Neuendorf,Robin Sankowsky,0,NA,0,0
521,SV BW Hohen Neuendorf,Kevin Ghaderi,15,NA,0,0
522,SV BW Hohen Neuendorf,Thomas Stoltz,21,IV,4,0
523,SC Staaken,Avni Kablan,0,NA,2,0
524,SC Staaken,Philippe Daniel Tchienguin Touko,NA,RM,2,0
525,SC Staaken,Nassim Badran,0,NA,0,0
526,SC Staaken,Firas El Dayekh,13,NA,5,0
527,SC Staaken,Daniel Tutzschke,12,ZDM,5,0
528,SC Staaken,Fabio Hackbarth,16,IV,3,0
529,SC Staaken,Jannik Jantzen,27,LM,4,0
530,SC Staaken,Florian Jaekel,0,NA,0,0
531,SC Staaken,Jakob Lummert,0,NA,0,0
532,SC Staaken,Pascal Uhl,0,NA,0,0
533,SC Staaken,Benjamin Sperling,NA,NA,1,0
534,SC Staaken,Azad Cinar,0,ZOM,0,0
535,SC Staaken,Jan Heumer,5,NA,2,0
536,SC Staaken,Linus Hechtfisch,26,NA,0,0
537,SC Staaken,Justin Hoffmeister,0,NA,0,0
538,SC Staaken,Leon Diezemann,NA,NA,1,0
539,SC Staaken,Mohammed Younes,23,LV,2,0
540,SC Staaken,Max Anton Oberbach,1,TW,5,0
541,SC Staaken,Florian Thamm,0,NA,0,0
542,SC Staaken,Nico Moretti,0,NA,3,0
543,SC Staaken,Emircan Celik,NA,IV,1,0
544,SC Staaken,Finn Walter,7,LM,4,0
545,SC Staaken,Karim Abdel Hamid,22,NA,5,0
546,SC Staaken,Gabrel Bilson,NA,NA,0,0
547,SC Staaken,Frank Olushi Edu,NA,NA,0,0
548,SC Staaken,Mohamed-Amin Ouahabi,NA,NA,0,0
549,SC Staaken,David Koschnik,NA,LV,1,0
550,SC Staaken,Efraim Koku Gakpeto,9,ST,5,0
551,SC Staaken,Deniz Aksakal,17,IV,3,0
552,SC Staaken,Tim Lampert,2,IV,4,0
553,SC Staaken,Sinan Ufak,8,ZDM,5,0
