Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
182,VSG Altglienicke II,5,Steve Klamkowski,IV,120,0.6666666666666666,0.667,0.5,0,0.5,0.52
183,Polar Pinguin Berlin,3,Adam Idriss Ouattara,IV,221,1,0.819,0.111,0,0,0.52
184,TSV Rudow Berlin,23,Merdan Baba,ST,242,1,0.896,0,0,0,0.52
185,SFC Stern 1900,7,Jordan Thurau,LM,113,1,0.419,0.444,0.25,0,0.52
186,1. FC Wilmersdorf,22,Mohammed Izal,LM,204,1,0.756,0.167,0,0,0.52
187,Polar Pinguin Berlin,0,Nicolai Matt,NA,180,0.6666666666666666,1,0.167,0,0,0.51
188,TSV Rudow Berlin,11,Ali Iraqui,NA,232,1,0.859,0,0,0,0.51
189,VfB Fortuna Biesdorf,3,Miguel Hartwig,IV,180,0.6666666666666666,1,0.167,0,0,0.51
190,SSC Südwest 1947,5,Martin Olivier Kascha,ST,161,1,0.596,0.333,0,0,0.51
191,TSV Mariendorf 1897,8,Wesa Den Araujo Van-Dunem,NA,140,1,0.519,0.333,0.167,0,0.51
192,1. FC Wilmersdorf,NA,Marco Karim Benyamina,ST,180,0.6666666666666666,1,0.167,0,0,0.51
193,SC Staaken,2,Tim Lampert,IV,180,0.6666666666666666,1,0.167,0,0,0.51
194,VfB Fortuna Biesdorf,21,Darvin Schramm,IV,186,1,0.689,0.167,0,0,0.5
195,VfB Fortuna Biesdorf,23,Ole Eric Petschner,ZM,185,1,0.685,0.167,0,0,0.5
196,SSC Südwest 1947,18,Jeldrik Greiner,NA,224,1,0.83,0,0,0,0.5
197,SSC Südwest 1947,0,James-Patrick Weiß,ST,125,0.6666666666666666,0.694,0.5,0,0,0.5
198,SV Empor Berlin,7,Jason Kofi Appiah,RM,179,1,0.663,0.111,0.167,0,0.5
199,FSV Spandauer Kickers,70,Steffen Sawallich,NA,51,1,0.189,0.778,0,0,0.5
200,SC Staaken,9,Efraim Koku Gakpeto,ST,158,0.6666666666666666,0.878,0.167,0,0.5,0.5
201,VSG Altglienicke II,14,Ibrahim Tareq Ibrahim El Taib,NA,119,0.6666666666666666,0.661,0.5,0,0,0.49
