Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
25,erlin Türkspor,37,Sefa Kahraman,IV,259,1,0.959,0.667,0.111,0.333,0.74
26,Frohnauer SC,8,Nando Hofmann,IV,201,1,0.744,1,0,0.333,0.74
27,FSV Spandauer Kickers,0,Klaus Oldorff,RM,180,0.6666666666666666,1,1,0,0.5,0.74
28,SV BW Hohen Neuendorf,30,Nick Przesang,NA,167,1,0.619,1,0.333,0,0.74
29,Berliner SC,15,Jeff Nnaemeka-Chukwurah,ZDM,270,1,1,0.667,0,0.333,0.73
30,Sp.Vg. Blau Weiß 1890 Berlin,27,Gelicio Aurelio Banze,IV,270,1,1,0.667,0,0.333,0.73
31,Sp.Vg. Blau Weiß 1890 Berlin,19,Marcel Rausch,ZDM,238,1,0.881,0.667,0.125,0.667,0.73
32,erlin Türkspor,2,Panagiotis Vassiliadis,RV,270,1,1,0.667,0.111,0,0.73
33,Frohnauer SC,27,Erik Hollnagel,ZDM,191,1,0.707,1,0,0.333,0.73
34,FSV Spandauer Kickers,10,Vincent Kuckei,ZOM,255,1,0.944,0.778,0,0,0.73
35,FSV Spandauer Kickers,17,Fabian Senninger,ZDM,243,1,0.9,0.778,0,0.333,0.73
36,SV BW Hohen Neuendorf,3,Edgar Lange,ZM,207,1,0.767,1,0,0,0.73
37,Berliner SC,17,Justin Maximilian Neumann,ZM,270,1,1,0.444,0.25,0.333,0.72
38,VSG Altglienicke II,10,Moritz Tomczak,ST,180,0.6666666666666666,1,0.5,0.667,0.5,0.72
39,Sp.Vg. Blau Weiß 1890 Berlin,9,Mike Brömer,ST,270,1,1,0.667,0,0,0.72
40,Füchse Berlin,8,Kaan Tüysüz,IV,270,1,1,0.667,0,0,0.72
41,Füchse Berlin,7,Artem Cygankov,RV,270,1,1,0.667,0,0,0.72
42,SV BW Hohen Neuendorf,10,Martin Urbanski,NA,180,0.6666666666666666,1,1,0,0,0.72
43,Sp.Vg. Blau Weiß 1890 Berlin,11,Darryl Julian Geurts,LM,209,1,0.774,0.667,0.375,0,0.71
44,SSC Südwest 1947,8,Philipp Olsowski,ZDM,270,1,1,0.333,0.5,0,0.71
45,TSV Mariendorf 1897,0,Pascal Jan Wedemann,IV,90,0.3333333333333333,1,1,0.167,1,0.71
46,FSV Spandauer Kickers,0,Tugay Uzan,ST,140,0.6666666666666666,0.778,1,0.2,0.5,0.71
47,SFC Stern 1900,20,Oliver Gantzberg,ZOM,262,1,0.97,0.444,0.25,0.333,0.71
48,Berliner SC,11,Luis-Raymond Bossard,RV,270,1,1,0.444,0.25,0,0.7
49,TSV Mariendorf 1897,25,Mehmet-Can Senocak,ST,198,1,0.733,0.444,0.667,0.333,0.7
50,Frohnauer SC,9,Buba Ceesay,ST,128,0.6666666666666666,0.711,1,0.286,0.5,0.7
51,Frohnauer SC,4,Adrian Domke,LV,156,0.6666666666666666,0.867,1,0.143,0,0.7
52,Füchse Berlin,15,Karim Naziru Zoungrana,ZDM,259,1,0.959,0.667,0,0,0.7
53,SV BW Hohen Neuendorf,23,Jean-Marc Soine,ST,89,1,0.33,1,0.556,0.333,0.7
54,Berliner SC,1,Tom Köster,TW,270,1,1,0.444,0,0.667,0.69
55,erlin Türkspor,17,Jonas Mukuku Zola,ST,169,1,0.626,1,0,0,0.69
56,erlin Türkspor,11,Benjamin Heymann,LM,154,0.6666666666666666,0.856,1,0.111,0,0.69
57,Frohnauer SC,24,Maximilian Mundt,RM,155,1,0.574,1,0.143,0,0.69
58,SV Empor Berlin,9,Quentin Paul Albrecht,ST,270,1,1,0,0.833,0.333,0.69
59,SFC Stern 1900,3,Leon Krost,RV,270,1,1,0.444,0,0.667,0.69
60,Füchse Berlin,9,Yannick Wilhelm,LV,165,0.6666666666666666,0.917,1,0,0,0.69
61,SV BW Hohen Neuendorf,0,Lucas Diels,IV,149,0.6666666666666666,0.828,1,0,0.5,0.69
62,SV BW Hohen Neuendorf,8,Leon Draski,NA,153,0.6666666666666666,0.85,1,0.111,0,0.69
63,SV BW Hohen Neuendorf,13,Leandro Röttgen,LM,123,1,0.456,1,0.333,0,0.69
64,Berliner SC,2,Nikola Markovic,IV,270,1,1,0.444,0,0.333,0.68
65,Sp.Vg. Blau Weiß 1890 Berlin,4,Nils Köhne,IV,177,1,0.656,0.667,0.25,0.667,0.68
66,TSV Mariendorf 1897,22,Amat Chaw,TW,270,1,1,0.444,0,0.333,0.68
67,TSV Mariendorf 1897,18,Julian Austermann,IV,270,1,1,0.444,0,0.333,0.68
68,erlin Türkspor,25,Mapalo Korntreff,LM,258,1,0.956,0.5,0.111,0,0.68
69,Frohnauer SC,23,Tidjan Barnes,NA,143,1,0.53,1,0.143,0,0.68
70,SFC Stern 1900,21,Luca Rohr,ZDM,270,1,1,0.444,0,0.333,0.68
71,Füchse Berlin,19,Lamine Ouedraogo,NA,238,1,0.881,0.667,0,0,0.68
72,Frohnauer SC,22,Luis Seiffert,NA,137,1,0.507,1,0.143,0,0.67
73,SC Charlottenburg,30,Justin Seidel,TW,270,1,1,0.333,0,0.667,0.67
74,SC Charlottenburg,15,Adrian Droszczak,IV,269,1,0.996,0.333,0,0.667,0.67
75,Berliner SC,16,Benjamin Trojahn,LV,270,1,1,0.444,0,0,0.66
76,Sp.Vg. Blau Weiß 1890 Berlin,55,Fabian Engel,ZDM,87,0.3333333333333333,0.967,1,0.25,0,0.66
77,TSV Mariendorf 1897,30,Ali Mohammed Kasola,ZM,241,1,0.893,0.444,0,0.667,0.66
78,SFC Stern 1900,12,Nikolas Dickersbach,TW,270,1,1,0.444,0,0,0.66
79,Füchse Berlin,26,Cengizhan Haney,LM,198,1,0.733,0.667,0.167,0,0.66
80,Füchse Berlin,0,Bedirhan Sivaci,ZOM,197,1,0.73,0.667,0.167,0,0.66
81,SV BW Hohen Neuendorf,11,Felix Vogt,NA,143,1,0.53,1,0,0,0.66
82,Berliner SC,8,Leon Cheung,ZM,224,1,0.83,0.444,0.25,0,0.65
83,Sp.Vg. Blau Weiß 1890 Berlin,17,Niklas Wiebach,LV,214,1,0.793,0.667,0,0,0.65
84,SSC Südwest 1947,29,Lars Schoeneich,IV,269,1,0.996,0.333,0,0.333,0.65
85,SSC Südwest 1947,6,Til Schramm,IV,270,1,1,0.333,0,0.333,0.65
86,SC Charlottenburg,7,Marvin Michels,ZDM,270,1,1,0.333,0,0.333,0.65
87,FSV Spandauer Kickers,5,Florent Iseni,IV,168,1,0.622,0.778,0,0.333,0.65
88,SFC Stern 1900,11,Florian Medrane,RM,262,1,0.97,0.444,0,0,0.65
89,SV BW Hohen Neuendorf,6,Jannes Lendner,ZM,134,1,0.496,1,0,0,0.65
90,VSG Altglienicke II,6,Yousif El Sadani,NA,180,0.6666666666666666,1,0.5,0.333,0,0.64
91,SFC Stern 1900,55,Eddie Udeoka,LV,248,1,0.919,0.444,0,0,0.64
92,Polar Pinguin Berlin,8,Finn Johan Will,RM,270,1,1,0.111,0,1,0.63
93,Sp.Vg. Blau Weiß 1890 Berlin,3,Lionel Salla,LV,192,1,0.711,0.667,0,0,0.63
94,SSC Südwest 1947,22,Toni Stroehlke,TW,270,1,1,0.333,0,0,0.63
95,SSC Südwest 1947,9,Enes Oguz Timur Schick,RV,256,1,0.948,0.333,0,0.333,0.63
96,erlin Türkspor,23,Viktor Pokataiev,TW,90,0.3333333333333333,1,1,0,0,0.63
97,erlin Türkspor,7,Ahmad Rmieh,ZDM,176,0.6666666666666666,0.978,0.5,0.111,0.5,0.63
98,Frohnauer SC,6,Dominik Lindhammer,NA,117,1,0.433,1,0,0,0.63
99,SC Charlottenburg,16,Lasse Engelsing,RM,270,1,1,0.333,0,0,0.63
100,SC Charlottenburg,25,Marc Reichel,IV,270,1,1,0.333,0,0,0.63
101,SC Charlottenburg,10,Necmi Ulucay,ZOM,217,1,0.804,0.333,0.25,0.333,0.63
102,erlin Türkspor,0,Süleyman Kapan,ST,180,0.6666666666666666,1,0.5,0.222,0,0.62
103,Frohnauer SC,20,Philipp Walter,LM,110,1,0.407,1,0,0,0.62
104,SC Charlottenburg,27,Patrick Maykowski,RM,191,1,0.707,0.333,0.5,0,0.62
105,SFC Stern 1900,14,Nico Samuel Wobeser,IV,237,1,0.878,0.444,0,0,0.62
106,Füchse Berlin,23,Mirsad Bushaj,ZDM,109,0.6666666666666666,0.606,1,0.167,0,0.62
107,1. FC Wilmersdorf,1,Joel Samake,TW,270,1,1,0.222,0,0.333,0.62
108,Berliner SC,20,Lucky Ugbogbo,LM,193,1,0.715,0.444,0.25,0,0.61
109,TSV Rudow Berlin,10,Melih Hortum,ZOM,253,1,0.937,0,0.5,0,0.61
110,SSC Südwest 1947,16,Lukas Schulze,ZDM,233,1,0.863,0.333,0,0.333,0.61
111,TSV Mariendorf 1897,6,Erik-Paul Pfannschmidt,ZM,205,1,0.759,0.444,0.167,0,0.61
112,1. FC Wilmersdorf,31,Enes Aydin,IV,270,1,1,0.222,0,0,0.61
113,1. FC Wilmersdorf,17,Valentin Henneke,ZDM,270,1,1,0.222,0,0,0.61
114,Berliner SC,6,Oktay Öztürk,IV,211,1,0.781,0.444,0,0,0.6
115,VSG Altglienicke II,18,Fabian Busch,LV,180,0.6666666666666666,1,0.5,0,0,0.59
116,VSG Altglienicke II,1,Saleh Kassem,TW,180,0.6666666666666666,1,0.5,0,0,0.59
117,VSG Altglienicke II,26,Mario Schenkel,RM,180,0.6666666666666666,1,0.5,0,0,0.59
118,Polar Pinguin Berlin,31,Jona Hardt,IV,270,1,1,0.111,0,0.333,0.59
119,Sp.Vg. Blau Weiß 1890 Berlin,13,Guilherme Henrique Lopes De Oliveira,NA,257,1,0.952,0,0.375,0,0.59
120,Sp.Vg. Blau Weiß 1890 Berlin,0,Florian Kohls,ZM,71,0.3333333333333333,0.789,1,0.125,0,0.59
121,TSV Rudow Berlin,9,Matteo Günther,RM,270,1,1,0,0.25,0,0.59
122,VfB Fortuna Biesdorf,33,Maximilian Sangel,TW,270,1,1,0.167,0,0,0.59
