#,team,S,G,U,N,Tore,Dif,Pkt
1,Berliner SC II,3,3,0,0,7:1,6,9
2,SF Johannisthal,2,2,0,0,11:1,10,6
3,FC Internationale Berlin,2,2,0,0,11:2,9,6
4,Berlin Hilalspor,2,2,0,0,7:3,4,6
5,1.FC Schöneberg,2,1,0,1,8:7,1,3
6,BFC Preussen II,2,1,0,1,4:3,1,3
7,SV Empor Berlin II,2,1,0,1,4:3,1,3
8,Pfeffersport,2,1,0,1,3:4,-1,3
9,SC Berliner Amateure,2,1,0,1,3:4,-1,3
10,Friedenauer TSC,2,1,0,1,4:7,-3,3
11,SF Charlottenburg-Wilmersdorf 03,2,0,1,1,2:4,-2,1
12,SC Borsigwalde,1,0,0,1,0:2,-2,0
13,BSV 1892,2,0,0,2,3:8,-5,0
14,DJK Schwarz-Weiß Neukölln,2,0,0,2,0:5,-5,0
15,BSV Hürtürkel,2,0,0,2,3:9,-6,0
16,Berolina Mitte,2,0,0,2,1:7,-6,0
