ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
564117,Dustin Sik,SV Stern Britz 1889,13,3,0,0,1,0,0,0,1171,1,7,0.434,1.001,0.231,1,0.077,10,13,0,0.769,0.256,0.49,RM,ST,38%,31%
564129,Kevin Wesolek,Köpenicker FC,2,0,0,0,0,0,2,0,7,0,16,0.003,0.039,0,0,0,0,0,2,0,0,0.008,NA,NA,NA%,0%
564200,Yusuf Yildirim,SV Stern Britz 1889,1,0,0,1,0,0,1,0,34,0,NA,0.013,0.378,0,3,3,5,5,-4,1,0.333,1.212,ZDM,ZOM,200%,200%
565855,Tom Nischwitz,Köpenicker FC,15,0,0,0,0,0,7,2,798,0,5,0.296,0.591,0,1,0.067,7,8,7,0.875,0.292,0.402,IV,RV,40%,13%
568468,Gökhan Cevik,BSV Al-Dersimspor,1,0,0,0,0,0,1,0,15,0,NA,0.006,0.167,0,0,0,0,0,1,0,0,0.035,NA,NA,NA%,0%
569339,Jeffrey Kräft,SC Borsigwalde 1910,11,0,0,0,0,0,0,0,990,0,37,0.367,1,0,3,0.273,14,11,0,1.273,0.424,0.652,TW,NA,109%,0%
569509,Onurcan Üremis,BSV Al-Dersimspor,1,0,0,0,0,0,1,0,6,0,NA,0.002,0.067,0,0,0,0,0,1,0,0,0.014,NA,NA,NA%,0%
572496,Bartosz Palubski,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
573222,Philip Möhle,Köpenicker FC,16,1,0,0,0,0,2,8,1178,0,28,0.436,0.818,0.062,3,0.188,22,14,2,1.571,0.524,0.674,RV,ZM,44%,25%
577635,Aziz Ökten,BSV Al-Dersimspor,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
580589,Björn Röchert,VfB Concordia Britz 1916,9,1,0,0,0,0,2,0,701,0,30,0.26,0.865,0.111,1,0.111,0,7,2,0,0,0.258,IV,RV,44%,22%
581082,Sercan-Günay Seyyidoglu,BSV Al-Dersimspor,10,0,0,0,0,0,5,4,437,0,17,0.162,0.486,0,0,0,1,3,7,0.333,0.111,0.207,LM,ST,10%,10%
583232,Jerry Gase,VfB Concordia Britz 1916,22,3,2,0,0,0,3,10,1636,1,7,0.606,0.826,0.227,0,0,0,1,21,0,0,0.286,ST,NA,5%,0%
583233,Welton Pereira Dos Santos,BSV Al-Dersimspor,20,2,0,0,0,0,6,8,1188,1,94,0.44,0.66,0.1,0,0,0,0,20,0,0,0.22,NA,NA,NA%,0%
585335,Mücahid Kahraman,BSV Al-Dersimspor,20,1,1,0,0,0,6,12,1176,0,3,0.436,0.653,0.1,1,0.05,11,12,8,0.917,0.306,0.447,RV,RM,30%,15%
587395,Kerem Erman,SV Stern Britz 1889,1,0,0,0,0,0,1,0,16,0,NA,0.006,0.178,0,0,0,0,0,1,0,0,0.037,NA,NA,NA%,0%
587441,Karl Anker,Berliner SV 1892,24,0,0,0,0,0,8,11,1311,1,8,0.486,0.607,0,5,0.208,31,16,8,1.938,0.646,0.733,IV,RV,21%,21%
589040,Bahadir Katirci,BFC Meteor 06,6,0,0,0,0,0,6,0,58,0,7,0.021,0.107,0,0,0,0,0,6,0,0,0.026,NA,NA,NA%,0%
589529,Daniel Schneidawind,SV Empor Berlin II,3,2,0,0,0,0,0,1,259,0,13,0.096,0.959,0.667,0,0,3,3,0,1,0.333,0.444,IV,NA,100%,0%
589795,Noah Peter,Berliner SC II,13,1,0,1,0,0,2,2,989,1,12,0.366,0.845,0.077,6,0.462,10,11,2,0.909,0.303,0.593,ZM,ZDM,69%,15%
589922,Alexander Huse,Berliner SC II,16,0,1,0,0,0,9,7,462,0,13,0.171,0.321,0.062,0,0,7,7,9,1,0.333,0.332,ST,RM,38%,6%
591698,Antonio Ciao,SC Borsigwalde 1910,3,0,0,0,0,0,3,0,23,0,22,0.009,0.085,0,0,0,8,6,-3,1.333,0.444,0.33,ZDM,ZOM,67%,67%
603109,Yannic Behrendt,VfB Concordia Britz 1916,9,0,0,0,0,0,5,0,540,0,NA,0.2,0.667,0,1,0.111,6,5,4,1.2,0.4,0.487,IV,NA,56%,0%
609587,Mustafa Arslan,BSV Al-Dersimspor,6,0,0,0,0,0,0,0,540,1,1,0.2,1,0,1,0.167,9,6,0,1.5,0.5,0.64,TW,NA,83%,0%
609589,Ahmad Zahlan,BFC Meteor 06,26,0,2,10,0,0,0,12,2114,2,6,0.783,0.903,0.077,10,0.385,56,25,1,2.24,0.747,0.975,ZDM,ZM,50%,31%
610525,Antonio Boeddinghaus,FC Internationale Berlin 1980,15,2,0,0,0,0,3,1,1097,1,6,0.406,0.813,0.133,4,0.267,14,12,3,1.167,0.389,0.596,LV,IV,40%,33%
611139,Marc Anthony Weisse,SV Stern Britz 1889,1,0,0,0,0,0,0,1,84,0,NA,0.031,0.933,0,1,1,3,1,0,3,1,1.193,ZM,NA,100%,0%
611865,Nikita Charkov,Berliner SV 1892,21,5,0,0,1,0,3,6,1659,1,20,0.614,0.878,0.238,6,0.286,33,18,3,1.833,0.611,0.812,IV,RM,24%,19%
614245,Riccardo Ciao,SC Borsigwalde 1910,23,1,0,0,0,0,3,7,1778,0,18,0.659,0.859,0.043,0,0,8,6,17,1.333,0.444,0.615,ZDM,ZOM,9%,9%
614261,Suphi Tekin,SV Stern Britz 1889,4,0,0,0,0,0,3,0,184,0,NA,0.068,0.511,0,0,0,0,1,3,0,0,0.116,RV,NA,25%,0%
614980,Ian Kroh,BSV Eintracht Mahlsdorf II,2,0,0,0,0,0,0,0,180,0,NA,0.067,1,0,0,0,3,2,0,1.5,0.5,0.563,IV,NA,50%,0%
616826,Lionel Krampah,VfB Concordia Britz 1916,12,5,0,0,0,0,0,5,1004,1,NA,0.372,0.93,0.417,2,0.167,16,12,0,1.333,0.444,0.622,ZM,ST,83%,8%
627318,Romario Hartwig,BFC Preussen II,2,1,0,0,0,0,0,1,173,0,NA,0.064,0.961,0.5,0,0,3,2,0,1.5,0.5,0.555,ST,NA,50%,0%
627319,Matteo Günther,TSV Rudow Berlin,28,22,1,1,0,0,0,9,2455,9,9,0.909,0.974,0.821,8,0.286,56,24,4,2.333,0.778,1.007,ST,NA,71%,0%
627402,Jakob Heilmann,Berliner SC II,20,0,1,0,0,0,2,3,1524,0,2,0.564,0.847,0.05,2,0.1,23,19,1,1.211,0.404,0.595,LV,LM,60%,25%
627559,Amir Awag,BSV Al-Dersimspor,26,1,0,0,0,0,1,3,2218,0,5,0.821,0.948,0.038,3,0.115,27,24,2,1.125,0.375,0.651,RV,IV,42%,27%
636409,Okan Özkaya,SV Stern Britz 1889,8,0,0,0,0,0,7,0,215,0,3,0.08,0.299,0,0,0,0,0,8,0,0,0.076,NA,NA,NA%,0%
654219,Maurice Meyer,SV Empor Berlin II,11,0,0,0,0,0,1,0,954,2,1,0.353,0.964,0,1,0.091,12,10,1,1.2,0.4,0.571,TW,NA,91%,0%
656518,Mike Otto,SV Stern Britz 1889,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,0,0,0,2,-1,0,0,0.207,IV,RV,200%,100%
656536,Maximilian Blust,Berliner SV 1892,8,0,0,0,0,0,6,1,302,0,NA,0.112,0.419,0,0,0,6,2,6,3,1,0.806,ST,ZM,12%,12%
656966,Naim Senay,SV Stern Britz 1889,20,0,1,0,0,0,4,7,1341,1,26,0.497,0.745,0.05,0,0,6,15,5,0.4,0.133,0.342,IV,LV,20%,20%
663469,Jamal Dähn,BFC Meteor 06,1,0,0,0,0,0,1,0,32,0,NA,0.012,0.356,0,0,0,0,0,1,0,0,0.074,NA,NA,NA%,0%
665393,Volkan Neziroglu,Türkiyemspor Berlin,13,7,0,0,0,0,1,5,1017,0,NA,0.377,0.869,0.538,2,0.154,9,10,3,0.9,0.3,0.505,ST,NA,69%,0%
665521,Victor Kausch,Berliner SC II,3,0,0,0,0,0,2,1,64,0,NA,0.024,0.237,0,0,0,0,1,2,0,0,0.052,IV,NA,33%,0%
665771,Nicht öffentlich,Berliner SV 1892,12,0,0,0,0,0,1,2,998,0,NA,0.37,0.924,0,0,0,0,0,12,0,0,0.259,NA,NA,NA%,0%
666752,Vittorio Achour,BSV Al-Dersimspor,2,0,0,0,0,0,2,1,72,0,NA,0.027,0.4,0,0,0,0,0,2,0,0,0.085,NA,NA,NA%,0%
666810,Tom Stutzke,SV Empor Berlin II,2,0,0,0,0,0,0,0,180,0,NA,0.067,1,0,0,0,0,2,0,0,0,0.213,IV,NA,100%,0%
667353,Maurice Völckert,BSV Eintracht Mahlsdorf II,12,3,5,0,0,0,3,7,697,0,11,0.258,0.645,0.667,1,0.083,19,10,2,1.9,0.633,0.649,ST,NA,75%,0%
670955,Jan Lange,Türkiyemspor Berlin,4,0,0,0,0,0,1,2,297,0,NA,0.11,0.825,0,0,0,3,4,0,0.75,0.25,0.362,IV,LV,50%,25%
681356,Hendrik Kühn,SV Empor Berlin II,1,0,1,0,0,0,0,0,90,1,NA,0.033,1,1,10,10,44,27,-26,1.63,0.543,3.587,TW,LM,2000%,1000%
681368,Tjerk Ortmann,SV Empor Berlin II,4,0,0,0,0,0,3,1,129,0,4,0.048,0.358,0,0,0,1,1,3,1,0.333,0.314,IV,NA,25%,0%
682329,Julius Zauner,Berliner SV 1892,26,12,0,0,0,0,11,11,1454,1,11,0.539,0.621,0.462,4,0.154,31,15,11,2.067,0.689,0.761,ST,RM,31%,15%
691769,Oliver Schill,BFC Preussen II,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,1,1,3,1,0,3,1,1.207,IV,NA,100%,0%
693057,Merdan Baba,BSV Al-Dersimspor,18,16,5,0,0,0,3,6,1412,4,10,0.523,0.872,1.167,5,0.278,13,9,9,1.444,0.481,0.699,ST,IV,28%,6%
696770,Sam Diokhane,BSV Al-Dersimspor,22,4,0,0,0,0,2,0,1856,0,4,0.687,0.937,0.182,7,0.318,22,18,4,1.222,0.407,0.705,IV,ZDM,32%,27%
720266,Dennis Seiler,SV Empor Berlin II,14,2,0,0,0,0,3,1,1067,0,11,0.395,0.847,0.143,2,0.143,6,11,3,0.545,0.182,0.419,IV,ZM,29%,29%
