Rank,Team,Name,Nr,Pos,Spiele,Tore
410,BSV Al-Dersimspor,Baran Egilmez,NA,LV,3,0
411,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
412,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
413,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
414,FSV Berolina Stralau 1901,Ibrahim Diallo,10,RV,12,0
415,TSV Rudow Berlin,Dominik Thonfeld,23,ST,16,0
416,BSV Al-Dersimspor,Safak Höbek,NA,NA,1,0
417,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
418,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
419,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,23,0
420,Köpenicker FC,Rayk Stahnke,26,ZM,11,0
421,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
422,BFC Meteor 06,Julius Böke,NA,NA,0,0
423,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
424,Berliner SV 1892,Soner Gültepe,26,NA,6,0
425,SV Stern Britz 1889,Kevin Schneider,NA,RM,7,0
426,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
427,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
428,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
429,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,15,0
430,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
431,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,19,0
432,BSV Eintracht Mahlsdorf II,Marius Schreiber,8,LV,1,0
433,VfB Concordia Britz 1916,Malte Meißner,33,TW,12,0
434,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,21,0
435,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
436,BFC Meteor 06,Marcos Terzopulos-Koutsoubas,5,RV,3,0
437,SC Borsigwalde 1910,David Chukwu,NA,LV,13,0
438,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
439,Türkiyemspor Berlin,Ferhat Ömür,68,TW,4,0
440,VfB Concordia Britz 1916,Nico Hasenbank,NA,ZM,2,0
441,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,24,0
442,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,7,0
443,Köpenicker FC,Luca Carius,6,IV,22,0
444,Berliner SC II,Stephan Ngah,NA,RM,1,0
445,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
446,FC Viktoria 1889 Berlin II,Johannes Schwarz,NA,ZM,6,0
447,BSV Eintracht Mahlsdorf II,Julian Bufe,NA,NA,0,0
448,Köpenicker FC,Tom Rostock,NA,RM,9,0
449,BSV Eintracht Mahlsdorf II,Oliver Spigaht,6,RM,19,0
450,Berliner SC II,Mehdi Jebali,NA,IV,1,0
451,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,15,0
452,FC Viktoria 1889 Berlin II,Mirko Wach,NA,NA,0,0
453,Berliner SC II,Bryan Lilja,18,LM,10,0
454,Türkiyemspor Berlin,Kenan Özen,6,ZDM,18,0
455,BFC Preussen II,Guilherme Henrique Lopes De Oliveira,NA,NA,0,0
456,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,11,0
457,BSV Eintracht Mahlsdorf II,Marvin Müller,NA,ZDM,1,0
458,Köpenicker FC,Anton Neumann,14,ZM,12,0
459,VfB Concordia Britz 1916,Aykut Tezel,NA,ST,3,0
460,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,8,0
461,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
462,TSV Rudow Berlin,Jonas Becker,3,IV,24,0
463,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
464,Berliner SC II,Jesse Kreuschner,31,TW,9,0
465,Köpenicker FC,Tim Höfer,NA,TW,1,0
466,Berliner SC II,Luca Raoul Al-Habash,NA,RM,3,0
467,Berliner SV 1892,Chidera Iwuozor,6,LM,10,0
468,BFC Preussen II,Amir Sassi,NA,NA,0,0
469,SV Stern Britz 1889,Stephane Franklin Yoko,12,NA,1,0
470,FSV Berolina Stralau 1901,David Bode,18,RV,15,0
471,FC Viktoria 1889 Berlin II,Nico Pohlan,NA,NA,0,0
472,FSV Berolina Stralau 1901,Arian Saiti,17,RV,19,0
473,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
474,FC Viktoria 1889 Berlin II,Nico Starkowski,29,TW,1,0
475,BSV Eintracht Mahlsdorf II,Leon Haake,NA,TW,1,0
476,TSV Rudow Berlin,Eliot Tolaj,15,IV,16,0
477,BSV Eintracht Mahlsdorf II,Justin Engfer,20,RV,6,0
478,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,15,0
479,SV Empor Berlin II,Kolja Gramse,NA,NA,1,0
480,BFC Meteor 06,Leo Suilmann,1,TW,8,0
481,FC Internationale Berlin 1980,Jim Bratschke,77,RM,7,0
482,Berliner SC II,Paul Schlicht,1,TW,17,0
483,BSV Eintracht Mahlsdorf II,Tami Benkert,NA,ZM,1,0
484,SV Stern Britz 1889,Benis Leci,30,IV,23,0
485,BSV Eintracht Mahlsdorf II,Sune Tore Schröter,NA,NA,2,0
486,FC Viktoria 1889 Berlin II,Leart Halimi,27,RM,3,0
487,BSV Eintracht Mahlsdorf II,Lukas Otto,NA,IV,3,0
488,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,NA,2,0
489,Köpenicker FC,Alieu Nyassi,NA,NA,2,0
490,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,IV,14,0
491,Berliner SC II,Tom Köster,NA,TW,1,0
492,BSV Eintracht Mahlsdorf II,Noah Wulf,NA,IV,1,0
493,FSV Berolina Stralau 1901,Andreas Friese,23,TW,18,0
494,SV Stern Britz 1889,Miran Aykus,5,IV,10,0
495,FC Viktoria 1889 Berlin II,Hadi El-Hayek,23,NA,2,0
496,Türkiyemspor Berlin,Koray Aktas,21,TW,10,0
497,Berliner SC II,Zahm Rad,NA,ZM,2,0
498,SV Empor Berlin II,Stanley Schulz,NA,IV,2,0
499,VfB Concordia Britz 1916,Burak Tatli,44,ST,3,0
500,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
501,FC Internationale Berlin 1980,Kaan Ucbaglar,44,LM,7,0
502,SV Stern Britz 1889,Ahmed Saygi,NA,NA,1,0
503,BFC Preussen II,Marko Fischer,4,LV,2,0
504,BFC Meteor 06,Tyrone Mengesha,NA,NA,6,0
505,BFC Preussen II,Tim Henseler,NA,NA,4,0
506,Türkiyemspor Berlin,Görkem Tozlu,NA,IV,9,0
507,SC Borsigwalde 1910,Ahmad Chehade,NA,RV,9,0
508,Berliner SV 1892,Philip Klimper,NA,NA,1,0
509,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,27,0
510,VfB Concordia Britz 1916,Enes Noah Öztürk,18,RV,2,0
511,BFC Preussen II,Adam Lamkaddam,32,NA,1,0
512,VfB Concordia Britz 1916,Merdan Köse,4,RV,20,0
513,Türkiyemspor Berlin,Erdem Celik,18,RM,4,0
514,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,11,0
515,SV Empor Berlin II,Aaron Yusuff,NA,TW,15,0
516,BSV Eintracht Mahlsdorf II,Max Koyuncu,9,NA,2,0
517,BSV Eintracht Mahlsdorf II,Fabian Clemen,NA,NA,0,0
518,BSV Eintracht Mahlsdorf II,Carl Dopke,1,TW,5,0
519,FSV Berolina Stralau 1901,Yussef Jradi,11,LM,22,0
520,BFC Preussen II,Maximilian Schatz,24,ZM,6,0
521,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,23,0
522,BFC Preussen II,Leo Sommerfeld,NA,IV,2,0
523,SV Empor Berlin II,Alvenzio Ettah,19,ZM,21,0
524,Köpenicker FC,Florian Hildebrand,NA,NA,1,0
525,Berliner SC II,Felix Klebe,26,RM,4,0
526,Berliner SC II,Fabian Niedenhoff,NA,ZM,1,0
527,SC Borsigwalde 1910,Kai Neumann,21,ZM,6,0
528,SC Borsigwalde 1910,Eren Motuk,5,IV,18,0
529,SC Borsigwalde 1910,Elias Jamil Erisen,NA,LV,2,0
530,SV Stern Britz 1889,Joshua Ridzewski,NA,LM,1,0
531,BSV Al-Dersimspor,Ryan Smith Mabom Njiki,NA,ZDM,9,0
532,BSV Eintracht Mahlsdorf II,Benjamin Mohwinkel,NA,TW,1,0
533,Berliner SC II,Erdem Yilmazcelik,NA,NA,1,0
534,BSV Al-Dersimspor,Merdie Tshondo,20,RV,5,0
535,SV Empor Berlin II,Vincent Lange,NA,IV,1,0
536,SV Empor Berlin II,Robert Kurth,22,NA,3,0
537,BFC Preussen II,Tiago de Sousa Oliveira,NA,NA,1,0
538,SV Empor Berlin II,Oskar Kühn,23,TW,10,0
539,Berliner SV 1892,Linus Hechtfisch,23,TW,6,0
540,SC Borsigwalde 1910,Wilfred Arnaud Njankou Tchouwa,NA,NA,4,0
541,Türkiyemspor Berlin,Hüseyin Tunay,NA,LM,3,0
542,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,LM,13,0
543,Berliner SC II,Vincent Spiegel,15,IV,2,0
544,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,25,0
545,SV Empor Berlin II,Janne Henrik Bloch,33,TW,2,0
546,BSV Eintracht Mahlsdorf II,Leonhard Buchmann,14,NA,1,0
547,FC Viktoria 1889 Berlin II,Alexander Dikarev,NA,ZM,1,0
548,FC Viktoria 1889 Berlin II,Dmytro Karika,30,TW,3,0
549,BFC Preussen II,Christian Müller,25,ZDM,15,0
550,Köpenicker FC,Noah Maximilian Laske,19,RV,14,0
551,Berliner SC II,Yigit Öncü,24,ZM,5,0
552,Köpenicker FC,Oskar Klauke,20,LV,14,0
553,FC Internationale Berlin 1980,Juan José Swett Barros,23,NA,0,0
554,SV Stern Britz 1889,Jonas Lück,18,TW,11,0
555,FSV Berolina Stralau 1901,Cihat Yildirim,NA,ZDM,0,0
556,Türkiyemspor Berlin,Kemo Andresen,NA,RM,8,0
557,BFC Preussen II,Kemo Andresen,NA,RM,1,0
558,TSV Rudow Berlin,Mert Arslan,NA,TW,0,0
559,Köpenicker FC,Marques Brunow,NA,IV,8,0
560,Türkiyemspor Berlin,Yeifre Diaz Chacon,NA,NA,1,0
561,VfB Concordia Britz 1916,Mehmet Akif Bakiroglugil,18,NA,2,0
562,Berliner SC II,Simon Riedel,14,RV,22,0
563,FC Internationale Berlin 1980,Jacques Kahra,NA,IV,1,0
564,SV Stern Britz 1889,Matias Ignacio Bottiglieri,NA,ST,7,0
565,FC Internationale Berlin 1980,Lancine Braunert,NA,NA,0,0
566,Türkiyemspor Berlin,Ali Ismail Gashi,12,ZDM,13,0
567,Berliner SV 1892,Ali Ismail Gashi,12,ZDM,5,0
568,VfB Concordia Britz 1916,Ilai Harder,NA,NA,0,0
569,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
570,SV Empor Berlin II,Julian Duczmal,NA,ZM,4,0
571,SC Borsigwalde 1910,Mehdi Bencheikh,NA,IV,4,0
572,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,23,0
573,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,8,0
574,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,23,0
575,SV Empor Berlin II,Rafael Mentrup,21,LM,21,0
576,SV Empor Berlin II,Laszlo Braun,22,LM,14,0
577,SV Empor Berlin II,Daniil Savenko,18,NA,4,0
578,FC Viktoria 1889 Berlin II,Emmanuel Sokowonci Daniel,32,NA,0,0
579,BFC Preussen II,Tarkan Taskiran,NA,IV,1,0
580,BFC Preussen II,Baran Daskan,NA,IV,2,0
581,FC Internationale Berlin 1980,Roger Gonzalez Hermosa,40,TW,6,0
582,Berliner SC II,Efe Gültekin,NA,NA,1,0
583,SC Borsigwalde 1910,Yannick Djekonbe,20,NA,2,0
584,BSV Eintracht Mahlsdorf II,Artur Reder,NA,NA,2,0
585,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,23,0
586,FC Internationale Berlin 1980,Sebastian Basaure Larrain,NA,NA,1,0
587,FSV Berolina Stralau 1901,Adnan Shah,NA,NA,0,0
588,BFC Meteor 06,Leon Splanemann,NA,NA,0,0
589,VfB Concordia Britz 1916,Lukas Czernitzky,12,TW,2,0
590,SC Borsigwalde 1910,Adam Barnat,6,LM,13,0
591,VfB Concordia Britz 1916,Philip Wieser,17,ZM,20,0
592,FC Viktoria 1889 Berlin II,Minyoung Lee,NA,NA,1,0
593,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,11,0
594,TSV Rudow Berlin,Pascal Ulrich,NA,NA,0,0
595,BFC Meteor 06,Steven Demarr Saunders,14,RM,14,0
596,Berliner SC II,Eric Ekandille,28,RM,6,0
597,Berliner SC II,Eike Barth,25,ST,9,0
598,Köpenicker FC,Anton Louis Süring,NA,LV,2,0
599,Köpenicker FC,Lennart Will,NA,NA,2,0
600,SV Empor Berlin II,Keita Udo,12,ZM,10,0
601,TSV Rudow Berlin,Süleyman Aktas,29,TW,13,0
602,FC Internationale Berlin 1980,Zachariah Mohamed Dukuly,21,NA,4,0
603,Köpenicker FC,Luca Seeber,12,TW,7,0
604,SV Empor Berlin II,Laurens Cerny,20,ZM,21,0
605,FC Viktoria 1889 Berlin II,Sebastian Naicker,31,NA,3,0
606,VfB Concordia Britz 1916,Nicht öffentlich,NA,NA,5,0
607,Türkiyemspor Berlin,Mohamad El-Ali,42,NA,2,0
608,TSV Rudow Berlin,Leon Merke,NA,TW,2,0
609,Berliner SC II,Konstantin Joseski,NA,RV,5,0
610,Berliner SC II,Nino Zamorano,22,NA,5,0
611,Köpenicker FC,Iven Wiecker,NA,IV,5,0
612,SC Borsigwalde 1910,Sadjad Rassuli,NA,ZDM,7,0
613,SC Borsigwalde 1910,Mohammad Kassem,NA,TW,5,0
614,Türkiyemspor Berlin,Rafael Pereira,NA,NA,1,0
615,SC Borsigwalde 1910,Johan Ferney Marin Macareno,NA,NA,0,0
616,SV Empor Berlin II,Tim Fechtner,NA,NA,4,0
617,BSV Eintracht Mahlsdorf II,Pajtim Hasalari,NA,NA,1,0
618,SV Stern Britz 1889,John Coker,NA,ST,7,0
619,Berliner SC II,David Omilani,NA,IV,1,0
620,FSV Berolina Stralau 1901,Jim Holtz,NA,NA,1,0
621,FSV Berolina Stralau 1901,Aaron Sakyi Ankrah,NA,NA,1,0
622,FSV Berolina Stralau 1901,Eike Christiansen,NA,NA,1,0
623,FSV Berolina Stralau 1901,Finley Püschel,NA,NA,1,0
