ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,scorerpoints_ratio,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
480355,Burak Cabuk,1. FC Schöneberg 1913,1,1,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,NA,NA,0%,0%
494671,Ugurcan Yilmaz,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
507979,Patrick Boel,DJK Schwarz-Weiß Neukölln,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,TW,NA,100%,0%
508810,Luis Driemel,FC Internationale Berlin 1980,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,IV,NA,100%,0%
519242,Louis Anthony Guske,Friedenauer TSC,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,NA,NA,0%,0%
519270,Lukas Kohlmann,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
526325,Philipp Pilz,Pfeffersport,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,2,2,3,1,0,3,NA,IV,NA,200%,0%
527441,Justin Jakob,DJK Schwarz-Weiß Neukölln,1,0,0,0,0,0,0,1,45,0,NA,0.017,NA,0,0,3,1,0,3,NA,RV,NA,100%,0%
540312,Nikola Siljanoski,SC Borsigwalde 1910,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,TW,NA,100%,0%
546176,Ismaila Njie,SC Berliner Amateure,1,0,0,0,0,0,1,0,29,0,NA,0.011,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
553789,Yasin Demir,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3,1,-1,3,1,NA,NA,0%,0%
553808,Nicolas Michalke,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
553810,Rommel Abou-Chaker,BFC Preussen II,1,1,0,0,0,0,1,0,28,0,NA,0.01,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
553814,Marcel Berner,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
553834,Julian von Gliszczynski,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
