Team,Formation,Anzahl,Total_Spiele,Wahrscheinlichkeit,dreier_kette,vierer_kette,Starting11_Team,Starting11_Position,Starting11_Nummer,Starting11_Name,Starting11_Weighted_Score
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,ZOM,NA,Yildiray Demir,0.78
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,ZDM,NA,Burak Cabuk,0.78
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,RV,NA,Emin Musa Cetintas,0.75
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,IV,NA,Kani Özdil,0.74
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,LV,NA,Atakan Gündogdu,0.7
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,ZDM,NA,Radovan-Damjan Stojanovic,0.69
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,LM,NA,Daniel Müller,0.61
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,TW,NA,Janik Meyer,0.61
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,IV,NA,Youssef Fakhro,0.58
1.FC Schöneberg,4-2-3-1,3,4,75%,Nein,Ja,1.FC Schöneberg,RM,NA,Dolunay Sabahat,0.48
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,IV,3,Leo Sommerfeld,0.66
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,LM,8,Magnus Stahlberg,0.65
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,ST,29,Georgios Mikelatze,0.65
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,TW,NA,Adam Lamkaddam,0.61
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,LV,19,Abdallah Ferchichi,0.57
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,ZOM,30,Yasin Demir,0.56
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,RV,NA,Jerome Kortebusch,0.55
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,RM,22,Atacan Özcan,0.53
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,IV,16,Kiminu Mayoungou,0.52
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,ST,NA,Ugurcan Yilmaz,0.49
BFC Preussen II,4-1-3-2,1,4,25%,Nein,Ja,BFC Preussen II,ZDM,NA,Tim Henseler,0.27
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,IV,3,Leo Sommerfeld,0.66
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,LM,8,Magnus Stahlberg,0.65
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,ST,29,Georgios Mikelatze,0.65
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,TW,NA,Adam Lamkaddam,0.61
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,LV,19,Abdallah Ferchichi,0.57
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,ZOM,30,Yasin Demir,0.56
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,RV,NA,Jerome Kortebusch,0.55
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,RM,22,Atacan Özcan,0.53
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,IV,16,Kiminu Mayoungou,0.52
BFC Preussen II,4-2-3-1,2,4,50%,Nein,Ja,BFC Preussen II,ZDM,NA,Tim Henseler,0.27
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,IV,3,Leo Sommerfeld,0.66
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,LM,8,Magnus Stahlberg,0.65
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,ST,29,Georgios Mikelatze,0.65
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,TW,NA,Adam Lamkaddam,0.61
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,LV,19,Abdallah Ferchichi,0.57
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,RV,NA,Jerome Kortebusch,0.55
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,RM,22,Atacan Özcan,0.53
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,IV,16,Kiminu Mayoungou,0.52
BFC Preussen II,4-4-2,1,4,25%,Nein,Ja,BFC Preussen II,ST,NA,Ugurcan Yilmaz,0.49
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,TW,NA,Hendrik Lüttschwager,0.69
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,IV,NA,Niklas Jost,0.67
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,ST,NA,David Bellin,0.67
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,IV,NA,Stefano Tedesco,0.66
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,ST,NA,Julius Zauner,0.65
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,ZDM,NA,Lennard Schleifenbaum,0.65
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,IV,NA,Karl Anker,0.62
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,LM,NA,Tim Paschke,0.61
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,RM,NA,Nikita Charkov,0.56
BSV 1892,3-4-1-2,1,4,25%,Ja,Nein,BSV 1892,ZOM,NA,Dominik Hinze,0.52
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,TW,NA,Hendrik Lüttschwager,0.69
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,IV,NA,Niklas Jost,0.67
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,ST,NA,David Bellin,0.67
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,IV,NA,Stefano Tedesco,0.66
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,ST,NA,Julius Zauner,0.65
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,ZM,NA,Lennard Schleifenbaum,0.65
BSV 1892,4-4-2,2,4,50%,Nein,Ja,BSV 1892,RV,NA,Karl Anker,0.62
