Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
237,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,23,0.043
238,FSV Berolina Stralau 1901,Denis Rolke,15,RM,24,0.042
239,Berliner SV 1892,Niklas Jost,4,IV,24,0.042
240,Berliner SC II,Ezher Akbulut,23,LM,24,0.042
241,SV Stern Britz 1889,Andre Schulz,23,IV,25,0.04
242,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,25,0.04
243,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,25,0.04
244,BSV Al-Dersimspor,Amir Awag,5,RV,26,0.038
245,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,26,0.038
246,TSV Rudow Berlin,Linus Fürstenow,4,IV,27,0.037
247,BFC Meteor 06,Selvedin Begzadic,22,TW,22,0
248,BFC Preussen II,Vahit Engin,11,NA,7,0
249,Türkiyemspor Berlin,Kenan Demir,3,ZDM,21,0
250,Berliner SV 1892,Hendrik Lüttschwager,1,TW,22,0
251,BSV Al-Dersimspor,Kerem Filiz,NA,IV,7,0
252,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,10,0
253,Berliner SC II,Nicolas Wolski,8,RV,12,0
254,Köpenicker FC,Jonas Weigelt,8,IV,14,0
255,TSV Rudow Berlin,Martin Gromotka,44,TW,25,0
256,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,23,0
257,BFC Preussen II,Paul Miggel,8,LV,9,0
258,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,17,0
259,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
260,BSV Al-Dersimspor,Patrick Boel,1,TW,21,0
261,BFC Preussen II,Malte Hartmann,31,TW,16,0
262,SC Borsigwalde 1910,Tobias Knetsch,23,TW,13,0
263,Köpenicker FC,Till Dietrich,27,LV,22,0
264,BFC Preussen II,Yasin Demir,30,ZDM,19,0
265,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,9,0
266,VfB Concordia Britz 1916,Patrick Wenke,29,IV,15,0
267,VfB Concordia Britz 1916,Tim Wenke,5,IV,15,0
268,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
269,Berliner SV 1892,Benjamin Schnack,NA,IV,13,0
270,Köpenicker FC,Tom Nischwitz,5,IV,15,0
271,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
272,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,10,0
273,Berliner SV 1892,Karl Anker,8,IV,24,0
274,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,9,0
275,SV Stern Britz 1889,Okan Özkaya,3,NA,8,0
276,SV Empor Berlin II,Maurice Meyer,1,TW,11,0
277,Berliner SV 1892,Maximilian Blust,NA,ST,8,0
278,Berliner SV 1892,Nicht öffentlich,NA,NA,12,0
279,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,11,0
280,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
