team,#,Ges_Bilanz,Rank_H,H_Bilanz,Rank_A,A_Bilanz,Rank_NR,NR_Bilanz,Rank_KR,KR_Bilanz,Rank_kKR,kKR_Bilanz,E5,E4,E3,E2,E1,Tore,Formation,Wahrscheinlichkeit,dreierKette,viererKette
FC Internationale Berlin,1,4-0-0,3,2-0-0,2,2-0-0,NA,NA,1,4-0-0,1,3-0-0,NA,S,S,S,S,19:3,3-4-3,50%,Ja,Ja
SF Johannisthal,2,4-0-0,2,2-0-0,3,2-0-0,2,1-0-0,2,3-0-0,2,3-0-0,NA,S,S,S,S,19:3,4-3-3,75%,Nein,Ja
1.FC Schöneberg,3,3-0-1,5,1-0-1,4,2-0-0,NA,NA,4,3-0-1,6,1-0-1,NA,S,S,N,S,14:8,4-2-3-1,75%,Nein,Ja
Friedenauer TSC,4,3-0-1,10,1-0-1,5,2-0-0,NA,NA,5,3-0-1,4,2-0-1,NA,S,S,N,S,10:8,3-1-4-2,50%,Ja,Ja
Berliner SC II,5,3-0-1,1,3-0-0,16,0-0-1,3,1-0-0,6,2-0-1,5,2-0-1,NA,S,N,S,S,7:9,4-2-2-2,75%,Nein,Ja
BSV 1892,6,2-0-2,13,0-0-2,1,2-0-0,1,1-0-0,10,1-0-2,3,1-0-0,NA,N,S,S,N,12:9,4-4-2,50%,Ja,Ja
SC Borsigwalde,7,2-0-2,12,0-0-1,6,2-0-1,NA,NA,7,2-0-2,7,2-0-2,NA,S,N,S,N,7:6,3-2-3-2,25%,Ja,Ja
Pfeffersport,8,2-0-2,8,1-0-1,10,1-0-1,NA,NA,8,2-0-2,8,2-0-2,NA,S,N,N,S,7:9,4-3-3,50%,Nein,Ja
Berlin Hilalspor,9,2-0-2,4,2-0-0,15,0-0-2,NA,NA,9,2-0-2,9,2-0-2,NA,N,S,N,S,9:12,4-4-2,50%,Nein,Ja
SC Berliner Amateure,10,1-1-2,9,1-0-1,11,0-1-1,NA,NA,11,1-1-2,13,0-0-1,NA,N,N,U,S,5:8,3-2-2-3,50%,Ja,Nein
BSV Hürtürkel,11,1-0-3,15,0-0-2,7,1-0-1,4,0-0-3,3,1-0-0,NA,NA,NA,N,S,N,N,7:11,4-2-3-1,75%,Nein,Ja
SV Empor Berlin II,12,1-0-3,7,1-0-1,13,0-0-2,NA,NA,12,1-0-3,10,1-0-2,NA,N,S,N,N,6:11,4-1-4-1,25%,Nein,Ja
BFC Preussen II,13,1-0-3,6,1-0-1,14,0-0-2,NA,NA,13,1-0-3,11,1-0-3,NA,N,N,S,N,5:11,4-2-3-1,50%,Nein,Ja
Berolina Mitte,14,1-0-3,16,0-0-2,8,1-0-1,NA,NA,14,1-0-3,12,1-0-3,NA,N,N,S,N,7:13,4-2-3-1,100%,Nein,Ja
DJK Schwarz-Weiß Neukölln,15,1-0-3,14,0-0-2,9,1-0-1,NA,NA,15,1-0-3,14,0-0-1,NA,S,N,N,N,4:10,4-2-3-1,100%,Nein,Ja
SF Charlottenburg-Wilmersdorf 03,16,0-1-3,11,0-1-1,12,0-0-2,NA,NA,16,0-1-3,15,0-0-2,NA,N,N,U,N,3:10,4-5-1,50%,Nein,Ja
