#,team,S,G,U,N,Tore,Dif,Pkt
1,BSV 1892,1,1,0,0,5:1,4,3
2,SF Johannisthal,1,1,0,0,4:2,2,3
3,Berliner SC II,1,1,0,0,1:0,1,3
4,BSV Hürtürkel,3,0,0,3,3:10,-7,0
