Rank,Team,Name,Nr,Pos,Spiele,Tore
1,FC Internationale Berlin,Gaston Ignacio Nieto,NA,ST,3,5
2,SF Johannisthal,Lukas Ferl,10,ST,3,5
3,FC Internationale Berlin,Santiago Henrich Paya,NA,RM,3,4
4,SF Johannisthal,Yoshua Lüdtke,9,LM,3,4
5,1.FC Schöneberg,Enes Uzun,NA,NA,3,4
6,Berlin Hilalspor,Mohamad-Ali Chawraba,NA,LM,2,3
7,1.FC Schöneberg,Salih Uzun,NA,NA,3,3
8,Berliner SC II,Kevin Uwe Einspannier,6,ZM,3,2
9,FC Internationale Berlin,Nicholas Cartwright Stanley,NA,ST,3,2
10,FC Internationale Berlin,Maxwell Stanley,NA,ST,2,2
11,SF Johannisthal,Nikolas Müller,17,LM,3,2
12,BSV Hürtürkel,Leopold Antonius Bussmann,NA,RM,3,2
13,BSV Hürtürkel,Onur Yüksek,NA,NA,3,2
14,BSV Hürtürkel,Umut Yüksek,NA,NA,3,2
15,1.FC Schöneberg,Burak Cabuk,NA,RM,3,2
16,BSV 1892,Paul Busche,NA,ST,2,2
17,BSV 1892,Julius Zauner,NA,RM,3,2
18,Friedenauer TSC,Tim Gandert,NA,NA,2,2
19,Friedenauer TSC,Ihab Al-Khalaf,NA,NA,1,2
20,Pfeffersport,William Scarlett,NA,NA,3,2
21,Berolina Mitte,Felix Opoku,14,ST,3,2
22,SV Empor Berlin II,Nico Bochnia,9,ST,2,2
23,SV Empor Berlin II,Luis Ploschenz,NA,NA,1,2
24,BFC Preussen II,Georgios Mikelatze,29,ST,2,2
25,Berliner SC II,Nikolaos Kaggelidids,15,LV,3,1
26,Berliner SC II,Fabian Niedenhoff,NA,IV,1,1
27,Berliner SC II,Konstantin Joseski,14,RV,3,1
28,Berliner SC II,Tim Niedenhoff,19,IV,3,1
29,FC Internationale Berlin,Nikita Ovcharov,NA,NA,2,1
30,FC Internationale Berlin,Luis Driemel,NA,IV,2,1
31,SF Johannisthal,Max Hoffmann,19,LV,2,1
32,SF Johannisthal,Patrick Kroll,13,NA,1,1
33,SF Johannisthal,Jonathan Behrend,7,ZDM,2,1
34,SF Johannisthal,Eric Warncke,33,LM,3,1
35,SF Johannisthal,Lukas Olff,11,RV,2,1
36,Berlin Hilalspor,Okan Ekmekci,NA,NA,3,1
37,Berlin Hilalspor,Volkan Neziroglu,NA,ST,3,1
38,Berlin Hilalspor,Hasan Köse,NA,ZM,2,1
39,1.FC Schöneberg,Morrez Nhacuonga,NA,NA,2,1
40,1.FC Schöneberg,Yildiray Demir,NA,ZDM,3,1
41,BSV 1892,Yunus Malik,NA,LV,2,1
42,BSV 1892,Chidera Iwuozor,NA,LV,3,1
43,BSV 1892,Nick Bechler,NA,IV,2,1
44,BSV 1892,El-Amin Elsaadawi,NA,NA,3,1
45,BSV 1892,Karl Anker,NA,IV,3,1
46,BSV 1892,Lennard Schleifenbaum,NA,ZDM,3,1
47,BSV 1892,David Bellin,NA,ST,3,1
