Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
1,BFC Preussen II,SC Borsigwalde,1,3,4-2-3-1,"Lankaddam, Kortebusch, Sommerfeld, Stahlberg, Ferchichi, Özcan, Henseler, El-Mustapha, Ketesoglu, Timur, Feldmann","Abou-Chaker, Loder",1:3 (90.+1) Abou-Chaker,home,S,4-1-4-1,"Siljanoski, Angali, El-Okkla, Acar, Kassem, Kummer, Thalke, Rassuli, Knaack, David Nzongo, Bubner","Coskunaydin, Daniel Nzongo, Duhnke, Viedt"
1,FC Internationale Berlin,Berlin Hilalspor,7,2,3-4-3,"Schulze, Driemel, Echeverria, Wörteler, Paya, Freitag, Tsuchiya, Marigo, Stanley, Nieto, Daus.","Ovcharov, Bauder, Bätz, Pink, Bullock",1:0 (9.) Paya; 2:1 (36.) Nieto; 3:1 (53.) Nieto; 4:1 (53.) Paya; 5:1 (56.) Nieto; 6:1 (59.) Paya; 7:2 (90.) Stanley,home,S,4-4-2,"Kösker, Asotic, Yilmas, Marouwane, S. Ekmekci, Chawraba, Aslan, Akanakimana, Wahabou, Hancer, Neziroglu","El-Ahmad, +2 Gün, O. Ekmekci, Köse, Eren"
1,Berliner SC II,Berolina Mitte,4,1,4-2-2-2,"Kreuschner, Joseski, Ibrom, Leitner, Heilmann, Einspannier, Niedenhoff, Lilja, Baum, Kücükosman, Lorenz","+1 Schröder, +1 Huambo, Hunger, Tamburo, Kaggelidids",1:0 (21.) Einspannier; 2:1 (61.) Niedenhoff; 3:1 (84.) Einspannier; 4:1 (90.+1) Joseski,home,S,4-2-3-1,"Meier, Schlarmann, Georgi, Stoetefalke, Gefnider, Wiegand, Metzmacher, Garces Daza, Buchweitz, Chioccarelli, Opoku","Ngo, Müller, Triebel"
1,Friedenauer TSC,SC Berliner Amateure,3,1,3-1-4-2,"Rother, Kleinfeldt, Sey, Plohmann, T. Prümke, Stritzke, Guske, Niemeyer, Fuchs, Al-Khalaf, Vowinckel","Taskiran, +2 C. Prümke, Woithe, Gandert, Vukoja",1:0 (9.) Al-Khalaf; 2:0 (42.) Al-Khalaf; 3:1 (90.+4) Gandert,home,S,3-2-2-3,"Imorou, Tasche, Ewald, Kemlein, von Bürck, Essers, Kone, Frei, Werner, Kozak, Schulte-Holtey","Soliman, Willkomm, Njie, Barford, Fleige"
1,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,3,0,4-3-3,"Kolfenbach, Zimmering, Pilz, Sander, Boudlal, Schirp, Marcell, Klenk, Kremer, Grunert, Aguigah","Schreiber, Barakat, Scarlett, Schmiedel",1:0 (19.) Schirp; 2:0 (32.) Scarlett; 3:0 (59.) Grunert,home,S,4-5-1,"Höhne, Kosky, Wendt, Dziadek, Jean-Louis, Yao, Dornheim, Kocher, Gehring, Diakite, Dos Santos","Koloff, Sabra, Gorr"
1,BSV 1892,DJK Schwarz-Weiß Neukölln,2,4,4-4-2,"Lüttschwager, Anker, Jost, Bechler, Malik, Zauner, Schnack, Schleifenbaum, Paschke, Busche, Bellin","Iwuozor, Elsaadawi, Stephan",1:0 (7.) Busche; 2:0 (52.) Malik,home,M,4-2-3-1,"Boel, Jakob, Ramljak, B. Hoeri, Kühn, Ruden, Kirsch, Schmidt, Padilla Cross, Achour, Guski","Köprülügil, Lindner, G. Hoeri, Erdogan, Elszel"
1,1.FC Schöneberg,SV Empor Berlin II,6,2,4-3-2-1,"Göksar, Cetintas, Özdil, Stojanovic, Degirmenci, Cabuk, Franz, Demir, Abou Khalil, E. Uzun, S. Uzun","Ciftci, +1 Nhacuonga, Gedek",1:1 (24.) S. Uzun; 2:1 (32.) E. Uzun; 3:1 (36.) Demir; 4:1 (47.) Nhacuonga; 5:1 (50.) E. Uzun; 6:2 (80.) Cabuk,home,S,formation unclear,"Meyer, Bräkow, Popp, Wollmann, Macketanz, Drannaschk, Shrestha, Rajaratnam, Mentrup, Duczmal, Tuckerman . SR: Schlichtmann, Z.: 25. TORE: 0","Ako, Wandel, Bohn, Cerny, Bochnia"
1,BSV Hürtürkel,SF Johannisthal,2,4,4-2-1-3,"Langer, Kücükodabasi, Tanis, Türkoglu, Arslan, O. Yüksek, Akdag, Kurnaz, Bussmann, Yigit, U. Yüksek","Ülke, Yilmaz","1:0 (7.) Eigentor, 2:0 (11.) U. Yüksek",home,M,4-3-3,"Ölke, Olff, Walden, Pilz, Dörre, Pawel, Mittelstädt, Müller, Warncke, Franke, Lüdtke","Ferl, Aust"
1,SC Borsigwalde,BFC Preussen II,3,1,4-1-4-1,"Siljanoski, Angali, El-Okkla, Acar, Kassem, Kummer, Thalke, Rassuli, Knaack, David Nzongo, Bubner","Coskunaydin, Daniel Nzongo, Duhnke, Viedt",0:1 (19.) Bubner; 0:2 (42.) Knaack; 0:3 (86.) Dniel Nzongo,away,S,4-2-3-1,"Lankaddam, Kortebusch, Sommerfeld, Stahlberg, Ferchichi, Özcan, Henseler, El-Mustapha, Ketesoglu, Timur, Feldmann","Abou-Chaker, Loder"
1,Berlin Hilalspor,FC Internationale Berlin,2,7,4-4-2,"Kösker, Asotic, Yilmas, Marouwane, S. Ekmekci, Chawraba, Aslan, Akanakimana, Wahabou, Hancer, Neziroglu","El-Ahmad, +2 Gün, O. Ekmekci, Köse, Eren",1:1 (27.) Chawraba; 6:2 (79.) O. Ekmekci,away,S,3-4-3,"Schulze, Driemel, Echeverria, Wörteler, Paya, Freitag, Tsuchiya, Marigo, Stanley, Nieto, Daus.","Ovcharov, Bauder, Bätz, Pink, Bullock"
