Spieltag,Heim,Auswärts,H_tore,A_tore
17,Berliner SC II,DJK Schwarz-Weiß Neukölln,NA,NA
17,SF Charlottenburg-Wilmersdorf 03,Berlin Hilalspor,NA,NA
17,BFC Preussen II,SC Berliner Amateure,NA,NA
17,Friedenauer TSC,SF Johannisthal,NA,NA
17,1.FC Schöneberg,SC Borsigwalde,NA,NA
17,BSV Hürtürkel,Berolina Mitte,NA,NA
16,SC Borsigwalde,BFC Preussen II,NA,NA
16,Berlin Hilalspor,FC Internationale Berlin,NA,NA
16,Berolina Mitte,Berliner SC II,NA,NA
16,SC Berliner Amateure,Friedenauer TSC,NA,NA
16,SF Charlottenburg-Wilmersdorf 03,Pfeffersport,NA,NA
16,DJK Schwarz-Weiß Neukölln,BSV 1892,NA,NA
16,SV Empor Berlin II,1.FC Schöneberg,NA,NA
16,SF Johannisthal,BSV Hürtürkel,NA,NA
15,FC Internationale Berlin,BSV Hürtürkel,NA,NA
15,DJK Schwarz-Weiß Neukölln,Friedenauer TSC,NA,NA
15,BSV 1892,Berliner SC II,NA,NA
15,Berlin Hilalspor,SV Empor Berlin II,NA,NA
15,SC Berliner Amateure,Pfeffersport,NA,NA
15,SF Johannisthal,1.FC Schöneberg,NA,NA
15,SC Borsigwalde,SF Charlottenburg-Wilmersdorf 03,NA,NA
15,Berolina Mitte,BFC Preussen II,NA,NA
14,BFC Preussen II,SF Charlottenburg-Wilmersdorf 03,NA,NA
14,FC Internationale Berlin,Berolina Mitte,NA,NA
14,Berliner SC II,SC Berliner Amateure,NA,NA
14,DJK Schwarz-Weiß Neukölln,Berlin Hilalspor,NA,NA
14,BSV 1892,SF Johannisthal,NA,NA
14,BSV Hürtürkel,SC Borsigwalde,NA,NA
14,1.FC Schöneberg,Pfeffersport,NA,NA
14,Friedenauer TSC,SV Empor Berlin II,NA,NA
13,1.FC Schöneberg,Friedenauer TSC,NA,NA
13,BFC Preussen II,Berlin Hilalspor,NA,NA
13,SF Johannisthal,Berolina Mitte,NA,NA
13,SC Berliner Amateure,DJK Schwarz-Weiß Neukölln,NA,NA
13,SC Borsigwalde,FC Internationale Berlin,NA,NA
13,SV Empor Berlin II,BSV 1892,NA,NA
13,SF Charlottenburg-Wilmersdorf 03,Berliner SC II,NA,NA
13,Pfeffersport,BSV Hürtürkel,NA,NA
12,Pfeffersport,BFC Preussen II,NA,NA
12,SV Empor Berlin II,BSV Hürtürkel,NA,NA
12,SF Charlottenburg-Wilmersdorf 03,Friedenauer TSC,NA,NA
12,Berlin Hilalspor,1.FC Schöneberg,NA,NA
12,SC Berliner Amateure,BSV 1892,NA,NA
12,SF Johannisthal,FC Internationale Berlin,NA,NA
12,SC Borsigwalde,Berliner SC II,NA,NA
12,Berolina Mitte,DJK Schwarz-Weiß Neukölln,NA,NA
11,BFC Preussen II,1.FC Schöneberg,NA,NA
11,FC Internationale Berlin,SC Berliner Amateure,NA,NA
11,Berliner SC II,SV Empor Berlin II,NA,NA
11,DJK Schwarz-Weiß Neukölln,SF Johannisthal,NA,NA
11,BSV 1892,SC Borsigwalde,NA,NA
11,BSV Hürtürkel,SF Charlottenburg-Wilmersdorf 03,NA,NA
11,Berlin Hilalspor,Berolina Mitte,NA,NA
11,Friedenauer TSC,Pfeffersport,NA,NA
10,FC Internationale Berlin,SV Empor Berlin II,NA,NA
10,DJK Schwarz-Weiß Neukölln,SC Borsigwalde,NA,NA
