#,team,S,G,U,N,Tore,Dif,Pkt
1,FC Internationale Berlin,4,4,0,0,19:3,16,12
2,SF Johannisthal,4,4,0,0,19:3,16,12
3,1.FC Schöneberg,4,3,0,1,14:8,6,9
4,Friedenauer TSC,4,3,0,1,10:8,2,9
5,Berliner SC II,4,3,0,1,7:9,-2,9
6,BSV 1892,4,2,0,2,12:9,3,6
7,SC Borsigwalde,4,2,0,2,7:6,1,6
8,Pfeffersport,4,2,0,2,7:9,-2,6
9,Berlin Hilalspor,4,2,0,2,9:12,-3,6
10,SC Berliner Amateure,4,1,1,2,5:8,-3,4
11,BSV Hürtürkel,4,1,0,3,7:11,-4,3
12,SV Empor Berlin II,4,1,0,3,6:11,-5,3
13,BFC Preussen II,4,1,0,3,5:11,-6,3
14,Berolina Mitte,4,1,0,3,7:13,-6,3
15,DJK Schwarz-Weiß Neukölln,4,1,0,3,4:10,-6,3
16,SF Charlottenburg-Wilmersdorf 03,4,0,1,3,3:10,-7,1
