matchday,H,A,Tore_H,Tore_A,where
1,BFC Preussen II,SC Borsigwalde,1,3,home
1,FC Internationale Berlin,Berlin Hilalspor,7,2,home
1,Berliner SC II,Berolina Mitte,4,1,home
1,Friedenauer TSC,SC Berliner Amateure,3,1,home
1,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,3,0,home
1,BSV 1892,DJK Schwarz-Weiß Neukölln,2,4,home
1,1.FC Schöneberg,SV Empor Berlin II,6,2,home
1,BSV Hürtürkel,SF Johannisthal,2,4,home
1,SC Borsigwalde,BFC Preussen II,3,1,away
1,Berlin Hilalspor,FC Internationale Berlin,2,7,away
1,Berolina Mitte,Berliner SC II,1,4,away
1,SC Berliner Amateure,Friedenauer TSC,1,3,away
1,SF Charlottenburg-Wilmersdorf 03,Pfeffersport,0,3,away
1,DJK Schwarz-Weiß Neukölln,BSV 1892,4,2,away
1,SV Empor Berlin II,1.FC Schöneberg,2,6,away
1,SF Johannisthal,BSV Hürtürkel,4,2,away
2,SV Empor Berlin II,BFC Preussen II,4,1,home
2,DJK Schwarz-Weiß Neukölln,FC Internationale Berlin,0,2,home
2,SF Charlottenburg-Wilmersdorf 03,1.FC Schöneberg,1,3,home
2,Berlin Hilalspor,Pfeffersport,4,1,home
2,SC Berliner Amateure,BSV Hürtürkel,1,4,home
2,SF Johannisthal,Berliner SC II,8,0,home
2,SC Borsigwalde,Friedenauer TSC,0,2,home
2,Berolina Mitte,BSV 1892,0,4,home
2,BFC Preussen II,SV Empor Berlin II,1,4,away
2,FC Internationale Berlin,DJK Schwarz-Weiß Neukölln,2,0,away
2,1.FC Schöneberg,SF Charlottenburg-Wilmersdorf 03,3,1,away
2,Pfeffersport,Berlin Hilalspor,1,4,away
2,BSV Hürtürkel,SC Berliner Amateure,4,1,away
2,Berliner SC II,SF Johannisthal,0,8,away
2,Friedenauer TSC,SC Borsigwalde,2,0,away
2,BSV 1892,Berolina Mitte,4,0,away
3,BFC Preussen II,DJK Schwarz-Weiß Neukölln,NA,NA,home
3,Friedenauer TSC,FC Internationale Berlin,NA,NA,home
3,Pfeffersport,SF Johannisthal,NA,NA,home
3,SV Empor Berlin II,SC Borsigwalde,NA,NA,home
3,Berliner SC II,Berlin Hilalspor,NA,NA,home
3,1.FC Schöneberg,Berolina Mitte,NA,NA,home
3,BSV Hürtürkel,BSV 1892,NA,NA,home
3,SF Charlottenburg-Wilmersdorf 03,SC Berliner Amateure,NA,NA,home
3,DJK Schwarz-Weiß Neukölln,BFC Preussen II,NA,NA,away
3,FC Internationale Berlin,Friedenauer TSC,NA,NA,away
3,SF Johannisthal,Pfeffersport,NA,NA,away
3,SC Borsigwalde,SV Empor Berlin II,NA,NA,away
3,Berlin Hilalspor,Berliner SC II,NA,NA,away
3,Berolina Mitte,1.FC Schöneberg,NA,NA,away
3,BSV 1892,BSV Hürtürkel,NA,NA,away
3,SC Berliner Amateure,SF Charlottenburg-Wilmersdorf 03,NA,NA,away
4,FC Internationale Berlin,BFC Preussen II,NA,NA,home
4,DJK Schwarz-Weiß Neukölln,1.FC Schöneberg,NA,NA,home
4,BSV 1892,Friedenauer TSC,NA,NA,home
4,Berlin Hilalspor,SC Borsigwalde,NA,NA,home
4,SC Berliner Amateure,SV Empor Berlin II,NA,NA,home
4,SF Johannisthal,SF Charlottenburg-Wilmersdorf 03,NA,NA,home
4,Berolina Mitte,Pfeffersport,NA,NA,home
4,Berliner SC II,BSV Hürtürkel,NA,NA,home
4,BFC Preussen II,FC Internationale Berlin,NA,NA,away
4,1.FC Schöneberg,DJK Schwarz-Weiß Neukölln,NA,NA,away
4,Friedenauer TSC,BSV 1892,NA,NA,away
4,SC Borsigwalde,Berlin Hilalspor,NA,NA,away
4,SV Empor Berlin II,SC Berliner Amateure,NA,NA,away
4,SF Charlottenburg-Wilmersdorf 03,SF Johannisthal,NA,NA,away
4,Pfeffersport,Berolina Mitte,NA,NA,away
4,BSV Hürtürkel,Berliner SC II,NA,NA,away
5,BFC Preussen II,BSV 1892,NA,NA,home
5,Friedenauer TSC,Berliner SC II,NA,NA,home
5,Pfeffersport,DJK Schwarz-Weiß Neukölln,NA,NA,home
5,SV Empor Berlin II,SF Johannisthal,NA,NA,home
5,BSV Hürtürkel,Berlin Hilalspor,NA,NA,home
5,SF Charlottenburg-Wilmersdorf 03,Berolina Mitte,NA,NA,home
5,1.FC Schöneberg,FC Internationale Berlin,NA,NA,home
5,SC Borsigwalde,SC Berliner Amateure,NA,NA,home
5,BSV 1892,BFC Preussen II,NA,NA,away
5,Berliner SC II,Friedenauer TSC,NA,NA,away
5,DJK Schwarz-Weiß Neukölln,Pfeffersport,NA,NA,away
5,SF Johannisthal,SV Empor Berlin II,NA,NA,away
5,Berlin Hilalspor,BSV Hürtürkel,NA,NA,away
5,Berolina Mitte,SF Charlottenburg-Wilmersdorf 03,NA,NA,away
5,FC Internationale Berlin,1.FC Schöneberg,NA,NA,away
5,SC Berliner Amateure,SC Borsigwalde,NA,NA,away
6,FC Internationale Berlin,Pfeffersport,NA,NA,home
6,Berliner SC II,BFC Preussen II,NA,NA,home
6,DJK Schwarz-Weiß Neukölln,SF Charlottenburg-Wilmersdorf 03,NA,NA,home
6,BSV 1892,1.FC Schöneberg,NA,NA,home
6,BSV Hürtürkel,Friedenauer TSC,NA,NA,home
6,Berlin Hilalspor,SC Berliner Amateure,NA,NA,home
6,SF Johannisthal,SC Borsigwalde,NA,NA,home
6,Berolina Mitte,SV Empor Berlin II,NA,NA,home
6,Pfeffersport,FC Internationale Berlin,NA,NA,away
6,BFC Preussen II,Berliner SC II,NA,NA,away
6,SF Charlottenburg-Wilmersdorf 03,DJK Schwarz-Weiß Neukölln,NA,NA,away
6,1.FC Schöneberg,BSV 1892,NA,NA,away
6,Friedenauer TSC,BSV Hürtürkel,NA,NA,away
6,SC Berliner Amateure,Berlin Hilalspor,NA,NA,away
6,SC Borsigwalde,SF Johannisthal,NA,NA,away
6,SV Empor Berlin II,Berolina Mitte,NA,NA,away
7,BFC Preussen II,BSV Hürtürkel,NA,NA,home
7,Pfeffersport,BSV 1892,NA,NA,home
7,SV Empor Berlin II,DJK Schwarz-Weiß Neukölln,NA,NA,home
7,1.FC Schöneberg,Berliner SC II,NA,NA,home
7,SF Charlottenburg-Wilmersdorf 03,FC Internationale Berlin,NA,NA,home
7,SC Berliner Amateure,SF Johannisthal,NA,NA,home
7,Friedenauer TSC,Berlin Hilalspor,NA,NA,home
7,SC Borsigwalde,Berolina Mitte,NA,NA,home
7,BSV Hürtürkel,BFC Preussen II,NA,NA,away
7,BSV 1892,Pfeffersport,NA,NA,away
7,DJK Schwarz-Weiß Neukölln,SV Empor Berlin II,NA,NA,away
7,Berliner SC II,1.FC Schöneberg,NA,NA,away
7,FC Internationale Berlin,SF Charlottenburg-Wilmersdorf 03,NA,NA,away
7,SF Johannisthal,SC Berliner Amateure,NA,NA,away
7,Berlin Hilalspor,Friedenauer TSC,NA,NA,away
7,Berolina Mitte,SC Borsigwalde,NA,NA,away
8,FC Internationale Berlin,BSV 1892,NA,NA,home
8,SV Empor Berlin II,Pfeffersport,NA,NA,home
8,DJK Schwarz-Weiß Neukölln,Berliner SC II,NA,NA,home
8,Berlin Hilalspor,SF Charlottenburg-Wilmersdorf 03,NA,NA,home
8,SC Berliner Amateure,BFC Preussen II,NA,NA,home
8,SF Johannisthal,Friedenauer TSC,NA,NA,home
8,SC Borsigwalde,1.FC Schöneberg,NA,NA,home
8,Berolina Mitte,BSV Hürtürkel,NA,NA,home
8,BSV 1892,FC Internationale Berlin,NA,NA,away
8,Pfeffersport,SV Empor Berlin II,NA,NA,away
8,Berliner SC II,DJK Schwarz-Weiß Neukölln,NA,NA,away
8,SF Charlottenburg-Wilmersdorf 03,Berlin Hilalspor,NA,NA,away
